reach ID,cutoff time (year),cutoff distance downstream  (m),nonlocal effects magnitude (%),nonlocal effects duration (years),cluster flag (logical)
1,2013,6118.965363,2.1,2,0
1,1985,192170.37,1.6,5,0
1,1990,166161.1276,1.3,5,0
2,2000,84110.23371,1.3,4,0
2,2010,56359.22507,0,0,0
6,2012,75687.29865,3.3,0,1
6,1989,4321.614716,1.9,12,0
6,2007,87470.08219,1.75,2,1
6,2006,41494.96967,1.3,2,1
6,2007,69748.69909,1.3,6,1
6,2005,38818.57357,0,0,1
6,2012,28822.8463,0,0,1
C,2014,54166.57572,4.5,4,1
C,2012,52370.47399,3,6,1
C,2004,49160.99131,2.1,6,1
C,2001,28116.52163,2,4,1
C,2007,30616.29868,2,4,1
C,1987,40930.11686,1.92,8,1
C,1995,3474.335495,0,0,0
E,1997,203017.7921,1.53,4,0
E,1995,125406.5952,1.51,2,1
E,1987,112170.1363,1.3,3,1
E,1991,228167.4804,1.28,4,0
E,1989,56614.14931,0,0,0
E,2002,109177.9328,0,0,1
J,1985,22068.73375,2.5,4,0
J,2011,10623.59523,1.12,2,1
J,2016,7485.655839,0,0,1
K,2001,175022.5194,1.48,10,0
K,1986,61560.61684,0,0,0
K,1987,56003.48914,0,0,0
K,1996,25330.93721,0,0,0
P,1997,160753.1168,1.6,2,0
P,1987,185710.7445,0,0,0
P,1997,96406.91552,0,0,0
P,2013,202750.4414,0,0,0
V,2014,26686.4502,2.67,6,1
V,2001,68110.7597,2.13,4,1
V,2015,58410.25104,2,1,1
V,2011,9003.229432,1.9,3,0
V,1986,1116.396103,0,0,0
V,1986,26961.59739,0,0,1
V,1997,35699.974,0,0,1
