,ID,D,null_D,D05,D90
0,4,179750.2575,186508,131217.688,245658.6853
0,5,139108.3437,159240,113183.6069,208662.5156
0,6,220758.8909,163272,116188.8899,209720.9463
0,7,155052.5447,224384,186063.0536,275993.5295
0,8,75409.56577,83772,57928.25734,110029.4119
0,9,80918.96293,81960,57937.97745,110373.4654
0,11,97187.89736,83748,60323.5225,110928.2553
0,12,125172.2766,85428,61059.64713,112960.3472
0,13,194444.1731,188328,136831.0848,245575.789
0,14,84650.69089,184940,133324.8381,246897.8484
0,15,62858.43053,78300,52933.41518,102889.3258
0,16,67843.92734,107424,78556.1264,139258.5877
0,17,211819.0307,218976,183692.2414,268072.6093
0,18,63285.06171,81492,56623.47626,110249.2391
0,19,105995.8102,109264,75711.29299,140444.4485
0,20,113413.9995,129280,106238.8281,160168.3422
0,21,173678.2894,128220,102706.0502,159312.3075
