,ID,D,null_D,D05,D90
0,2.0,915355.9791583166,926952.0,762796.6492985972,1116030.1745891783
0,4.0,419417.26753507013,470232.0,395450.56653306616,551833.2905711423
0,5.0,455263.6703807615,401472.0,334492.3355991984,482453.0284729458
0,6.0,447327.22626853705,411624.0,336947.7808256513,477536.3376529057
0,7.0,499613.75511022046,565728.0,499269.1938997996,638816.4841202404
0,8.0,178240.7918236473,211194.0,171385.376753507,254335.89910220436
0,9.0,203915.7865731463,206640.0,168311.44288577154,243080.5646292585
0,10.0,206583.4388777555,204228.0,165579.75631262525,241327.01723446892
0,11.0,237942.7831983968,211122.0,170916.64708617234,251683.14110140278
0,12.0,253397.53560721444,215352.0,173714.696096994,253397.53560721444
0,13.0,489711.2507254509,474768.0,388888.3461643286,570369.5743743486
0,14.0,366819.66050501005,466242.0,387982.33322645293,552345.7580296593
0,15.0,168725.26089378758,197388.0,165416.9224448898,235222.86371663326
0,16.0,228526.91315430863,270816.0,221028.37381643287,318152.31190701405
0,17.0,503504.25330661325,552096.0,489267.236488978,625387.0070380762
0,18.0,216501.52689378758,205452.0,169870.42879358717,239817.0759438878
0,19.0,234705.008256513,275448.0,227133.87895791582,318744.54347094183
0,20.0,312467.14154308615,325920.0,282146.2559563126,372877.45557474945
0,21.0,407393.51843687374,323250.0,282816.8688517034,371156.9370601202
0,22.0,240883.07381162324,214524.0,185375.23506372745,248513.53142925852
0,23.0,281946.89723446895,340740.0,299259.42601202405,388789.9319759519
0,24.0,240985.15567935872,274776.0,242512.52638436874,315826.3202248497
0,25.0,627858.4735190381,597294.0,518299.2767975952,683059.4534056112
0,26.0,356629.39413226454,415836.0,364405.5237787575,467640.34839599195
0,27.0,240715.25609218437,274800.0,242375.36130661322,315419.990741483
0,28.0,380077.6273266533,417744.0,369958.67750821647,481513.92916513025
0,29.0,205898.67895791584,210780.0,185308.81106212424,240901.4543807615
0,30.0,290306.0120240481,333000.0,297273.3563126252,379023.5292985972
0,31.0,194016.5588777555,205596.0,181082.1216192385,237831.96509098195
0,32.0,333780.66141883767,264960.0,236229.28953987974,304177.49561442883
0,33.0,166919.22468937875,137328.0,114132.80320641282,162781.91057314628
0,34.0,190665.07142284568,205596.0,180704.955751503,237619.90244488977
0,35.0,273171.3516793587,274584.0,240606.85721362726,311754.8759278557
0,36.0,389146.53585571144,416016.0,365125.144753507,473942.0464464929
0,37.0,211708.28056112226,200448.0,175037.38196392788,234391.31062124248
0,38.0,374641.54703807615,337200.0,295899.5212833667,383839.3335222445
0,39.0,252010.31523046092,279000.0,245167.65104208415,320436.95711422845
0,40.0,431864.67063727457,414144.0,359887.2255310621,471576.36448897794
0,41.0,279454.4879038076,279024.0,243710.3092184369,312599.089957515
0,42.0,431990.88176352705,416556.0,361727.30460921844,481956.0921843687
0,43.0,254756.64173146294,279624.0,247602.51686092184,316002.93025731464
0,44.0,400412.6194789579,410868.0,361663.01114228455,462928.65426212427
0,45.0,300488.41725851706,285624.0,252373.4007527054,333671.187262525
0,46.0,343629.25906212424,416088.0,371744.38025811623,472430.1561651302
0,47.0,230548.93827655312,271392.0,235159.91704208415,307705.98295310617
0,48.0,277161.5955751503,410292.0,360310.0742476954,468721.95499478956
0,49.0,474675.1528056112,478758.0,419023.5831663327,541129.6741983967
0,50.0,572655.5259639279,485394.0,418164.39231102203,560384.3361218437
0,51.0,427900.914,405288.0,357702.7902,461741.4438
0,52.0,426591.0637274549,417960.0,365268.59831663326,469783.4089298597
0,53.0,504667.08221242484,401832.0,349919.67588096194,459350.0380953907
