TABLE S1. INPUTS AND RESULTS FROM MODEL SIMULATIONS,,,,,,,,,
,Parameter,,,Result,,,,,
ID,M (relative difference ratio),tau (yr),kl (m/yr),D,Dnull,D95,D5,,
4,0,0,11.4,287600.412,313488,388700.8458,248667.3842,-101100.4338,-38933.02779
5,1,10,11.4,273846.6162,267648,332403.3323,211247.9464,-58556.71615,-62598.66979
6,3,10,11.4,339433.289,274416,337348.8926,222676.0109,2084.396346,-116757.278
7,0,0,25,306145.9909,377152,439349.9414,328012.0906,-133203.9505,21866.09972
8,1,10,22.7,126047.7177,140796,180343.0136,114937.9608,-54295.29596,-11109.75687
9,2,10,22.7,143979.8996,137760,177075.0242,111798.5566,-33095.12461,-32181.34302
11,3,5,22.7,147232.3083,140748,181160.1976,113944.4314,-33927.88927,-33287.8769
12,3,10,22.7,174019.9943,143568,178936.985,117135.6914,-4916.990693,-56884.30288
13,2,8,10,347006.7128,316512,396869.4367,254957.2835,-49862.7239,-92049.42933
14,1,8,10,205467.6495,310828,388377.1498,255036.6383,-182909.5003,49568.98877
15,2,8,20,122408.5226,131592,169530.0755,105866.8304,-47121.55291,-16541.69224
16,1,8,20,146400.0537,180544,225972.2014,144151.3395,-79572.14763,-2248.714197
17,3,8,20,375612.4479,368064,431809.7363,316986.6799,-56197.28831,-58625.768
18,2,6,20,138438.4072,136968,179312.6875,109916.1598,-40874.28033,-28522.24736
19,1,6,20,171464.8686,183632,230233.1396,147071.4383,-58768.27096,-24393.43026
20,2,8,30,208555.0668,217280,261772.5211,185604.5382,-53217.45426,-22950.52857
21,2.5,10,30,273488.8873,215500,256634.8302,187282.2956,16854.05712,-86206.59172
22,2.5,10,45,157563.1156,143016,172656.2153,123257.0112,-15093.09966,-34306.1044
23,0,0,30,173125.2878,227160,266178.6902,193266.3118,-93053.40239,20141.024
24,0,0,45,154086.8392,183184,217516.6479,157191.9315,-63429.80866,3105.092236
25,0.5,10,20,379987.4698,398196,485085.6202,346347.6147,-105098.1504,-33639.85515
26,0.5,10,30,240735.1789,277224,325967.5033,239529.1593,-85232.32442,-1206.019617
27,0.5,10,45,159583.1614,183200,213776.8765,156595.6512,-54193.71508,-2987.510239
28,1.5,8,30,260314.262,278496,333275.0042,242768.0803,-72960.74215,-17546.18173
29,1.5,8,45,131582.5592,140520,166095.3773,119306.3877,-34512.81811,-12276.17155
30,1,8,30,188612.1754,222000,259262.9188,190353.687,-70650.74345,1741.511634
31,1,8,45,131041.3837,137064,163340.404,113201.1414,-32299.02035,-17840.24227
32,3,8,30,221907.9039,176640,210712.0573,148647.6023,11195.84658,-73260.30158
33,3,8,45,122308.2833,91552,112869.68,74933.28938,9438.603266,-47374.99387
34,2,8,45,139275.6512,137064,163018.2045,117230.8102,-23742.5533,-22044.84105
35,2,6,45,184641.5214,183056,220480.1269,158971.981,-35838.60554,-25669.54035
36,2,6,30,286894.0648,277344,331776.7194,240741.6819,-44882.65465,-46152.38283
37,3,6,45,136765.6336,133632,158827.9189,116960.2747,-22062.28525,-19805.35886
38,3,6,30,249061.933,224800,269865.5009,193641.4846,-20803.56795,-55420.44837
39,2,4,45,171986.3059,186000,219124.0474,163139.4308,-47137.74152,-8846.875136
40,2,4,30,315553.2419,276096,326769.1187,238295.6318,-11215.87678,-77257.61005
41,3,4,45,188627.2342,186016,217785.296,159681.0189,-29158.06181,-28946.21529
42,3,4,30,298658.7485,277704,330575.5138,244037.1349,-31916.76536,-54621.61356
43,1,4,45,179102.3382,186416,217574.4884,162174.2146,-38472.15025,-16928.12359
44,1,4,30,275542.2998,273912,319594.0032,236559.5138,-44051.70342,-38982.78595
45,1,2,45,214368.024,190416,226747.9896,163153.5433,-12379.96557,-51214.48075
46,1,2,30,213337.1118,277392,334182.8085,238598.1255,-120845.6967,25261.01367
47,2,2,45,143751.3224,180928,210578.2619,159109.4702,-66826.93951,15358.14779
48,2,2,30,186243.9073,273528,323444.8786,238721.2197,-137200.9712,52477.31241
49,1.5,8,25,331010.1814,319172,381203.1915,273583.1328,-50193.01005,-57427.04858
50,2.5,8,25,401065.6434,323596,383020.6773,278454.1702,18044.96608,-122611.4731
51,1.5,10,25,295413.2015,270192,316755.662,232878.1378,-21342.46049,-62535.06363
52,2.5,10,25,300610.8621,278640,327178.0461,238292.4977,-26567.18396,-62318.36437
53,3,10,25,359749.3857,267888,321530.9413,231811.3889,38218.44437,-127937.9968
54,2.7,9,40,134622.4895,134568,160913.3367,115537.2191,-26290.84724,-19085.27036
55,2.2,8.5,40,166672.203,137196,160732.8288,118373.4716,5939.374143,-48298.73137
56,3,8,40,160185.5016,138384,167661.5649,117913.6841,-7476.063292,-42271.81749
57,2.5,7,40,155888.6811,135036,162706.6189,114890.5612,-6817.937818,-40998.11994
58,2.6,8.2,40,158287.8647,135756,164814.9736,114332.9124,-6527.108949,-43954.95223
59,2.4,9,40,158556.7286,138984,168134.5087,120842.3461,-9577.7801,-37714.38241
60,3,6,40,139566.487,139836,167240.766,120084.3139,-27674.27901,-19482.17315
61,2.5,8,35,139326.7863,135852,163639.8696,112056.558,-24313.08331,-27270.22825
62,2.5,9,35,137989.4284,131652,157722.9699,112654.2246,-19733.54152,-25335.2038
63,3,9,35,127835.129,134316,162511.5437,115263.3473,-34676.41467,-12571.78172
64,3,7,35,167416.714,135120,166794.4102,112668.2064,622.303822,-54748.50755
65,3,10,35,180217.3109,139128,169541.3514,115309.2169,10675.95958,-64908.09399
66,3,8,35,188964.2287,187648,225176.7449,161914.4415,-36212.51623,-27049.78711
