TABLE S1. INPUTS AND RESULTS FROM MODEL SIMULATIONS,,,,,,,
,Parameter,,,Result,,,
ID,M (relative difference ratio),tau (yr),kl (m/yr),D,Dnull,D95,D5
4,0,0,11.4,419417.2675,470232,585124.8384,383032.5362
5,1,10,11.4,457216.7056,401472,504455.4169,320125.0489
6,3,10,11.4,444003.2899,411624,513622.2669,329672.2047
7,0,0,25,492555.6677,565728,654448.5993,485009.0672
8,1,10,22.7,177989.3216,211194,267072.5286,163072.2276
9,2,10,22.7,202234.8085,206640,265039.7083,160483.6882
11,3,5,22.7,232247.3826,211122,270311.4865,166589.5957
12,3,10,22.7,253397.5356,215352,266493.4055,167497.3424
13,2,8,10,492394.5802,474768,602357.1256,379094.4845
14,1,8,10,361891.6192,466242,590527.0895,372056.6181
15,2,8,20,166145.8989,197388,250040.9361,150750.9331
16,1,8,20,228526.9132,270816,340207.2252,215934.6914
17,3,8,20,504404.0146,552096,642127.5593,471758.7589
18,2,6,20,219497.79,205452,265488.0936,155422.0103
19,1,6,20,235819.4676,275448,341928.2725,214821.6022
20,2,8,30,312626.7672,325920,392194.3194,271059.4206
21,2.5,10,30,402522.4184,323250,384091.3124,276605.5881
22,2.5,10,45,240457.6833,214524,257823.1178,182762.1516
23,0,0,30,281946.8972,340740,407384.3167,289651.2498
24,0,0,45,240912.1964,274776,326763.5316,237879.3174
25,0.5,10,20,621994.8751,597294,713527.5559,509773.886
26,0.5,10,30,351011.5075,415836,485666.9544,361413.3993
27,0.5,10,45,236638.2464,274800,318427.6851,237845.3544
28,1.5,8,30,381408.6939,417744,487466.2236,361127.2466
29,1.5,8,45,204735.4547,210780,257541.0441,182576.7764
30,1,8,30,288477.4435,333000,398706.7286,284994.8344
31,1,8,45,194478.6792,205596,252677.7215,178593.5791
32,3,8,30,332239.5775,264960,323862.7047,230873.829
33,3,8,45,163968.8457,137328,166042.6024,112947.1391
34,2,8,45,191583.1788,205596,245851.2327,174058.4958
35,2,6,45,267130.4104,274584,320582.5221,237639.8985
36,2,6,30,388358.5086,416016,488382.9907,360146.345
37,3,6,45,210083.4819,200448,236902.5528,173141.1034
38,3,6,30,368136.9069,337200,403552.6606,290304.7859
39,2,4,45,251738.7791,279000,325834.6542,241674.0631
40,2,4,30,430122.6857,414144,485896.247,356695.6664
41,3,4,45,278001.159,279024,322533.585,237144.2328
42,3,4,30,426241.6498,416556,493427.5299,357636.4885
43,1,4,45,256722.7029,279624,324502.4217,238827.8781
44,1,4,30,399167.8127,410868,478770.2953,355958.8334
45,1,2,45,297693.6465,285624,342403.3975,249359.583
46,1,2,30,345821.3902,416088,488118.6539,362493.6626
47,2,2,45,230073.2626,271392,314395.6889,231102.8702
48,2,2,30,277060.6962,410292,470720.7866,350116.9622
49,1.5,8,25,469590.8567,478758,578815.0994,413141.3514
50,2.5,8,25,573737.4671,485394,570420.724,412383.7078
51,1.5,10,25,422297.4814,405288,483152.022,350542.6099
52,2.5,10,25,418733.6994,417960,488579.0589,362392.4685
53,3,10,25,507085.4825,401832,475514.3381,340965.8833
54,2.7,9,40,214423.8194,201852,246636.4489,171200.1733
55,2.2,8.5,40,239533.6411,205794,251263.6662,175857.9595
56,3,8,40,230032.6941,207576,250358.4948,177661.9138
57,2.5,7,40,241692.5303,202554,249900.0229,172097.0643
58,2.6,8.2,40,234572.4124,203634,246866.6832,172458.3014
59,2.4,9,40,243459.7689,208476,249313.0306,177654.0881
60,3,6,40,220791.6816,209754,257841.425,177794.2464
61,2.5,8,35,210517.4177,203778,247197.7241,172300.3743
62,2.5,9,35,194543.0321,197478,240047.9174,166765.7814
63,3,9,35,213026.5496,201474,245978.1205,173311.6595
64,3,7,35,248123.9339,202680,250349.4319,168782.045
65,3,10,35,249047.0863,208692,254321.8157,176908.8061
66,3,8,35,292477.5497,281472,338779.9508,239023.2071
