TABLE S1. INPUTS AND RESULTS FROM MODEL SIMULATIONS,,,,,,,
,Parameter,,,Result,,,
ID,M (relative difference ratio),tau (yr),kl (m/yr),D,Dnull,D95,D5
4,0,0,11.4,59916.75251,93254,143841.1113,53685.41024
5,1,10,11.4,63607.9097,79620,127092.0947,44261.74573
6,3,10,11.4,116188.8899,81636,127853.4342,46475.55598
7,0,0,25,68912.24208,112192,154603.082,81238.75911
8,1,10,22.7,31160.97759,41886,65603.4636,23856.84444
9,2,10,22.7,46158.60922,40980,62116.32191,22527.83928
11,3,5,22.7,43871.65273,41874,67049.32738,23325.09537
12,3,10,22.7,61059.64713,42714,67182.52318,24423.85885
13,2,8,10,122427.8127,94164,152320.9417,50411.45228
14,1,8,10,35271.1212,92470,149035.5952,53488.14231
15,2,8,20,26466.70759,39150,59567.94314,23026.0356
16,1,8,20,21424.39811,53712,82153.35182,32136.59716
17,3,8,20,128480.3957,109488,150149.1012,79808.5244
18,2,6,20,30643.29304,40746,63285.06171,23315.54905
19,1,6,20,53163.57095,54632,83973.54573,32529.07295
20,2,8,30,53749.49184,64640,90227.65772,44786.54637
21,2.5,10,30,90055.40934,64110,91151.69504,45761.21458
22,2.5,10,45,47877.38113,42546,59592.97583,28921.66335
23,0,0,30,39571.49435,67580,93658.54968,46666.88414
24,0,0,45,37335.72834,54496,77878.03903,40033.91832
25,0.5,10,20,92838.35573,118458,165716.3623,81481.24025
26,0.5,10,30,75785.51035,82476,119778.7428,58989.96731
27,0.5,10,45,38182.41993,54496,75863.79211,42020.34426
28,1.5,8,30,74041.09623,82848,114188.8131,62833.28164
29,1.5,8,45,42830.03,41802,59842.07422,28312.18913
30,1,8,30,65028.54669,66040,91547.85398,46448.96192
31,1,8,45,32628.52827,40776,58033.7343,27276.45466
32,3,8,30,69537.6378,52552,77059.91107,35508.60961
33,3,8,45,25679.88072,27236,40960.24097,17080.75574
34,2,8,45,42970.78475,40776,57315.85083,28818.95557
35,2,6,45,54016.93395,54456,75156.54106,42186.36513
36,2,6,30,67740.32291,82512,111246.0389,61497.82993
37,3,6,45,39065.21844,39756,55124.07307,29252.93752
38,3,6,30,60570.78904,66880,95542.90904,49260.59154
39,2,4,45,51895.3484,55336,73885.98503,40977.31575
40,2,4,30,94315.2729,82140,113205.1689,58627.22577
41,3,4,45,63627.30742,55336,75639.79147,41582.76984
42,3,4,30,88123.66977,82620,116037.0009,60406.72461
43,1,4,45,49106.71078,55456,75451.6146,40103.96465
44,1,4,30,78394.17084,81480,115532.0113,59666.5222
45,1,2,45,57148.1039,56648,82390.15791,42371.06541
46,1,2,30,60123.56895,82524,118329.1014,63226.28159
47,2,2,45,30756.15709,53824,74849.51207,40795.41914
48,2,2,30,68975.1773,81372,114865.781,59449.95179
49,1.5,8,25,108030.3138,94948,133608.6125,66676.9996
50,2.5,8,25,145380.957,96264,134684.2268,67456.89308
51,1.5,10,25,69918.45,80376,112916.9342,55934.76
52,2.5,10,25,96272.45345,82896,119180.3253,61008.51856
53,3,10,25,110717.7782,79692,112590.2871,57273.89234
54,2.7,9,40,34293.62785,40032,57410.37908,29504.52474
55,2.2,8.5,40,43176.02316,40812,58883.77838,29729.39237
56,3,8,40,48622.17202,41166,58225.36208,28679.34704
57,2.5,7,40,45170.5061,40176,57901.78423,28373.76976
58,2.6,8.2,40,48606.04953,40386,58261.72265,28440.63032
59,2.4,9,40,39080.5263,41346,58350.04821,29760.30553
60,3,6,40,34979.3103,41604,61285.90864,29915.63871
61,2.5,8,35,39297.29869,40416,56684.78208,26764.32709
62,2.5,9,35,31209.48409,39162,57462.84847,28088.53568
63,3,9,35,46383.01275,39954,56929.46765,29249.46718
64,3,7,35,52731.86725,40200,58493.20242,26754.39809
65,3,10,35,56208.59502,41394,58537.82073,28842.04654
66,3,8,35,53073.63216,55824,78292.63494,37994.77937
