Cutoff,downstream_distance,time,radius,cutlen,,,
0,39146.67432,5.5,414.5230608,4361.658542,,393.0264165,5673.102356
1,244183.551,6.5,308.3858348,3360.515273,,,
2,54881.61383,13.5,241.0186084,2660.428308,,,
3,44008.19602,19,268.218874,3312.834891,,,
4,309222.0519,24,707.3939095,10364.07486,,,
5,324046.5446,28,365.086449,4111.2273,,,
6,176951.9833,32,565.2169517,7963.448554,,,
7,80774.30735,36.5,364.4202481,3960.424837,,,
8,181066.9178,37.5,297.0646144,3567.155475,,,
9,325514.0464,39.5,399.8758456,5065.153136,,,
10,85540.23178,40.5,464.6505573,5611.266402,,,
11,43595.13193,53,397.6454661,4562.536815,,,
12,35624.56731,55,435.608816,4761.470608,,,
13,72913.21134,58,242.809047,2660.218699,,,
14,347400.7337,58.5,302.8546657,3160.969049,,,
15,200746.9327,64.5,311.8053735,3561.493395,,,
16,387390.1277,66,325.5479768,10319.28662,,,
17,28510.19776,67,387.7910701,4462.207823,,,
18,6261.759869,69,552.42489,6410.712002,,,
19,299450.8811,71,546.498031,6560.894662,,,
20,108438.7997,73,355.5068913,4161.754021,,,
21,235916.9133,77,454.9326384,5611.144259,,,
22,173450.786,85,555.9408269,6660.754543,,,
23,306862.7413,88.5,533.3425864,7362.047658,,,
24,38189.17601,90.5,349.3006308,3712.318,,,
25,66394.33505,100,343.9915444,3811.20222,,,
26,311391.8202,108,385.9815568,4312.359511,,,
27,293907.6022,110,527.0899764,6861.257459,,,
28,194938.842,113,270.5809636,3010.590776,,,
29,234545.9313,116,274.6302873,2961.17994,,,
30,196625.1905,125,352.2694405,3714.221077,,,
31,14883.23056,127,651.3292661,7662.229095,,,
32,178486.6347,127.5,392.7076108,4411.678611,,,
33,85896.27811,130.5,369.1373147,4060.331095,,,
34,167131.911,132,408.9703062,5113.915998,,,
35,368475.8268,133,375.5242962,4463.290136,,,
36,347973.9899,139,237.8185247,8072.583082,,,
37,145893.5523,141.5,426.9288887,5412.163982,,,
