Cutoff,downstream_distance,time,radius,cutlen,,,
0,152782.5342,2,342.8657952,8663.732546,,386.8788894,5707.252675
1,147186.5181,3.5,364.3464854,4272.779099,,,
2,42457.25193,6,389.0511384,4610.160194,,,
3,53101.67945,6.5,347.0886145,3709.690027,,,
4,19630.6515,9,581.9740538,11863.09661,,,
5,186657.1576,13,259.1905417,2959.871737,,,
6,192810.1364,17,411.0068305,4559.662274,,,
7,285058.0949,19,377.4704535,4309.721967,,,
8,109709.8496,22,576.3570723,8860.78042,,,
9,167166.5429,26,523.8953144,6760.054592,,,
10,308941.0723,27,353.5233097,3859.694666,,,
11,207646.0529,28.5,456.4326147,10615.56702,,,
12,214461.9452,33,406.0818955,5014.596738,,,
13,360767.8222,35,492.777957,5609.208237,,,
14,72057.64048,37.5,456.8011193,5111.107493,,,
15,313333.361,47,388.625113,4560.232487,,,
16,391751.3859,48.5,301.7962768,3409.970276,,,
17,373211.1048,50.5,559.5504146,7410.758818,,,
18,226957.9385,58.5,234.6878033,2457.60078,,,
19,410754.1204,59.5,567.9700231,7110.453477,,,
20,50086.106,67.5,213.6292803,5459.131557,,,
21,204925.7581,75,413.4269886,7159.771912,,,
22,105815.3198,77,574.3934657,7059.377979,,,
23,358172.1725,79,291.6523134,3259.38047,,,
24,245441.2309,80,374.8264743,4110.088874,,,
25,80475.86613,82.5,240.0603309,2608.415008,,,
26,47482.32094,84,234.8700737,8713.034592,,,
27,127073.9177,87.5,291.0849462,3109.157769,,,
28,255689.1026,90.5,789.1178211,11961.84091,,,
29,386156.1193,95.5,327.4830742,3559.672089,,,
30,138620.5588,102.5,682.7465159,11061.47872,,,
31,393228.3398,114,270.8150904,2708.283875,,,
32,243538.8898,114.5,485.6688742,5659.752666,,,
33,7959.698163,115.5,408.5379053,5162.11233,,,
34,38987.35751,116,318.7496447,3711.19172,,,
35,220208.0409,117.5,245.6346343,2658.567061,,,
36,341128.7073,124,371.2676038,4560.221185,,,
37,184504.0449,126,234.1405058,7716.982794,,,
38,149597.9481,129.5,609.1389774,8411.375705,,,
39,66812.86616,130,408.4450114,4560.24114,,,
40,358183.0942,131,396.617521,4560.227124,,,
41,262452.1778,133,305.2082811,3610.77054,,,
42,315331.8059,139,294.1252857,3360.291791,,,
43,242765.0296,145,445.8564247,5361.924322,,,
44,23283.00249,147.5,377.3736184,4109.226251,,,
45,238846.1596,152.5,174.7743042,8919.296395,,,
46,209889.155,154,516.9232539,6259.451161,,,
47,193214.1244,155,332.0888868,3408.859044,,,
48,389068.7696,157.5,280.1547397,3159.857218,,,
49,141317.2461,159.5,416.7169868,5111.244081,,,
50,208295.8999,160,387.7792206,4317.398919,,,
51,303102.6355,164.5,368.6527141,4009.117214,,,
52,117782.7454,170,368.1628526,4210.552836,,,
53,119989.666,174.5,361.9515983,7211.730411,,,
54,85585.13767,178,631.034775,11213.59967,,,
55,321192.4919,181.5,345.3735169,6363.589947,,,
56,77420.60346,187.5,309.0226043,3211.791798,,,
