Cutoff,downstream_distance,time,radius,cutlen,cllen
0,25480.333987543825,0.5,332.95806895108404,3711.2257430769673,186729.16836391934
1,38434.749982255635,4.25,396.7140349311932,4361.775326882623,187603.59334587032
2,175285.65485055684,11.5,368.3928911732605,4210.864904570847,193383.02796968736
3,29944.930281902427,13.5,325.0784546645016,3462.1601332061805,193037.41822957585
4,52242.50550416845,21.0,824.6603027376932,12261.677704550833,191286.84786112345
5,175584.1782759922,22.5,470.1498231576341,6519.480381992422,187768.33738623105
6,18866.507973068594,26.0,537.2801590841941,7012.657838157461,184985.0405684453
7,146926.6321880544,28.5,411.4331715507981,4862.00776549469,184982.33186579111
8,26000.684431765312,36.75,395.9405540134195,4263.56036363603,189749.77876464702
9,70498.80072452025,39.25,663.6584978401971,8761.493794281925,185728.7430375532
10,39503.53261510297,40.25,313.62683215779316,3417.744693945057,184575.45442303337
11,75452.22834313138,44.5,543.1560358179992,6965.249720713723,185429.85957420594
12,120002.65889052395,49.0,479.0580340432264,7263.716047086097,186598.20020770753
13,106101.03367769667,49.75,428.8092722432606,5512.602020741348,182828.88430481736
14,96376.53793131883,51.5,204.0754203225988,12977.274284711384,173312.6227339789
15,174793.77715018552,62.0,269.36058761189975,3112.486517962306,189284.13589744913
16,147559.23874329275,67.25,368.817392105994,3960.332501979947,194408.15765834198
17,67815.24087753905,68.25,282.1488095313165,3163.401168193888,193304.7873782268
18,4494.703021835452,82.5,401.9534113924503,4462.079458290779,210809.6421841816
19,109864.45299613412,83.5,544.2780656791299,6811.151285208044,198951.53128109733
20,72787.16813185466,86.0,216.18531965058767,2158.6164625108545,201514.94855499006
21,35612.79750048017,86.75,394.6581849337164,5560.778719324054,197661.73524284188
22,94527.61843462329,94.5,469.6252401675483,5810.295907105648,205858.12011405523
23,22523.943066816613,104.75,556.1427376856132,6610.229301187794,216412.13029829273
24,193673.50872350315,105.0,497.6370515328517,6614.043118566802,210670.7158858146
25,100620.22152238703,106.25,456.91218639427296,5662.206057231882,207649.99020939614
26,48860.62019972646,108.25,359.65366545997296,4111.550438321289,207918.97414278155
27,111947.13157633369,109.0,453.3294375479221,5162.829599563479,204693.6225822871
28,54167.69925466301,113.25,244.26976777421743,2861.9230890514605,210708.5718389245
29,36670.65039662701,115.5,375.1946127863886,4011.4710964947444,211293.1048008324
30,74569.40380621397,118.0,531.9334692106089,7711.485406513117,208656.94882075544
31,43138.86509774324,119.5,248.91225476508083,12989.623256536517,199123.70296343332
32,163500.64913723245,126.25,409.614199333503,15876.591089746373,196477.249385959
33,193360.42727958606,127.25,484.68615522531917,5162.691901708815,193932.6855330247
34,91391.91576536809,128.0,378.1856669572073,3961.754524723565,191905.5070077806
35,160759.85022114587,130.75,399.13940426920936,4628.526127363727,193374.51288835597
36,74280.43385157545,136.5,300.93710371936953,3064.2480059676664,201594.95937036045
37,91468.02236125221,139.75,499.0324545690682,5714.417563553791,201922.5812230403
38,137516.26394542577,140.5,508.22882592857394,15572.310970924658,188156.17680676328
39,130234.05217138566,141.25,163.19588507217907,11276.105978842152,178890.51323263106
40,114124.48343011632,142.75,284.97981529579255,3366.544940432099,179093.27132316463
41,169932.01607485974,149.0,410.5301204638438,5313.892804157771,185767.92131698568
42,154488.32995195675,149.5,424.5621657292985,4116.377626996557,182981.90508565915
43,102485.03243814186,152.25,324.45258618577265,3361.044932039994,184911.88464795242
44,78921.84710307246,157.25,396.83211562812653,4912.31023560997,188659.89750774924
45,35195.24026256199,159.0,657.9779232842535,10412.370757614834,179361.02423004707
46,151145.62320104873,163.75,243.65630070849576,8124.851155814841,179804.97399594236
47,120618.17379386816,167.0,259.32928546952894,2811.341104145717,182922.27907498495
48,41933.56712972886,171.75,523.6569481523159,6262.587822328296,184453.9992836517
49,107588.23297783425,175.5,622.3309225796665,7760.049894725935,182995.0942164058
50,109411.85416287594,184.25,269.89939391542276,3071.2624353990077,194778.82522093746
51,85400.76033727256,191.0,449.90200173204016,4660.3699857395495,200182.79299725627
52,4450.200587950292,193.75,294.36990458206407,8264.938872214343,196402.49126932156
53,25704.806422434183,196.75,621.783777725548,7560.1097771937,193686.9202719662
54,8217.625073567438,199.5,367.5454482214623,14934.054147292904,183431.17957293376
55,42389.91375136815,204.25,616.6135238315197,13513.241441053948,178884.27650372885
56,28197.83501634924,206.0,337.50271342689985,3876.2028998515502,179005.52217538882
57,126816.58721948363,208.25,513.496293198548,6160.3256414034695,177861.17290720288
58,127789.865290001,208.5,359.0875234646872,16630.866547305704,162211.75811302743
59,111687.90308222493,212.5,489.91473960642577,11068.556700245743,160033.78656319506
60,138457.75276023804,213.25,366.039901872717,4773.0366830448,157404.12252190476
61,153722.08939474946,217.75,317.18222997443866,4012.3554062879844,163547.1603470784
62,34312.35548200937,218.5,284.22348242742623,2965.269641428971,162532.1565972061
63,129112.97165339031,219.75,431.917107244412,4927.727676225364,160522.9133208241
64,37315.74950802324,223.5,467.21328852662435,9968.658733613702,157912.54040693838
65,88282.85049120683,224.0,271.13591928869363,3112.4694255164904,154589.5611635151
