Cutoff,downstream_distance,time,radius,cutlen,cllen
0,106282.29106660727,1.25,228.86586076337113,2307.6187221689174,182279.73897335495
1,166978.21431862493,9.25,303.61524518290474,3611.253272976606,188429.04204603747
2,144978.41749964652,12.75,288.49310796168055,3360.434103905831,189927.87892017947
3,7704.652839216724,21.75,460.13008700546754,6511.2327340064585,195137.99063498472
4,45384.94345262411,23.25,462.6334048459267,5259.243304653992,192341.34080821613
5,149544.08363326412,23.75,607.4137636522588,9462.952425983987,184072.56552341522
6,45802.43093442994,26.5,224.29133671876673,5123.308771959948,183875.13240292016
7,13275.503167179328,33.0,546.7437014287248,8709.83363507273,185417.15637224694
8,66065.4137036535,36.0,497.4025249906209,6611.149825428864,184411.01167892932
9,70647.33233661893,37.75,250.53520501100417,7433.276791861526,180622.7956603679
10,53653.29084110059,38.5,343.43655316094475,3859.951166387727,178551.19850162914
11,22519.898950215815,39.75,378.327589991731,4110.444550971072,177106.0399633687
12,122282.72799920339,48.5,805.7804466449674,12262.32094355767,179555.83811941458
13,109592.65037179927,51.25,425.09728891784647,4865.157949091606,180045.51911520775
14,55462.1378717089,59.75,396.7664077147474,4461.006028669402,190173.6294092911
15,63612.52565862966,60.75,649.0731540660538,5912.762369457473,186354.90464642036
16,11264.436424323141,65.25,408.6820655065829,5111.529160806887,189432.43761765145
17,57466.94909996334,66.5,268.0885793573207,3122.766199589366,185363.13261572507
18,11621.432826099268,74.25,238.53907722500892,2466.194022594902,196794.3490085383
19,167751.53570284805,75.25,343.79409916840103,4111.466771148682,194762.70659351008
20,143339.45240889385,75.5,384.0761493780436,4211.020996942402,191423.04372793136
21,115453.85329503636,76.25,271.9146416340919,7720.156108372518,185427.54498462504
22,48954.68895474252,77.5,619.3423159459377,6262.315422217006,181799.80045750976
23,164643.90156388696,84.25,306.6815387459795,5918.298362294639,187898.58169244588
24,61450.296032301456,85.5,224.1375930915117,2359.1065022982752,179614.6016329681
25,13670.225300975499,90.5,307.109429780521,4265.557893725431,183772.29159134554
26,154239.4254643887,103.5,545.4011828065941,8564.180075638513,193715.55339284448
27,115817.28361810373,104.5,390.73484627599737,4963.244260135595,179062.05363264534
28,72998.66147893204,106.0,388.40523968191167,4562.674729701524,177571.50877966802
29,62709.02459505337,115.5,503.64165216908395,5460.362177934203,188520.44378338553
30,26387.338316102912,117.0,469.43338785353797,5259.697962774512,186184.7870187205
31,150853.11694153745,121.5,319.47369887552276,3462.752381687934,190447.89959522642
32,182468.1823241624,122.25,332.8936587839318,8468.062694263468,183576.73136500941
33,31900.06249916463,129.25,470.99441296025776,10267.513304425618,184823.50515183376
34,68093.5781104056,130.0,287.0535986721538,2960.4570646394163,183565.6092457021
35,18015.174363648573,130.5,244.89547328371276,2762.6909254984776,182090.3541199912
36,39405.19810674486,131.0,507.38633825289685,6166.994017620731,177204.98790485517
37,112057.36752521007,132.0,348.01376733607145,3910.6931547768904,175492.22238984422
38,149827.1964505573,134.5,428.08279769259707,7619.669992705646,172737.79131927178
39,46403.00808910464,141.5,418.9958289122166,4710.826959950059,180119.84227309417
40,167922.7520377857,157.0,258.91588803794133,2859.603844745814,200548.9175732307
41,139114.72583710722,158.25,578.2179351369332,7812.357208478018,194940.02692076084
42,70581.57330560757,164.75,476.8009344527276,5560.537237663378,200228.54136289444
43,84549.60940270055,167.25,346.5631921291186,3910.5684625714175,200905.0836603411
44,102219.95935617255,167.5,431.2300062390293,9865.485495440334,191906.61940936738
45,109970.10043924565,169.0,343.86250232458667,14025.876528164546,180930.6183592929
46,114889.7507953044,169.5,349.65372884946316,3729.1671542486647,178657.65265551212
47,63506.46382097955,171.5,367.67472772040304,4313.127951277305,178678.47297276932
48,33998.21563556628,172.5,289.64189106641487,9825.082681394606,171396.56496033852
49,110262.20204931514,173.0,413.6132229217532,6891.522754375823,166001.18141566642
50,68760.65824619641,179.75,389.1444308614469,3964.4706639135857,175985.9513187223
51,71177.37933374895,180.25,445.58206249287934,6015.744063520003,171334.88431860865
52,163692.78333825027,187.25,540.9254434225737,6260.410384725598,178183.28796273723
53,55802.485848579854,188.75,306.98391584214676,3510.734980265279,177660.85125986303
54,150991.62044199885,189.5,402.0684343428633,6966.2155823188095,172474.9381455862
55,122729.2227028249,195.5,333.64654445492556,3660.2763597328226,179753.0020341
56,155426.2819067248,200.75,346.4515043302805,4315.778132924031,184294.5548781693
57,118278.09892240568,203.0,449.7940653100625,4914.520530019929,183357.65504481178
58,64209.53723397741,203.75,310.5192388229923,3410.933390370361,181631.46814381605
59,82862.58188948875,209.5,232.56972794548346,2357.612088652612,189365.83962521696
60,52428.967655065775,211.0,488.69283155960676,5812.280569712034,186382.80951506743
61,82334.03612367237,212.0,259.63378938822257,2930.5380467816035,185583.0151360198
62,128154.46096848052,212.5,319.2535158518886,3761.0339091671904,183083.56300407372
63,152312.1831390854,213.75,225.7443703652762,2362.0899659379597,183284.90047920623
64,176265.2522306261,215.75,354.9904621213248,10319.357883006405,176836.67489012628
65,22919.344877260588,216.25,407.689565458163,7960.959392549033,170135.18574272853
66,54805.415277979664,221.75,346.4323646435649,3664.177772135135,175718.57487065464
67,132182.64910387498,225.25,214.3911404927309,2207.6568041320816,179241.38366945385
68,59197.97238681976,227.75,303.25890512817705,3060.0289216974393,180265.02904497084
69,37396.029650108954,229.75,373.00788522745364,4210.939922137193,179280.77131395467
70,59155.43321809651,230.25,585.7568089855571,7319.326770769467,173067.84428852226
71,6987.106960503407,230.5,580.7675349846062,7865.227890152857,166022.275066636
72,89900.69416429258,236.25,529.3809934901444,5810.383104331395,169374.34469206075
73,65164.810223918794,236.75,209.02564760807024,2412.950974471741,168148.86398983694
74,160309.98115742762,240.0,400.30530594536117,4460.637411595932,168835.65977878225
75,78739.7350107748,254.0,233.13990743851392,2558.44285438675,185140.03061717193
76,124216.36121388685,254.5,412.4151916667818,4509.3235498588665,181726.1127515018
77,122265.62881757795,263.25,495.9727395237348,7672.132415502061,186080.56205904056
78,50932.48583051195,267.25,385.8015914486785,4711.355942945013,187705.95902545672
79,78305.45071965545,276.5,266.5203119332876,8917.756995510605,192686.0792551295
80,107315.5132141123,277.5,497.96945533971433,6260.431713175429,188380.99412016335
81,53981.056206028814,279.0,240.06331696493143,2459.722888029848,188878.36021578257
82,160731.41499200254,279.5,344.7618690275196,11023.08685189697,179123.43897359946
83,8056.932918940391,281.5,349.9357950682904,4260.798139896252,178704.20469015435
84,132684.34738710456,286.75,328.0443996061161,3759.5126125203196,183734.95990576327
85,113686.07340253869,287.25,271.1264812628026,10771.636507809582,174168.3573969754
86,120522.73497891992,289.75,298.46878102161463,3421.101516719897,175604.35536263676
87,65968.61202754524,291.25,339.7559986838547,3810.27821069258,174782.6569879099
88,169185.38929715002,294.5,313.71527897889683,3611.306438513221,177004.7555187737
89,70949.50392766246,295.75,427.8395305499327,5312.515768916572,174127.28703166527
90,129372.67195661092,305.0,258.50472619125003,2760.0448434330556,186081.79176732633
91,21077.396435986644,306.5,556.0881396149449,6508.557209122437,182097.9868554639
92,73056.82055209458,310.25,299.84146324558844,3011.1387357000385,184968.33176263285
93,20432.20124470529,314.75,300.57585904897525,9024.30617034431,182916.84074413733
94,111543.00964278086,317.25,424.16182225008504,4660.397075437813,182188.91727831715
95,106669.54643271858,320.75,511.0681290182737,6119.154022381444,181478.0319665907
96,34024.836775186806,323.0,434.1952334109615,5010.2106706543855,180368.74008353942
97,78977.60351978542,328.25,400.82336020558165,5960.131529289656,183047.27515741743
98,54756.844065949095,330.75,544.9799931450992,6509.318361540238,180838.88694116083
99,48441.27381321147,332.0,336.5413653008032,3920.671624664805,179336.41216365306
100,63146.16998162068,332.25,272.96626351135706,2910.94149730107,177266.5326399739
101,173476.71193414615,337.0,309.53677310641666,3309.450512029287,181598.47064994148
102,63979.55005513573,343.75,456.8936524665971,5111.220665655814,186321.98039145145
103,109424.27775091594,346.75,502.84963918818187,5859.400632427586,185161.6914719512
104,130822.03683801409,349.5,585.9241435585035,7962.193461055728,181864.84241856346
105,126928.5817034659,355.25,390.568321509092,4323.663707445375,187358.9334903051
106,13218.202715929048,358.0,448.30584594563436,5359.827323856612,186683.7805053273
107,141641.3322558832,365.75,272.49407798916707,2808.270936824998,195982.80528110676
108,175620.036291133,370.75,377.3932017441122,4410.020924065914,199317.61088410852
109,75790.85023123141,372.0,230.9283514059771,2458.1997610492162,199151.9098427686
110,39414.06582914017,372.5,361.67779658370006,8316.079052139636,192019.62557198407
111,112274.02300073339,374.5,505.45439237407106,5209.656462833048,190246.83344183132
112,144706.2198357497,391.25,274.8641477310655,3160.212280515094,210975.6765024175
113,64751.34544203101,391.75,421.6616526097416,5159.983304620243,206939.36791456232
114,58048.651836828016,393.25,394.8825856326081,4616.526378329243,205003.5207972937
115,133473.8731088996,396.75,507.7361380529848,5910.0885723734245,204918.0719279523
116,184533.14185977416,397.75,282.9571230197541,17182.023998925335,189800.813480409
117,15823.783886588599,399.75,378.549864781836,4059.726528478618,189616.56121925593
118,149671.93159267903,404.0,304.83921278657283,3259.2361239281463,193837.8045493925
119,160529.2847670677,407.75,772.2393343114342,11812.757875439987,188312.72978287333
120,176090.73741684848,408.5,330.1463218323188,4119.305151526046,185921.52440523845
121,135889.59296674532,410.0,404.00487690240135,4712.3222491122515,184222.58866410793
122,73275.59011545237,415.0,253.86190672697765,7810.282894739613,185303.78457623103
123,145359.82091799108,415.75,464.6288250704879,5815.576158437296,181172.35688731313
124,62802.62330476291,416.25,295.3733073765244,3113.391995629437,179398.1822457281
125,175800.53219965132,420.25,335.52298101227206,6216.901488123559,180369.55374758385
126,82705.28404796546,421.25,494.28612682677283,5709.3088547748885,176706.4573751224
127,69023.89571399987,425.75,340.4142470371386,4116.317107204897,180225.77873577437
128,31246.26149134338,429.0,538.7962117916509,6759.611216019323,179210.14142591026
129,123636.81726303739,430.75,355.90500223483235,4210.721021841009,178393.54569169626
130,146650.51754685954,432.0,325.0973848301574,3464.4191632984366,177522.10932888676
131,85936.63952684031,436.75,424.46195651853884,4712.662723994267,180996.03145278367
132,114455.57283309464,438.25,609.1572651818218,7811.781578892204,175981.82312117622
133,136483.80742022046,439.75,280.0283762365498,3261.2617321028524,175671.4608038173
134,6207.986317560935,447.0,664.5142002913576,7812.601808886769,179396.29741846875
135,128873.90556399632,450.75,372.2275373647169,4059.4921643861503,181541.34969901762
136,12545.67238481807,451.0,392.80141582554796,4364.659592448016,178011.50268833747
137,64334.71405407539,451.25,301.9267164134126,3060.3404137357484,175810.72499047001
138,127960.73377883511,461.25,314.68145601165224,3417.1650779808915,187942.06056583888
