Cutoff,downstream_distance,time,radius,cutlen
0,390403.649197329,3.0,406.22493270482045,5056.580095894217
1,110497.8179672574,21.5,392.5890157097354,4756.1891237067175
2,221922.9843480353,23.0,340.29421863014664,3855.3962841770754
3,301373.5324608047,25.0,338.71505781657726,3905.7592720639136
4,66055.1112479785,30.0,439.98770896760584,5106.544732178589
5,404705.84294775955,31.5,351.95844649310544,4256.60997291398
6,419682.246058834,33.5,406.9193865028605,4505.728159430335
7,124937.7232709384,35.0,334.97473068504524,3905.8277388773813
8,426077.9298862501,35.5,675.8153797201164,9610.334544079087
9,70625.8268741872,37.0,470.9928240376178,12312.347818296017
10,105747.36752576362,41.0,395.3548690363699,4457.5127459383975
11,125081.87436957209,42.5,381.5445156690084,4414.29421875654
12,79935.65020043407,53.0,441.59037885282197,5407.892043949318
13,156280.59120151665,54.0,258.33321093128404,2904.695674057168
14,290619.9107203036,62.5,343.39823924294114,10810.879724262879
15,384943.778612922,71.0,428.565265145688,4755.921807510928
16,198793.18061788988,79.5,364.98028624923364,4105.854642230693
17,22409.089204558946,84.5,531.653622414258,5556.683157631586
18,242464.40083090402,85.5,303.9492969953043,3455.6887417396833
19,138541.85214508485,86.5,670.2123860124142,10760.272821049271
20,218917.46965792796,87.0,347.1744566072486,3706.1012584994955
21,306783.4020437642,88.0,575.2660021503444,6508.239397188943
22,131694.21078549325,91.5,393.12093683829954,4614.181923174428
23,271821.3343734652,94.5,562.1594426869486,6608.104613098311
24,313224.30772699194,108.5,251.72235622051898,2855.3397869440705
25,71560.85564895665,111.0,248.97124120820186,2553.9505382496613
26,100141.54689801509,116.5,292.93328708274214,3104.802492596713
27,66056.86584373232,118.5,181.527303207022,11814.312363845183
28,267042.5532939743,129.0,287.7849352877703,3255.7026743995575
29,160846.16469264735,129.5,402.1507840227447,4406.523382980525
30,173579.08938485177,135.5,236.34739110080005,2654.211172177962
31,74921.61916745325,144.5,330.43951472598013,3505.8506310011726
32,296091.63360477844,162.5,364.460400156599,5158.210656622998
33,132730.03681769018,176.0,283.3271927002261,3004.696784955948
34,200358.16217856904,188.5,409.5248762554315,5708.624278576928
35,210568.7893436023,197.5,416.3117958789991,4807.292577867223
36,336898.29289851914,206.5,325.46453793908216,19019.93476677261
37,386287.41405034676,207.0,316.35296011472536,7261.135109166519
38,368746.6448599424,218.0,377.92968690873164,4155.899681931536
39,357466.71770192886,224.0,528.811996758605,6557.526615457239
40,125777.4615589662,231.5,290.940800991453,3305.4835072098995
41,253757.33661340884,237.5,453.2998681830286,4956.715483306044
42,156436.40331601095,238.0,255.5448826359586,2554.2336480429262
43,193041.19381006734,243.5,503.74106514714924,7307.004666186584
44,382945.74910004425,247.5,402.1861536688052,4406.397002070513
45,153050.49284343672,250.0,279.7856909994803,3106.85962523125
46,252786.51727458957,255.0,311.2722160237067,3258.4902924446997
47,213514.48347607965,271.0,384.20575891479217,4205.701900493013
48,417067.99447714083,275.0,381.2729792384008,4756.414539763852
49,185584.67677350732,289.0,284.05247327502804,3255.109311382094
50,407360.7401922346,292.5,364.77110541172647,4155.82204559922
51,361302.6641996274,297.0,252.50866804991267,2854.458897608168
52,328028.71281593473,306.0,275.95412225154547,3105.2520025637923
53,352465.02016286604,309.0,440.3477941585801,4756.273798715034
54,13154.444323301608,313.0,431.6776707725156,5457.491170721383
55,299533.4264395974,313.5,529.1072450653796,6857.546500997791
56,131404.27243625975,315.0,423.674634098632,5156.54572187169
57,16063.42141498094,320.5,407.4116457305856,4809.188076336224
58,135889.4096013563,321.0,340.94849414285187,4159.4231323554095
59,327514.051363478,325.5,251.55118233680653,2806.878995619352
60,115585.11726766804,328.0,352.0232353716973,3905.774930969671
61,226210.0823332533,332.5,251.61535194017085,15668.819319259575
62,29527.99266064684,340.5,375.0385968546518,4306.2465992142
63,207219.26127059266,342.5,342.9107443274762,7210.85560686338
64,283778.2849715035,344.5,352.16912846595545,4106.24097596599
65,293589.5431254672,350.5,326.0235091005615,3505.8224811014543
66,356940.1077250712,359.5,327.12389855664924,3956.3187980433454
67,97802.387499733,374.0,398.9335955492895,4456.249454089186
68,59303.77781511455,379.0,371.39001418096564,8708.883466227024
69,82842.30629575382,387.5,419.0500856551088,4756.359160340088
70,375896.07630249794,391.0,386.45425091275524,4706.788788410108
71,136940.28985134079,394.5,568.1844042469584,7957.4862136775755
72,231011.47451422,396.0,432.42732619000435,5056.2841691476315
73,153517.9631502323,404.5,284.9444840302903,3606.1152484175395
74,77278.22638612505,412.5,611.174795054554,7808.943782367688
75,154002.86286616026,414.0,229.3399047973353,2459.8241074741313
76,327753.7009423201,421.5,275.66300351819336,8307.979640529675
77,353059.88369992655,430.0,244.37315929180434,6205.577442303595
78,148909.92559797163,432.5,323.859221127808,3405.6685218987373
79,197360.87240671806,442.0,440.8959074681539,4956.355943941586
80,126030.86515067072,448.5,344.6624768103379,3805.5393522498416
81,131086.59680615904,450.0,300.54039716886933,3405.749512998363
82,380964.9838681696,450.5,287.8975362058888,2854.6811862472637
83,313780.8538303099,462.0,305.3750426895199,8909.480750158637
84,211612.10310321892,465.0,404.25766808340654,4255.859435463035
85,295060.16965710645,471.0,251.53270129931363,2704.3512972361864
86,405018.21168326505,481.0,526.7042434867592,6757.692185525459
87,370671.23512239545,484.5,250.74369670968989,2603.974428470488
88,165624.61733060877,496.5,225.59714212640213,2403.438241429542
89,139002.38611928854,499.0,223.84024441901556,9707.961839565894
