Cutoff,downstream_distance,time,radius,cutlen,,,,,,,,,,,,,
0,195733.0639,6.5,282.5555901,3312.044743,,392.2050015,5740.055912,,,,,,,,,,
1,116062.6734,10,603.1108837,8010.668481,,,,,,,,,,,,,#DIV/0!
2,302436.5766,14,265.9269107,3011.220758,,,,,,,,,,,,,#DIV/0!
3,306043.9486,15,326.3255562,3512.142436,,,,,,,,,,,,,
4,343977.3317,18,218.4341705,6210.260127,,,,,,,,,,,,,
5,342194.3917,30.5,360.6421687,3866.811369,,,,,,,,,,,,,
6,214398.0351,31.5,369.3913921,3910.736536,,,,,,,,,,,,,
7,181523.7588,33.5,306.4414749,3310.398335,,,,,,,,,,,,,
8,132513.1852,36,299.306151,3060.196738,,,,,,,,,,,,,
9,195414.7249,41,323.3005695,4013.616293,,,,,,,,,,,,,
10,137678.5399,42.5,429.4162742,4910.613747,,,,,,,,,,,,,
11,147163.4331,46,557.7173887,7312.297848,,,,,,,,,,,,,
12,26392.45946,47.5,389.6537184,4562.765669,,,,,,,,,,,,,
13,340974.6879,48.5,384.8760743,7517.146362,,,,,,,,,,,,,
14,243972.1054,49,340.9851635,3862.211287,,,,,,,,,,,,,
15,71890.12774,50,361.2059501,4311.524812,,,,,,,,,,,,,
16,372781.2374,51.5,448.8070511,6762.707574,,,,,,,,,,,,,
17,19676.54251,53.5,383.2643158,4766.013703,,,,,,,,,,,,,
18,145435.266,54.5,369.0642753,21808.06228,,,,,,,,,,,,,
19,284598.1435,58.5,315.6113323,7817.102492,,,,,,,,,,,,,
20,109290.4084,60.5,387.4755679,4411.609741,,,,,,,,,,,,,
21,344174.5431,61.5,251.8406776,2817.311577,,,,,,,,,,,,,
22,77311.33609,64.5,380.9228967,4561.828495,,,,,,,,,,,,,
23,47686.47631,65.5,217.6627329,11379.01695,,,,,,,,,,,,,
24,345347.6423,71.5,214.525389,7615.452745,,,,,,,,,,,,,
25,171071.5338,75.5,334.8484069,3510.6413,,,,,,,,,,,,,
26,250410.7896,77.5,400.5203233,4661.318999,,,,,,,,,,,,,
27,79869.53821,80,325.0678426,3813.844136,,,,,,,,,,,,,
28,286319.1003,82.5,468.6945992,5512.977702,,,,,,,,,,,,,
29,353526.809,86.5,340.2844595,12825.36798,,,,,,,,,,,,,
