TABLE S1. INPUTS AND RESULTS FROM MODEL SIMULATIONS,,,,,,,,,
,Parameter,,,Result,,,,,
ID,M (relative difference ratio),tau (yr),kl (m/yr),D,Dnull,D5,D95,cluster,disp
4,0,0,11.4,419417.2675,470232,395450.5665,551833.2906,-132416.023,-23966.701
5,1,10,11.4,455263.6704,401472,334492.3356,482453.0285,-27189.35809,-120771.3348
6,3,10,11.4,447327.2263,411624,336947.7808,477536.3377,-30209.11138,-110379.4454
7,0,0,25,499613.7551,565728,499269.1939,638816.4841,-139202.729,-344.5612104
8,1,10,22.7,178240.7918,211194,171385.3768,254335.8991,-76095.10728,-6855.41507
9,2,10,22.7,203915.7866,206640,168311.4429,243080.5646,-39164.77806,-35604.34369
11,3,5,22.7,237942.7832,211122,170916.6471,251683.1411,-13740.3579,-67026.13611
12,3,10,22.7,253397.5356,215352,173714.6961,253397.5356,0,-79682.83951
13,2,8,10,489711.2507,474768,388888.3462,570369.5744,-80658.32365,-100822.9046
14,1,8,10,366819.6605,466242,387982.3332,552345.758,-185526.0975,21162.67272
15,2,8,20,168725.2609,197388,165416.9224,235222.8637,-66497.60282,-3308.338449
16,1,8,20,228526.9132,270816,221028.3738,318152.3119,-89625.39875,-7498.539338
17,3,8,20,503504.2533,552096,489267.2365,625387.007,-121882.7537,-14237.01682
18,2,6,20,216501.5269,205452,169870.4288,239817.0759,-23315.54905,-46631.0981
19,1,6,20,234705.0083,275448,227133.879,318744.5435,-84039.53521,-7571.129299
20,2,8,30,312467.1415,325920,282146.256,372877.4556,-60410.31403,-30320.88559
21,2.5,10,30,407393.5184,323250,282816.8689,371156.9371,36236.58138,-124576.6496
22,2.5,10,45,240883.0738,214524,185375.2351,248513.5314,-7630.457618,-55507.83875
23,0,0,30,281946.8972,340740,299259.426,388789.932,-106843.0347,17312.52878
24,0,0,45,240985.1557,274776,242512.5264,315826.3202,-74841.16455,1527.370705
25,0.5,10,20,627858.4735,597294,518299.2768,683059.4534,-55200.97989,-109559.1967
26,0.5,10,30,356629.3941,415836,364405.5238,467640.3484,-111010.9543,7776.129646
27,0.5,10,45,240715.2561,274800,242375.3613,315419.9907,-74704.73465,1660.105214
28,1.5,8,30,380077.6273,417744,369958.6775,481513.9292,-101436.3018,-10118.94982
29,1.5,8,45,205898.679,210780,185308.8111,240901.4544,-35002.77542,-20589.8679
30,1,8,30,290306.012,333000,297273.3563,379023.5293,-88717.51727,6967.344289
31,1,8,45,194016.5589,205596,181082.1216,237831.9651,-43815.40621,-12934.43726
32,3,8,30,333780.6614,264960,236229.2895,304177.4956,29603.1658,-97551.37188
33,3,8,45,166919.2247,137328,114132.8032,162781.9106,4137.314116,-52786.42148
34,2,8,45,190665.0714,205596,180704.9558,237619.9024,-46954.83102,-9960.115671
35,2,6,45,273171.3517,274584,240606.8572,311754.8759,-38583.52425,-32564.49447
36,2,6,30,389146.5359,416016,365125.1448,473942.0464,-84795.51059,-24021.3911
37,3,6,45,211708.2806,200448,175037.382,234391.3106,-22683.03006,-36670.8986
38,3,6,30,374641.547,337200,295899.5213,383839.3335,-9197.786484,-78742.02575
39,2,4,45,252010.3152,279000,245167.651,320436.9571,-68426.64188,-6842.664188
40,2,4,30,431864.6706,414144,359887.2255,471576.3645,-39711.69385,-71977.44511
41,3,4,45,279454.4879,279024,243710.3092,312599.09,-33144.60205,-35744.17869
42,3,4,30,431990.8818,416556,361727.3046,481956.0922,-49965.21042,-70263.57715
43,1,4,45,254756.6417,279624,247602.5169,316002.9303,-61246.28853,-7154.124871
44,1,4,30,400412.6195,410868,361663.0111,462928.6543,-62516.03478,-38749.60834
45,1,2,45,300488.4173,285624,252373.4008,333671.1873,-33182.77,-48115.01651
46,1,2,30,343629.2591,416088,371744.3803,472430.1562,-128800.8971,28115.1212
47,2,2,45,230548.9383,271392,235159.917,307705.983,-77157.04468,4610.978766
48,2,2,30,277161.5956,410292,360310.0742,468721.955,-191560.3594,83148.47867
49,1.5,8,25,474675.1528,478758,419023.5832,541129.6742,-66454.52139,-55651.56964
50,2.5,8,25,572655.526,485394,418164.3923,560384.3361,12271.18984,-154491.1337
51,1.5,10,25,427900.914,405288,357702.7902,461741.4438,-33840.5298,-70198.1238
52,2.5,10,25,426591.0637,417960,365268.5983,469783.4089,-43192.3452,-61322.46541
53,3,10,25,504667.0822,401832,349919.6759,459350.0381,45317.04412,-154747.4063
54,2.7,9,40,214915.8293,201852,175670.3301,232358.2735,-17442.44412,-39245.49927
55,2.2,8.5,40,241190.1983,205794,179999.3517,237021.4789,4168.719477,-61190.84661
56,3,8,40,230524.2572,207576,183244.7599,236691.1482,-6166.890957,-47279.49734
57,2.5,7,40,245928.311,202554,173990.0976,232711.7555,13216.55549,-71938.21342
58,2.6,8.2,40,238002.0356,203634,177495.8843,234649.8943,3352.141347,-60506.15131
59,2.4,9,40,245649.0225,208476,181445.3007,240205.6634,5443.35902,-64203.72178
60,3,6,40,221535.6319,209754,181392.7091,240357.8322,-18822.2003,-40142.92277
61,2.5,8,35,210776.4203,203778,176837.8441,239356.2739,-28579.8536,-33938.57614
62,2.5,9,35,198180.224,197478,170091.6883,226580.8545,-28400.63052,-28088.53568
63,3,9,35,209816.4611,201474,175875.563,231415.2144,-21598.75335,-231415.2144
64,3,7,35,249214.6998,202680,175188.7038,238138.491,11076.20888,-11076.20888
65,3,10,35,248680.4295,208692,180378.4759,240504.6346,8175.794943,-68301.95359
66,3,8,35,292887.8219,281472,243549.0009,322766.3112,-29878.48922,-49338.82101
