,ID,M (relative difference ratio),tau (yr),kl (m/yr),D,Dnull,D95,D5,R (m),phi
0,4,0.0,0.0,11.4,179750.2575,186508,252524.534,120660.8301,388.749041622943,0.0
1,5,1.0,10.0,11.4,139485.1881,159240,223381.5929,107014.2055,388.8840577526317,0.2931464988788899
2,6,3.0,10.0,11.4,216082.8766,163272,221325.4576,109723.2697,388.081621304,0.8812579138657473
3,7,0.0,0.0,25.0,153674.2998,224384,286959.7517,182285.5929,396.15733731761304,0.0
4,8,1.0,10.0,22.7,73798.94615,83772,117912.5817,54843.32056,394.0257593124,0.5761044668656421
5,9,2.0,10.0,22.7,78526.19439,81960,113811.3482,52333.14658,392.20500145000005,1.1575579054870309
6,11,3.0,5.0,22.7,98567.84722,83748,117342.503,56857.47824,387.22063809959997,0.879343626081256
7,12,3.0,10.0,22.7,125172.2766,85428,116464.0178,57659.4298,390.73156522539995,1.742884528940358
8,13,2.0,8.0,10.0,195644.4458,188328,260147.7263,122177.1721,389.4717466928,0.41081285448467125
9,14,1.0,8.0,10.0,84650.69089,184940,247715.7177,126452.1304,388.5055917312,0.2059172421264674
10,15,2.0,8.0,20.0,62858.43053,78300,112971.378,50145.59363,382.70088688140004,0.8361621594547514
11,16,1.0,8.0,20.0,67843.92734,107424,146453.444,71697.0477,392.8504145232,0.407279702617066
12,17,3.0,8.0,20.0,211819.0307,218976,281624.6442,175100.8389,384.3889193352639,1.248735267473577
13,18,2.0,6.0,20.0,64950.45807,81492,117125.353,50557.12629,386.8788893718,0.6203491753962159
14,19,1.0,6.0,20.0,106161.476,109264,148977.8888,71547.56663,396.56216779499994,0.30260072630537255
15,20,2.0,8.0,30.0,113657.6386,129280,168474.9408,100881.8019,381.9964600981282,1.256556146820566
16,21,2.5,10.0,30.0,173678.2894,128220,172427.7474,100527.8933,375.5433938200554,1.997106093042788
17,22,2.5,10.0,45.0,100494.4576,85092,114290.0802,65774.38127,400.8588355449624,2.806474250394349
18,23,0.0,0.0,30.0,81616.20709,135160,180975.2214,100841.9602,392.1347337510391,0.0
19,24,0.0,0.0,45.0,78209.39329,108992,144366.449,86799.94079,387.53733598943904,0.0
20,25,0.5,10.0,20.0,203256.9824,236916,317637.2064,187660.0298,390.422063844734,0.2561330653683772
21,26,0.5,10.0,30.0,143585.9312,164952,214900.2299,130363.1936,388.6839202403636,0.385917688355205
22,27,0.5,10.0,45.0,84665.36594,108992,137827.801,89555.76348,390.6229265214607,0.5760030574847443
23,28,1.5,8.0,30.0,145614.1559,165696,212259.9099,135172.9916,388.06628554755366,0.9276765681719743
24,29,1.5,8.0,45.0,74506.74984,83604,110619.3398,62970.10662,396.9491232469871,1.3603758476221768
25,30,1.0,8.0,30.0,125412.1972,132080,173870.6794,101579.449,379.3568264494985,0.6326497462724577
26,31,1.0,8.0,45.0,58497.40279,81552,111798.7907,62389.09296,384.9299532639681,0.935235091339145
27,32,3.0,8.0,30.0,137357.1481,105104,140625.0713,81410.87604,391.03272233416186,1.8412781306437958
28,33,3.0,8.0,45.0,65410.95881,54472,74591.05969,41577.91123,387.10716424037224,2.789925115747482
29,34,2.0,8.0,45.0,87506.73054,81552,106982.5921,59467.69554,387.6185858966933,1.8574960700978664
30,35,2.0,6.0,45.0,94143.79917,108912,141045.8339,89459.83416,384.6715208998413,1.4037951100118022
31,36,2.0,6.0,30.0,152667.4383,165024,211245.9401,134798.0109,384.4287226120699,0.9364544812206419
32,37,3.0,6.0,45.0,83171.11022,79512,104878.6997,61126.64008,391.40707681544586,2.0694567062769966
33,38,3.0,6.0,30.0,141331.8411,133760,175474.082,103101.4712,387.08679619045535,1.395035959155548
34,39,2.0,4.0,45.0,108697.3309,110672,141815.5124,86054.00875,391.38605814092233,0.9198079300780267
35,40,2.0,4.0,30.0,181184.6032,164280,213442.9769,125475.1281,396.11058205823093,0.6058914123246483
36,41,3.0,4.0,45.0,115652.9533,110672,140371.0907,90305.07374,393.2218630336193,1.373270539521938
