ID,M (relative difference ratio),tau (yr),kl (m/yr),K,Knull,K95,K5,PHI
4,0,0,11.4,287600.412,313488,388700.8458,248667.3842,0
5,1,10,11.4,273846.6162,267648,332403.3323,211247.9464,0.293146499
6,3,10,11.4,339433.289,274416,337348.8926,222676.0109,0.881257914
7,0,0,25,306145.9909,377152,439349.9414,328012.0906,0
8,1,10,22.7,126047.7177,140796,180343.0136,114937.9608,0.576104467
9,2,10,22.7,143979.8996,137760,177075.0242,111798.5566,1.157557905
11,3,5,22.7,147232.3083,140748,181160.1976,113944.4314,0.879343626
12,3,10,22.7,174019.9943,143568,178936.985,117135.6914,1.742884529
13,2,8,10,347006.7128,316512,396869.4367,254957.2835,0.410812854
14,1,8,10,205467.6495,310828,388377.1498,255036.6383,0.205917242
15,2,8,20,122408.5226,131592,169530.0755,105866.8304,0.836162159
16,1,8,20,146400.0537,180544,225972.2014,144151.3395,0.407279703
17,3,8,20,375612.4479,368064,431809.7363,316986.6799,1.248735267
18,2,6,20,138438.4072,136968,179312.6875,109916.1598,0.620349175
19,1,6,20,171464.8686,183632,230233.1396,147071.4383,0.302600726
20,2,8,30,208555.0668,217280,261772.5211,185604.5382,1.256556147
21,2.5,10,30,273488.8873,215500,256634.8302,187282.2956,1.997106093
22,2.5,10,45,157563.1156,143016,172656.2153,123257.0112,2.80647425
23,0,0,30,173125.2878,227160,266178.6902,193266.3118,0
24,0,0,45,154086.8392,183184,217516.6479,157191.9315,0
25,0.5,10,20,379987.4698,398196,485085.6202,346347.6147,0.256133065
26,0.5,10,30,240735.1789,277224,325967.5033,239529.1593,0.385917688
27,0.5,10,45,159583.1614,183200,213776.8765,156595.6512,0.576003057
28,1.5,8,30,260314.262,278496,333275.0042,242768.0803,0.927676568
29,1.5,8,45,131582.5592,140520,166095.3773,119306.3877,1.360375848
30,1,8,30,188612.1754,222000,259262.9188,190353.687,0.632649746
31,1,8,45,131041.3837,137064,163340.404,113201.1414,0.935235091
32,3,8,30,221907.9039,176640,210712.0573,148647.6023,1.841278131
33,3,8,45,122308.2833,91552,112869.68,74933.28938,2.789925116
34,2,8,45,139275.6512,137064,163018.2045,117230.8102,1.85749607
35,2,6,45,184641.5214,183056,220480.1269,158971.981,1.40379511
36,2,6,30,286894.0648,277344,331776.7194,240741.6819,0.936454481
37,3,6,45,136765.6336,133632,158827.9189,116960.2747,2.069456706
38,3,6,30,249061.933,224800,269865.5009,193641.4846,1.395035959
39,2,4,45,171986.3059,186000,219124.0474,163139.4308,0.91980793
40,2,4,30,315553.2419,276096,326769.1187,238295.6318,0.605891412
41,3,4,45,188627.2342,186016,217785.296,159681.0189,1.37327054
42,3,4,30,298658.7485,277704,330575.5138,244037.1349,0.944326908
43,1,4,45,179102.3382,186416,217574.4884,162174.2146,0.456821771
44,1,4,30,275542.2998,273912,319594.0032,236559.5138,0.307688408
45,1,2,45,214368.024,190416,226747.9896,163153.5433,0.230984176
46,1,2,30,213337.1118,277392,334182.8085,238598.1255,0.150605126
47,2,2,45,143751.3224,180928,210578.2619,159109.4702,0.458676396
48,2,2,30,186243.9073,273528,323444.8786,238721.2197,0.306658399
49,1.5,8,25,331010.1814,319172,381203.1915,273583.1328,0.777994093
50,2.5,8,25,401065.6434,323596,383020.6773,278454.1702,1.287879415
51,1.5,10,25,295413.2015,270192,316755.662,232878.1378,0.976688383
52,2.5,10,25,300610.8621,278640,327178.0461,238292.4977,1.629398305
53,3,10,25,359749.3857,267888,321530.9413,231811.3889,1.978334473
54,2.7,9,40,134622.4895,134568,160913.3367,115537.2191,2.541750028
55,2.2,8.5,40,166672.203,137196,160732.8288,118373.4716,1.909168104
56,3,8,40,160185.5016,138384,167661.5649,117913.6841,2.498219416
57,2.5,7,40,155888.6811,135036,162706.6189,114890.5612,1.829688091
58,2.6,8.2,40,158287.8647,135756,164814.9736,114332.9124,2.164625569
59,2.4,9,40,158556.7286,138984,168134.5087,120842.3461,2.205384381
60,3,6,40,139566.487,139836,167240.766,120084.3139,1.871138988
61,2.5,8,35,139326.7863,135852,163639.8696,112056.558,1.815125232
62,2.5,9,35,137989.4284,131652,157722.9699,112654.2246,2.046894476
63,3,9,35,127835.129,134316,162511.5437,115263.3473,2.407602849
64,3,7,35,167416.714,135120,166794.4102,112668.2064,1.883284596
65,3,10,35,180217.3109,139128,169541.3514,115309.2169,2.688001225
66,3,8,35,188964.2287,187648,225176.7449,161914.4415,2.196375453
