Cutoff,downstream_distance,time,x,y
0,0.5301833694748194,0.5,"[array([9985.73026071, 9859.89404596, 9752.63252318, 9663.28033075,
       9597.53713056, 9569.10807546, 9569.08809199, 9596.82656205,
       9628.59394512, 9689.34431584, 9721.81408357, 9720.28736256,
       9720.27944465, 9714.69292678, 9681.7161013 , 9594.95785741,
       9512.90944312, 9404.17412234, 9293.86331737, 9178.25661365,
       9051.72884164, 8933.11683878, 8804.95214744, 8689.1873924 ,
       8584.31136313, 8505.41012978, 8428.83397475, 8370.5727967 ,
       8308.49243046, 8279.82827643, 8249.37791857, 8249.58894805,
       8233.13143453, 8250.9701149 , 8279.94732668, 8314.33317079,
       8392.19882196, 8502.87196413, 8619.65301588, 8724.18015897,
       8841.69649208, 8967.89056674, 9083.00203044, 9211.42619984,
       9345.80290236, 9467.68243968, 9587.41496308, 9712.68256299,
       9832.75512029])]","[array([14008.82461643, 13972.74704531, 13891.38322571, 13806.62069113,
       13692.85040695, 13563.65229998, 13422.82744333, 13293.48013524,
       13165.82963489, 13050.2992034 , 12923.05041062, 12781.61019343,
       12640.91618679, 12502.51872661, 12372.95971789, 12288.12889807,
       12181.13078259, 12102.84589269, 12029.3433148 , 11968.48859311,
       11946.46736611, 11998.6893313 , 12029.03743103, 12089.6696825 ,
       12175.33787145, 12283.52486126, 12392.58261737, 12509.18737587,
       12624.22114865, 12753.10300839, 12881.2334077 , 13022.00646648,
       13156.05972595, 13278.07757729, 13406.75764686, 13533.31037968,
       13641.27665759, 13713.16375795, 13770.85326585, 13858.30584818,
       13914.448769  , 13949.40909839, 14011.1607759 , 14040.927566  ,
       14056.0751182 , 14101.37467267, 14151.94826513, 14189.17623011,
       14239.73905851])]"
1,0.04504283977409832,58.0,"[array([29039.35347153, 29162.82506712, 29303.06232189, 29442.94435267,
       29584.5769433 , 29726.481249  , 29865.89845919, 30007.73512334,
       30140.53814477, 30233.48130256, 30261.7492097 , 30243.84990013,
       30178.262504  , 30084.58897116, 29964.79611837, 29823.46662205,
       29682.67276489, 29548.79900191, 29428.20877857, 29321.93240815,
       29222.11640118, 29116.81246932, 29007.03319018, 28885.99627552])]","[array([1869.7348844 , 1799.08062723, 1777.5968341 , 1753.14331064,
       1760.35162081, 1762.46916011, 1788.30451522, 1791.5457338 ,
       1741.07436591, 1633.16030475, 1493.72615689, 1352.39806319,
       1226.26652399, 1119.37413601, 1042.12432297, 1028.30458438,
       1048.52717223, 1095.9654172 , 1170.98753775, 1265.05040188,
       1365.85495273, 1460.80484253, 1550.68439979, 1624.52134096])]"
2,0.26677071102130834,66.0,"[array([19284.84621335, 19395.24580702, 19519.64189688, 19654.26233687,
       19795.88604911, 19934.61111607, 20059.42194554, 20174.03146991,
       20294.85718499, 20428.39127329, 20567.73709062, 20705.41957966,
       20830.48809099, 20931.79817804, 21014.83129424, 21099.39963795,
       21200.91378909, 21322.65946699, 21459.66170613, 21601.70573644,
       21734.35913993, 21841.62959273, 21910.88836849, 21938.54104604,
       21931.15123538, 21897.40224036, 21838.93642339, 21753.55109477,
       21646.33376175, 21530.04512699, 21416.01752599, 21305.97461017,
       21191.53713684, 21066.89174702, 20935.93659568, 20806.21217424,
       20683.78485989, 20569.00856481, 20455.73712485, 20336.96380707,
       20209.03370568, 20072.56795406, 19931.43627312, 19789.59801895,
       19649.70107657, 19515.06762375, 19391.2604471 , 19285.07158705,
       19203.95743112, 19155.61382301, 19140.5209531 , 19140.57247045,
       19122.75650749, 19061.7477415 ])]","[array([8185.05997609, 8274.49678106, 8343.06760248, 8388.47712103,
       8400.2532583 , 8369.5108292 , 8301.82421235, 8218.00919173,
       8143.6989469 , 8096.1843655 , 8069.33056382, 8034.7783419 ,
       7967.88963374, 7868.52890284, 7753.37136756, 7639.46843118,
       7540.39717466, 7467.39626598, 7429.83688857, 7435.11436351,
       7486.38022904, 7579.82129944, 7704.06837713, 7843.53794153,
       7985.47337144, 8123.48160262, 8252.97193352, 8366.4487937 ,
       8459.46397912, 8540.88964986, 8625.20513378, 8714.75623109,
       8798.67450443, 8866.33559099, 8921.00100667, 8978.44583808,
       9050.04218377, 9133.45249969, 9218.87883738, 9296.46744736,
       9357.85918683, 9396.80067546, 9411.87047362, 9406.28178068,
       9382.1946465 , 9337.15260259, 9267.64785957, 9173.32865078,
       9056.67797729, 8923.08916168, 8781.97136902, 8639.99312233,
       8499.2381813 , 8371.15035852])]"
3,0.8939306049477783,72.5,"[array([4373.1294426 , 4240.54071194, 4123.74164962, 4028.85635824,
       3953.31319418, 3882.77702498, 3797.46475166, 3695.05143283,
       3585.36443635, 3471.73761123, 3355.42157585, 3237.43587282,
       3115.47680364, 2992.49821919, 2866.23674421, 2732.07583005,
       2596.25377953, 2459.97720961, 2320.49063783, 2178.73436352,
       2038.54803096, 1905.46718017, 1781.12090033, 1669.9938579 ,
       1581.34363732, 1523.92128791, 1498.05964751, 1497.35670337,
       1518.85159878, 1568.34642   , 1653.33208193, 1768.2344493 ,
       1894.06580096, 2024.608906  , 2158.56416345, 2294.79002056,
       2431.8161065 , 2569.77466798, 2710.03969258, 2851.95542936,
       2992.96581678, 3133.94516642, 3273.31555021, 3413.63622444,
       3553.80199158, 3694.90812637, 3836.75347179, 3978.53313966,
       4119.05074211, 4256.9755231 ])]","[array([27255.57969526, 27204.66797652, 27123.75723186, 27018.04300763,
       26897.82079441, 26774.716622  , 26661.38072141, 26563.12202274,
       26473.09809273, 26388.09247581, 26306.80802512, 26227.98312482,
       26155.4434118 , 26084.61551403, 26019.93280323, 25973.53935011,
       25932.48930477, 25892.94453783, 25866.62038179, 25859.53097093,
       25882.19786363, 25931.75480055, 26000.30966717, 26088.75138208,
       26199.76082224, 26329.73782998, 26469.43820323, 26611.47105834,
       26751.86806863, 26885.06387134, 26998.94206269, 27082.6530777 ,
       27148.39164004, 27204.14108662, 27251.02310867, 27290.7910582 ,
       27327.65273417, 27360.94360502, 27382.45978324, 27378.46292986,
       27363.66990674, 27380.56017921, 27406.97117443, 27428.13420438,
       27450.18295687, 27465.23307586, 27469.12559509, 27464.57207069,
       27484.70928951, 27518.04636853])]"
4,0.310582750165774,93.0,"[array([18068.04149148, 18019.6473597 , 17995.97354502, 18003.89103397,
       18042.82106427, 18107.28888908, 18192.19727002, 18293.90030865,
       18406.93230185, 18521.9081866 , 18625.06449743, 18698.75801886,
       18727.57042519, 18705.69154764, 18637.64212357, 18534.22863754,
       18408.24486627, 18270.83752652, 18129.24733712, 17987.33916263,
       17848.29881049, 17717.15087413, 17600.44990039, 17502.08662666,
       17418.94003576, 17342.6139075 , 17267.12357676, 17194.64150019,
       17134.60375471, 17098.55710422, 17094.67673608, 17125.50571431,
       17189.39955704, 17281.92602766, 17395.13892837, 17517.86559126,
       17637.17267295, 17736.21979328, 17796.01452059])]","[array([ 8725.82234128,  8859.42875321,  8999.55617404,  9141.46457839,
        9278.17807295,  9404.86312008,  9518.83864188,  9618.05800741,
        9704.04571358,  9787.42882017,  9885.05814142, 10006.53841538,
       10145.81692362, 10286.46291479, 10411.51864474, 10509.32954285,
       10575.44478799, 10612.08871261, 10624.71837636, 10616.88305967,
       10587.41532633, 10532.61529731, 10451.48699679, 10348.92679968,
       10233.72232267, 10113.94755305,  9993.67976882,  9871.53946983,
        9742.79716095,  9605.36931255,  9463.2924415 ,  9324.49381572,
        9197.44960834,  9089.48338729,  9003.59808855,  8932.06641713,
        8854.98986598,  8753.22119969,  8624.26570097])]"
5,0.6121034584588282,104.5,"[array([8569.13820378, 8494.68388482, 8440.12710664, 8405.99511037,
       8395.95272538, 8414.18250852, 8460.45278223, 8528.17572471,
       8607.81860001, 8691.39186366, 8772.85221385, 8844.4110118 ,
       8893.54432616, 8905.82415394, 8872.7153354 , 8796.43329641,
       8687.12669621, 8557.03524004, 8416.90608901, 8274.84209922,
       8136.12427954, 8003.73253482, 7879.35502287, 7763.6515665 ,
       7655.11959246, 7549.67053705, 7443.54802611, 7337.48485299,
       7237.80761297, 7154.27044055, 7096.14150618, 7068.79130813,
       7073.85463235, 7111.30232125, 7179.35558842, 7272.79635012,
       7383.55210333, 7504.15718215, 7630.47533009, 7761.09108879,
       7894.45181284, 8026.74571495, 8150.58584147, 8255.38019316,
       8333.88359821])]","[array([17353.43963934, 17232.36797668, 17101.14740599, 16963.20116974,
       16821.4466199 , 16680.51207368, 16546.14922197, 16421.24039847,
       16303.63950966, 16188.85039544, 16072.55718789, 15949.8857245 ,
       15816.60081344, 15675.0068473 , 15536.6783659 , 15416.54374466,
       15325.41164892, 15267.80074254, 15243.46047378, 15249.14973723,
       15280.1227375 , 15331.73570555, 15400.38650556, 15482.77345246,
       15574.37119252, 15669.46544377, 15763.78545173, 15858.2085339 ,
       15959.36478255, 16074.22948705, 16203.88135024, 16343.36487155,
       16485.44049852, 16622.59285138, 16747.41169649, 16854.53176893,
       16943.57933234, 17018.65334031, 17083.58707718, 17139.3051546 ,
       17188.07568846, 17239.70723888, 17309.15633934, 17405.03829853,
       17523.51086663])]"
6,0.7420662023659499,123.5,"[array([4805.98336013, 4931.73549954, 5069.38895622, 5211.19397322,
       5353.14878274, 5492.78568376, 5628.11359657, 5757.4904802 ,
       5879.21632193, 5990.73932288, 6088.89695666, 6172.33662678,
       6245.53531288, 6321.04790231, 6414.58706785, 6533.63137212,
       6671.42431087, 6813.54376685, 6947.60146974, 7065.68760442,
       7161.23648393, 7226.80040933, 7255.33004238, 7243.44776333,
       7194.28079889, 7118.13486925, 7029.5853387 , 6941.1908004 ,
       6855.88982471, 6763.99450174, 6653.70727299, 6524.88373238,
       6386.86893429, 6247.70686957, 6113.93388289, 5994.48844139,
       5890.37034621, 5786.72951162, 5667.60014259, 5532.24176322,
       5390.18693661, 5249.61777984, 5115.82306272, 4995.92291643,
       4901.28930384, 4843.15969193, 4820.17145383, 4805.93864852,
       4758.86288017, 4658.31086411])]","[array([20791.86716405, 20858.84241559, 20895.14764747, 20906.70389174,
       20897.94924486, 20871.08466995, 20827.46638019, 20768.5122345 ,
       20695.05383394, 20606.87027475, 20504.01917573, 20388.92305143,
       20267.07766944, 20146.67824414, 20039.67896501, 19961.85846853,
       19926.1240024 , 19935.17368223, 19983.18231449, 20062.7113423 ,
       20168.2468563 , 20294.62779663, 20434.13366688, 20576.02926368,
       20709.6177955 , 20829.80386682, 20941.0296643 , 21052.27265474,
       21165.97217456, 21274.41615434, 21364.11408506, 21424.35713187,
       21458.68729416, 21487.49925737, 21535.26255807, 21612.29797209,
       21709.15182844, 21806.35154288, 21883.79112028, 21927.42163917,
       21935.37216779, 21913.42600178, 21865.02501791, 21788.36422921,
       21682.01463638, 21552.09232833, 21411.65608561, 21270.19533683,
       21136.26837699, 21035.54595069])]"
7,0.7326935181639931,146.0,"[array([4644.46976511, 4513.2401854 , 4371.37904636, 4231.68197357,
       4104.37155664, 3990.44795166, 3872.74637952, 3735.64377253,
       3596.99496727, 3492.57854456, 3442.53101998, 3447.49870272,
       3499.27905828, 3587.17455617, 3700.73654552, 3830.91347749,
       3970.1639197 , 4112.40959822, 4253.12003981, 4389.0764784 ,
       4517.45835046, 4635.30810874, 4742.25588235, 4846.55893023])]","[array([18616.07353142, 18671.43705212, 18684.4785963 , 18656.69567136,
       18593.13843367, 18507.8818335 , 18428.24288484, 18391.1703725 ,
       18424.01512928, 18521.4233143 , 18655.1794539 , 18797.80002213,
       18930.66514218, 19042.83104456, 19128.78275186, 19186.40645964,
       19215.77028577, 19218.61746318, 19197.78577661, 19156.03114575,
       19094.86079955, 19015.31776572, 18921.66644236, 18825.08227124])]"
8,0.5839279464912235,231.0,"[array([11298.53030093, 11202.559996  , 11070.59188198, 10928.18458805,
       10797.67602268, 10678.83454361, 10553.03966137, 10412.66206612,
       10274.50134218, 10151.39409077, 10028.93582135,  9891.54567781,
        9752.02610294,  9626.03867658,  9500.19472183,  9359.98507082,
        9225.6572528 ,  9130.66315072,  9090.62827707,  9102.40098377,
        9155.52372669,  9239.2506618 ,  9344.8591203 ,  9466.12453163,
        9598.87044312,  9739.28654676,  9881.39417665, 10017.8284068 ,
       10148.78299266, 10285.00913142, 10427.07777439, 10551.11037127,
       10628.12411814, 10644.79823796, 10603.94794301, 10518.99586661,
       10411.48887101, 10308.88530385, 10245.63095329, 10251.88258784,
       10328.71365856, 10451.19086021, 10591.90792825, 10733.58685342,
       10869.1314368 , 10997.47094956, 11119.09626064, 11233.179199  ,
       11336.94137484, 11426.78417977, 11500.09849666, 11556.0802218 ,
       11594.4095388 , 11613.02156088, 11608.18319496, 11579.12210136,
       11534.77360608, 11496.14808596, 11490.07850277, 11535.32145853])]","[array([14048.91516518, 14153.79990196, 14207.52145705, 14199.37147823,
       14142.11178999, 14063.5333368 , 13997.30557174, 13975.01854524,
       14009.0407552 , 14080.78557041, 14152.87702813, 14186.91047083,
       14163.17531574, 14097.80022938, 14032.27706538, 14010.88839854,
       14058.28659873, 14164.91142252, 14302.03690625, 14444.29498909,
       14576.65486109, 14691.99175588, 14787.59608   , 14862.28000724,
       14913.85460355, 14937.67048974, 14928.57917448, 14888.09854983,
       14832.19217507, 14791.26137591, 14798.40622997, 14868.72475576,
       14989.01467174, 15130.93102478, 15267.77605086, 15382.24792313,
       15475.77827249, 15574.32393864, 15701.53805109, 15843.91483536,
       15964.3456269 , 16037.94233011, 16061.94600831, 16045.90058212,
       16002.09580095, 15940.49899006, 15866.60333499, 15781.54313772,
       15684.16140273, 15573.80268952, 15451.8293779 , 15320.98823639,
       15183.92893062, 15042.82478567, 14900.58593925, 14761.2992083 ,
       14626.08003785, 14489.14277316, 14347.02662546, 14211.97262809])]"
9,0.9119260382378561,234.0,"[array([4941.35596198, 4813.85813623, 4677.20580553, 4535.07998359,
       4396.38708769, 4273.99466758, 4169.79392826, 4058.48414278,
       3920.77638111, 3786.58728082, 3698.19928848, 3669.35361019,
       3693.82702522, 3760.5406309 , 3858.42406031, 3977.86592593,
       4111.00913923, 4251.49843043, 4393.72666749, 4530.81755806,
       4653.27845322, 4759.0941339 , 4871.08058743, 5008.91790946])]","[array([27445.2503022 , 27508.34678945, 27548.00309135, 27555.81935267,
       27523.74125293, 27451.68331716, 27355.84328905, 27269.61953339,
       27237.0946035 , 27285.6206487 , 27397.99649014, 27537.91375679,
       27678.49901164, 27804.49992375, 27908.0254146 , 27985.56683001,
       28035.96749539, 28058.89395748, 28052.96233027, 28014.55219468,
       27942.11193363, 27846.87833225, 27759.50740158, 27724.66421873])]"
