Cutoff,downstream_distance,time,x,y
0,0.5302231619641239,0.5,"[array([9985.73026071, 9859.89404596, 9752.63252318, 9663.28033075,
       9597.53713056, 9569.10807546, 9569.08809199, 9596.82656205,
       9628.59394512, 9689.34431584, 9721.81408357, 9720.28736256,
       9720.27944465, 9714.69292678, 9681.7161013 , 9594.95785741,
       9512.90944312, 9404.17412234, 9293.86331737, 9178.25661365,
       9051.72884164, 8933.11683878, 8804.95214744, 8689.1873924 ,
       8584.31136313, 8505.41012978, 8428.83397475, 8370.5727967 ,
       8308.49243046, 8279.82827643, 8249.37791857, 8249.58894805,
       8233.13143453, 8250.9701149 , 8279.94732668, 8314.33317079,
       8392.19882196, 8502.87196413, 8619.65301588, 8724.18015897,
       8841.69649208, 8967.89056674, 9083.00203044, 9211.42619984,
       9345.80290236, 9467.68243968, 9587.41496308, 9712.68256299,
       9832.75512029])]","[array([14008.82461643, 13972.74704531, 13891.38322571, 13806.62069113,
       13692.85040695, 13563.65229998, 13422.82744333, 13293.48013524,
       13165.82963489, 13050.2992034 , 12923.05041062, 12781.61019343,
       12640.91618679, 12502.51872661, 12372.95971789, 12288.12889807,
       12181.13078259, 12102.84589269, 12029.3433148 , 11968.48859311,
       11946.46736611, 11998.6893313 , 12029.03743103, 12089.6696825 ,
       12175.33787145, 12283.52486126, 12392.58261737, 12509.18737587,
       12624.22114865, 12753.10300839, 12881.2334077 , 13022.00646648,
       13156.05972595, 13278.07757729, 13406.75764686, 13533.31037968,
       13641.27665759, 13713.16375795, 13770.85326585, 13858.30584818,
       13914.448769  , 13949.40909839, 14011.1607759 , 14040.927566  ,
       14056.0751182 , 14101.37467267, 14151.94826513, 14189.17623011,
       14239.73905851])]"
1,0.03052386790509034,16.5,"[array([30296.59600696, 30207.3849481 , 30079.18059535, 30008.62881293,
       29923.28800309, 29851.18593273, 29804.64979215, 29700.09540182,
       29593.62788117, 29455.58556035, 29313.45885868, 29181.41562651,
       29067.49191379, 28978.77367947, 28933.3434278 , 28895.30669234,
       28947.77732593, 29024.86166622, 29142.92676277, 29272.67919584,
       29410.71934493, 29551.3243093 , 29693.09167117, 29834.9320927 ,
       29974.93993948, 30088.64748877])]","[array([1891.21196294, 2001.822429  , 2063.06264034, 2185.54371512,
       2298.96816027, 2421.17530443, 2555.63282611, 2650.81612728,
       2745.40842506, 2777.70354264, 2768.87648233, 2716.28617564,
       2631.30062563, 2519.86762358, 2385.60948979, 2247.56563438,
       2116.44829942, 1996.03485644, 1917.65608869, 1859.15606487,
       1826.29096185, 1806.41629842, 1799.6490937 , 1801.63969273,
       1777.87308324, 1692.18408937])]"
2,0.2674668360805104,68.0,"[array([19284.52262845, 19395.12588691, 19519.79813515, 19654.70846481,
       19796.41771243, 19935.2193928 , 20060.1684831 , 20174.46898387,
       20294.58681243, 20427.6600972 , 20566.90938831, 20704.76298381,
       20830.51633187, 20932.78993332, 21016.05603753, 21099.71803728,
       21199.94662634, 21320.81179344, 21457.46347898, 21599.60037415,
       21732.86864199, 21841.40997347, 21912.59823   , 21942.49296914,
       21936.98751306, 21904.49283734, 21847.22142548, 21763.35522546,
       21657.31081417, 21541.1135146 , 21426.19598035, 21315.44681333,
       21201.43669729, 21077.66894216, 20947.04761245, 20816.80454835,
       20693.22172166, 20577.6137387 , 20464.59590477, 20346.82709672,
       20219.94473131, 20084.16680553, 19943.25893024, 19801.31288043,
       19661.1088984 , 19525.7928082 , 19400.56340328, 19292.09072434,
       19207.91458276, 19155.98195278, 19138.13105852, 19138.77405546,
       19125.97291111, 19072.05232742])]","[array([8189.97660018, 8279.23056144, 8347.3951596 , 8392.07240023,
       8403.34872153, 8372.69981311, 8305.16746801, 8220.86525144,
       8145.30438127, 8096.37017545, 8068.83222212, 8034.76269606,
       7969.05250016, 7870.61632496, 7755.57666136, 7640.9367987 ,
       7540.49984321, 7465.97022878, 7426.99010883, 7430.85248135,
       7480.62900985, 7572.65851148, 7695.86410362, 7834.92103626,
       7976.9897709 , 8115.34786107, 8245.41749497, 8360.09461287,
       8454.51834139, 8536.15226986, 8619.3618087 , 8708.08575052,
       8792.67531037, 8862.03730839, 8917.58189828, 8973.98943726,
       9043.67182593, 9125.99437462, 9211.84032673, 9291.02874254,
       9354.65277369, 9396.08860626, 9413.51089333, 9409.77052199,
       9387.25178579, 9344.15388748, 9277.14845295, 9185.40146586,
       9070.89028165, 8938.59256365, 8797.72940101, 8655.72606487,
       8514.35077386, 8383.08667799])]"
3,0.8935127916768603,72.5,"[array([4375.11636694, 4242.3769544 , 4125.26189435, 4030.0325137 ,
       3954.30611395, 3883.80472697, 3798.7224715 , 3696.51010178,
       3586.85651555, 3473.24250228, 3356.96990928, 3238.96844438,
       3117.04850752, 2994.08606648, 2867.83933723, 2733.75563614,
       2597.91757725, 2461.62804321, 2322.17417106, 2180.41067088,
       2040.14613705, 1906.94491417, 1782.47292256, 1671.13239893,
       1582.18160799, 1524.37766637, 1498.18853044, 1497.24604895,
       1518.4852756 , 1567.64839775, 1652.32916051, 1766.99212731,
       1892.78848146, 2023.31667253, 2157.2589937 , 2293.48624889,
       2430.5309656 , 2568.48764419, 2708.7430029 , 2850.68289436,
       2991.71487992, 3132.76239408, 3272.14081344, 3412.47009501,
       3552.663095  , 3693.77261413, 3835.63593023, 3977.43499203,
       4118.00974468, 4255.96383859])]","[array([27256.13897049, 27205.5730869 , 27125.08842049, 27019.65759714,
       26899.52587206, 26776.37840691, 26662.84995516, 26564.35202304,
       26474.25836983, 26389.2040634 , 26307.82413114, 26228.98932784,
       26156.34708052, 26085.45131413, 26020.70358418, 25974.02526721,
       25932.96412121, 25893.39563831, 25866.79957472, 25859.48198477,
       25881.76554612, 25931.0589397 , 25999.42428635, 26087.62601337,
       26198.41819142, 26328.24606292, 26467.90590469, 26609.95675433,
       26750.41198957, 26883.75018944, 26997.8736949 , 27081.95209731,
       27147.79929866, 27203.63206469, 27250.60827946, 27290.44004517,
       27327.3041027 , 27360.68709714, 27382.37678009, 27378.52195414,
       27363.78671118, 27380.29337574, 27406.75405434, 27427.99259508,
       27449.98854033, 27465.18556614, 27469.09385257, 27464.59053696,
       27484.46762278, 27517.76547957])]"
4,0.3112638091839148,95.0,"[array([18044.39054147, 18007.70511143, 18001.01122032, 18026.58307708,
       18080.25546793, 18156.37755956, 18250.99235788, 18359.80566428,
       18475.10109939, 18585.02045235, 18673.21613109, 18722.3012581 ,
       18721.87428378, 18672.42673978, 18582.62155065, 18464.80509128,
       18331.14792167, 18190.67175841, 18048.47987424, 17907.67579388,
       17772.23705341, 17648.28926274, 17541.63010541, 17452.68567051,
       17374.76604556, 17299.61763535, 17225.20703387, 17158.02747708,
       17109.44145867, 17089.84987406, 17104.49792031, 17153.39598288,
       17233.36526513, 17338.32187969, 17458.49742023, 17581.90332616,
       17693.99383901, 17775.82826105])]","[array([ 8800.04640965,  8937.40320248,  9079.42963097,  9219.31728453,
        9351.01222878,  9471.11839197,  9577.23178305,  9668.63091575,
        9751.6625995 ,  9841.71311323,  9953.13861095, 10086.62461666,
       10228.98291105, 10362.54950976, 10473.08771587, 10553.01376609,
       10601.85156608, 10624.1643615 , 10624.90764574, 10605.13471036,
       10561.82410527, 10492.13335788, 10398.11826921, 10287.2301663 ,
       10168.38099084, 10047.81953926,  9926.79400822,  9801.56914945,
        9668.00875577,  9527.20141239,  9385.73678664,  9252.14392925,
        9134.47924215,  9038.51411693,  8962.63889738,  8892.14527246,
        8804.8555173 ,  8688.65478924])]"
5,0.6115123321220557,103.0,"[array([8533.50321644, 8468.41630454, 8423.08892045, 8399.70764754,
       8402.94723863, 8435.45397595, 8493.532229  , 8568.1620188 ,
       8650.10001253, 8732.820316  , 8810.18309526, 8871.99714081,
       8903.68356731, 8892.69580934, 8836.04656993, 8740.90239656,
       8619.15841847, 8482.52009216, 8340.44368621, 8199.56315939,
       8063.82668815, 7935.41380039, 7815.56701367, 7703.9756595 ,
       7597.52270746, 7491.66301781, 7384.79782078, 7281.07665807,
       7189.32113033, 7119.5306243 , 7078.78694184, 7069.9306459 ,
       7093.55589135, 7149.0096374 , 7232.70513328, 7337.30689506,
       7454.46082372, 7578.50136935, 7707.30427524, 7839.81593947,
       7973.23016023, 8101.57360903, 8214.94639123, 8303.78651896])]","[array([17296.43274507, 17169.98170636, 17035.19435951, 16894.92174561,
       16752.75006762, 16614.30919464, 16484.50990772, 16363.5155279 ,
       16247.41488758, 16131.89797799, 16012.70501854, 15884.71625889,
       15746.11402316, 15604.25866988, 15473.63412375, 15367.66356442,
       15293.80651931, 15253.88829667, 15245.92553812, 15265.63247858,
       15308.05512981, 15369.08580952, 15445.52463893, 15533.54150262,
       15627.67807314, 15722.44186516, 15816.08634363, 15913.23572446,
       16021.76091823, 16145.60844819, 16281.86634498, 16423.84596819,
       16564.14022508, 16695.15570594, 16810.18309784, 16906.55545659,
       16987.11840108, 17056.52429933, 17116.57557335, 17167.86387357,
       17216.82300198, 17277.79345873, 17363.46435212, 17474.490091  ])]"
6,0.7416886129820085,122.5,"[array([4808.22479441, 4934.0327643 , 5071.72995509, 5213.60237421,
       5355.6392223 , 5495.32814517, 5630.65217357, 5759.9835441 ,
       5881.60899687, 5992.91473179, 6090.73553278, 6173.88253352,
       6247.12694178, 6323.30511213, 6418.10372726, 6538.43099786,
       6676.87574849, 6818.91869312, 6952.47995907, 7069.79027656,
       7164.10829846, 7227.78815645, 7253.85488396, 7239.30539452,
       7187.82709117, 7110.33378922, 7021.69037838, 6934.05644336,
       6849.13578531, 6756.09122907, 6643.7866701 , 6513.57348698,
       6375.17886917, 6236.19758295, 6103.42592243, 5985.79956075,
       5882.63131021, 5777.74923695, 5656.44584686, 5519.79021306,
       5377.52745674, 5237.29326062, 5104.31897977, 4986.21990843,
       4894.84670432, 4840.91254792, 4820.67856782, 4804.46252089,
       4750.63231599, 4643.58755817])]","[array([20789.80733091, 20856.82996798, 20893.25555657, 20904.93860487,
       20896.19483388, 20869.1654086 , 20825.2749384 , 20766.03245602,
       20692.25469926, 20603.66346817, 20500.37227537, 20384.96024492,
       20263.06849906, 20143.01536411, 20036.98611032, 19960.95095164,
       19927.45870897, 19938.54953265, 19988.11825428, 20068.920127  ,
       20175.66819645, 20303.10807721, 20443.18638738, 20584.92354899,
       20717.73025741, 20837.11805372, 20948.34801495, 21060.31806426,
       21174.37029974, 21281.94980462, 21369.31498894, 21426.72611098,
       21459.61873042, 21489.59824918, 21540.47284656, 21620.43481494,
       21718.3201005 , 21814.31534153, 21888.55379266, 21928.23289189,
       21932.9048251 , 21908.49843502, 21857.66924889, 21778.09673314,
       21668.79768293, 21536.9398823 , 21396.0705053 , 21254.83926056,
       21123.1992122 , 21029.16145749])]"
7,0.7335515321702524,174.0,"[array([4670.65341586, 4544.6166805 , 4404.07703518, 4262.9258025 ,
       4132.27803818, 4016.00960112, 3901.95706307, 3771.18332905,
       3628.97089853, 3507.33254091, 3434.04708627, 3416.58361561,
       3448.99719078, 3521.14900173, 3622.80209624, 3744.8793254 ,
       3879.6689512 , 4020.72143115, 4162.85359627, 4302.21777295,
       4435.95096337, 4561.26037507, 4675.27443956, 4778.26120999,
       4879.29987945])]","[array([18603.47488177, 18669.74042274, 18692.97140224, 18673.90682226,
       18617.41705712, 18535.42692433, 18450.48434379, 18395.07831236,
       18400.83484388, 18475.41131399, 18597.97142517, 18739.63338544,
       18878.52554395, 19001.43679226, 19101.22031464, 19174.49871779,
       19220.22591951, 19239.00997658, 19232.8037946 , 19204.32381824,
       19155.90198319, 19088.64396917, 19003.67638144, 18905.66461544,
       18805.65761956])]"
8,0.916065042907802,234.5,"[array([4944.83361243, 4817.49202613, 4680.91837705, 4538.70489497,
       4399.66640751, 4276.66549807, 4172.02350943, 4060.57076328,
       3922.67676273, 3788.292822  , 3699.74011432, 3670.826633  ,
       3695.34972056, 3762.17936734, 3860.20962114, 3979.81494229,
       4113.12948455, 4253.78499394, 4396.13643176, 4533.21227485,
       4655.45866886, 4760.92347   , 4873.0048818 , 5011.23292951])]","[array([27442.63762293, 27506.35371181, 27546.76127089, 27555.44564182,
       27524.24417568, 27452.84947344, 27357.38343044, 27271.13852696,
       27238.40117998, 27286.82195669, 27399.21275602, 27539.24727491,
       27679.9629417 , 27806.0567921 , 27909.63239197, 27987.17606808,
       28037.51527215, 28060.27559226, 28054.00270657, 28015.0299957 ,
       27941.88195822, 27846.14030413, 27758.65962811, 27724.41127886])]"
9,0.03915102848021522,238.0,"[array([30277.22265719, 30134.85497042, 30001.54944633, 29895.71842163,
       29832.36859242, 29833.55495154, 29879.77671495, 29890.66770035,
       29815.13780366, 29680.79953814, 29541.1811203 , 29430.10536431,
       29359.96645263, 29331.76713804, 29342.42694282, 29386.96343675,
       29456.79054903, 29542.08360163, 29640.82935206, 29761.20261832,
       29901.19083244, 30042.12312812, 30184.25996617, 30315.61900076])]","[array([1345.20211692, 1333.60028733, 1384.81415618, 1480.56662381,
       1608.62007149, 1751.07903174, 1885.21264998, 2026.90650208,
       2147.49514782, 2196.26482416, 2165.10343121, 2075.14825357,
       1950.79917975, 1810.98481518, 1668.85272356, 1533.56230121,
       1409.52973441, 1295.63851111, 1193.16575485, 1116.8640654 ,
       1090.40600073, 1108.77220635, 1117.37920468, 1062.99972561])]"
