Cutoff,downstream_distance,time,x,y
0,0.5210893549021894,0.5,"[array([46830.83193949, 46723.60505138, 46647.85252796, 46545.46500912,
       46437.94911327, 46338.18033502, 46220.21066936, 46114.00014483,
       45986.60911795, 45858.69539811, 45727.93977011, 45590.11129381,
       45449.6214649 , 45323.6196517 , 45196.56654382, 45119.01290196,
       45088.6145255 , 45120.43611184, 45148.83706807, 45206.97156645,
       45271.87418839, 45329.98312157, 45415.17996465, 45514.71336078,
       45622.28962246, 45748.34032813, 45889.48296362, 46017.37014662,
       46132.81769326, 46234.18198273, 46314.32070396, 46369.7138211 ,
       46406.15010293, 46440.38098656, 46472.22383444, 46470.25216519,
       46499.52416494, 46530.44412593, 46588.26582044, 46675.05687158,
       46774.62071567, 46881.91854302]), array([55710.75026289, 55637.38989811, 55525.00828697, 55420.39234301,
       55305.86229363, 55165.66654162, 55036.4342905 , 54895.93976266,
       54755.57782912, 54642.25475945, 54628.36141113, 54684.39149721,
       54783.74656875, 54915.79949796, 55044.17798325, 55163.34106381,
       55278.43889654, 55397.833716  , 55503.89536291, 55608.52222861,
       55691.51433121, 55769.80557345, 55866.8221815 ])]","[array([49588.73113447, 49667.92368375, 49776.19591054, 49873.53729596,
       49952.93891274, 50051.25318922, 50105.57248198, 50188.31381118,
       50220.07976463, 50250.66933762, 50226.76873587, 50220.32301303,
       50220.20485371, 50194.43204706, 50227.96691307, 50339.15481763,
       50467.68753957, 50595.26875759, 50724.12875705, 50840.64317959,
       50954.19959982, 51070.6102756 , 51175.85409928, 51274.89523942,
       51354.56210159, 51389.9453303 , 51392.84000756, 51361.91212793,
       51300.93440165, 51206.60438508, 51099.19320897, 50981.52736417,
       50856.10676351, 50729.8373586 , 50602.51825949, 50461.26178147,
       50333.00523671, 50205.36834393, 50088.77173535, 49984.15437953,
       49885.14735505, 49804.87445696]), array([56667.92326832, 56778.42623482, 56852.70964011, 56939.42608169,
       57002.57067214, 57003.49150702, 57030.45083014, 57030.31838432,
       57030.23478126, 57102.47892748, 57238.45355194, 57356.52678196,
       57457.29589397, 57483.46836047, 57453.07104932, 57401.20031762,
       57340.03124333, 57289.08260175, 57205.87510229, 57120.4553456 ,
       57020.58240032, 56912.57121587, 56810.71879524])]"
1,0.42639928770165586,3.5,"[array([40410.50583942, 40345.81485208, 40261.48353928, 40175.28626479,
       40100.92359802, 40046.64244578, 40020.95265194, 40033.92473261,
       40071.81817672, 40131.28027375, 40221.9639901 , 40331.51692281,
       40449.45264676, 40576.86432071, 40718.53763611, 40835.92075613,
       40908.88958153, 40926.07844823, 40907.99814736, 40884.3273294 ,
       40821.50578476, 40739.21112514, 40671.09805899, 40622.82276395,
       40613.64213877, 40636.72136153])]","[array([41020.27418054, 40893.86782093, 40779.9511716 , 40667.52376605,
       40547.0741889 , 40416.02556898, 40276.86993928, 40135.62268954,
       39998.84173536, 39870.47857643, 39761.14231203, 39671.52152167,
       39592.26458282, 39531.14443859, 39541.09954595, 39622.01532923,
       39744.0321664 , 39884.72681816, 40025.692762  , 40165.28610632,
       40292.42283153, 40407.62637366, 40532.16129527, 40664.80782819,
       40806.71475895, 40946.29817093])]"
2,0.05270633367541041,8.5,"[array([8421.26370754, 8301.9015399 , 8194.24449352, 8100.06586147,
       8001.70940219, 7901.91069371, 7823.25760309, 7782.42294689,
       7793.64338389, 7852.8398578 , 7940.87765884, 8057.56283941,
       8192.75297708, 8327.25809308, 8434.2490053 , 8499.30757251,
       8535.94990182, 8563.74047492, 8634.2843823 , 8767.51811255,
       8897.19234971, 8974.39171023, 9011.66593315, 9051.24649321,
       9119.49014901, 9186.3271935 , 9221.1715478 , 9220.15585201,
       9160.47076858, 9046.04184408, 8908.99176764, 8767.51073144,
       8626.41559609, 8488.09754143, 8396.84811274, 8385.94390783,
       8439.05119994, 8542.23174853])]","[array([6052.82674115, 6129.41482743, 6220.94561249, 6326.74285645,
       6428.37716179, 6528.96930145, 6646.55296518, 6782.41881952,
       6923.70904804, 7052.41895392, 7163.8628172 , 7244.48667873,
       7285.75962646, 7331.23160109, 7423.18170662, 7549.10480395,
       7685.97101399, 7824.69760144, 7948.28371637, 7995.94046726,
       7937.97685544, 7818.247154  , 7681.48130002, 7545.38941581,
       7421.90083518, 7296.78595888, 7159.89306978, 7017.63087417,
       6889.10207164, 6805.6168545 , 6767.35322233, 6766.16125961,
       6780.11186525, 6748.73443797, 6640.92307021, 6499.41143125,
       6366.74984025, 6270.14413701])]"
3,0.30465525527948445,54.5,"[array([31864.8043617 , 31990.7800902 , 32132.52465829, 32266.4859705 ,
       32381.99915654, 32494.06429205, 32626.71531105, 32766.46563439,
       32872.50444945, 32918.83127075, 32903.31979234, 32838.32580959,
       32744.67222808, 32646.87901878, 32564.95903327, 32495.31360074,
       32405.21942061, 32277.7448766 , 32136.07766138, 32013.57808067,
       31928.11612386, 31882.53726666, 31863.8303102 , 31835.10465421,
       31757.94203465])]","[array([29789.7345176 , 29855.05422267, 29861.9271441 , 29815.41668099,
       29733.48459005, 29647.34418881, 29598.51889252, 29622.07756274,
       29716.50910707, 29850.79277776, 29991.92097484, 30117.96538471,
       30224.15489118, 30326.23914682, 30441.43345581, 30564.51425031,
       30673.58049376, 30735.46426546, 30727.29544529, 30655.58718605,
       30542.35336349, 30408.17305033, 30267.9254987 , 30129.55182057,
       30010.98541849])]"
4,0.5754842899587022,57.5,"[array([58128.77881793, 58161.57199053, 58180.72287011, 58182.9845197 ,
       58166.10922854, 58131.93931138, 58087.79661113, 58049.83909114,
       58041.08381204, 58079.17096534, 58164.80648998, 58284.81849817,
       58422.76216056, 58564.07712763, 58695.27325953, 58802.78719407,
       58875.77867157, 58911.10839643, 58913.35792964, 58888.42074912,
       58839.2722236 , 58768.86415389, 58683.57497373, 58591.66113303,
       58501.16850745, 58421.93021781, 58367.89462378])]","[array([56323.85406833, 56186.20444556, 56046.03186923, 55904.57986995,
       55764.11873614, 55626.86543398, 55492.49301609, 55356.26005899,
       55215.11193407, 55078.75973859, 54965.85143674, 54890.40905634,
       54857.78408183, 54868.73920886, 54922.37325769, 55014.72723316,
       55136.20763024, 55273.41684922, 55415.01741442, 55554.36579604,
       55687.08354679, 55809.82595998, 55922.6912555 , 56030.16975633,
       56138.83042539, 56255.97037194, 56386.68947593])]"
5,0.28614556444545136,63.0,"[array([28488.53453607, 28465.97875243, 28413.07320898, 28346.16751775,
       28282.37333055, 28231.11491324, 28191.22661243, 28160.23970072,
       28147.67632715, 28174.76897882, 28256.46567824, 28383.53379247,
       28525.51569106, 28648.9643812 , 28731.41365485, 28765.51953355,
       28758.29288781, 28727.41231294, 28693.42533011, 28670.55178697,
       28663.6970032 , 28674.8994347 , 28710.36804098])]","[array([28540.96814759, 28680.8300715 , 28812.18264084, 28936.91302561,
       29063.11817058, 29194.94238418, 29330.67782494, 29468.74001189,
       29609.78498287, 29748.78707578, 29864.63652407, 29927.95757903,
       29922.05348442, 29851.64192474, 29735.97678045, 29598.22966875,
       29456.66540191, 29318.46427959, 29181.164981  , 29041.60569947,
       28900.30115507, 28759.2365969 , 28622.20457148])]"
6,0.02588119703955036,82.5,"[array([4535.75047719, 4656.5581304 , 4742.37676279, 4785.59593745,
       4784.84855572, 4752.99841455, 4721.89111196, 4728.60072914,
       4791.53240615, 4901.90282103, 5037.6719947 , 5179.33395774,
       5315.44776137, 5439.47278529, 5543.22020444, 5615.86400159,
       5651.73999952, 5654.43838724, 5629.2958712 , 5576.68015269,
       5494.75704844, 5385.92408626, 5259.07481289, 5124.78964717,
       4989.9910317 , 4857.38489455, 4724.99739228, 4590.66723216])]","[array([3931.18963959, 3856.54987643, 3743.52603315, 3608.42314428,
       3466.70952914, 3328.87321606, 3190.89894087, 3049.65678384,
       2922.84402643, 2833.91924188, 2793.10935149, 2796.86981419,
       2836.08689208, 2904.47991517, 3000.92615868, 3122.52229557,
       3259.52008478, 3401.08991163, 3540.41249412, 3671.85062319,
       3787.341152  , 3877.91285658, 3940.66720879, 3985.16801596,
       4027.89979288, 4076.92967955, 4126.66638137, 4170.74755943])]"
7,0.1888201060690965,89.5,"[array([21068.55491506, 20972.60224765, 20847.25276803, 20707.39221975,
       20566.83869549, 20434.11629379, 20306.57289595, 20172.78192481,
       20031.32831104, 19901.27372481, 19807.75402473, 19764.88104067,
       19771.93732436, 19815.69020578, 19873.80352577, 19921.85261581,
       19945.98173577, 19955.48571735, 19978.73232548, 20040.7479412 ,
       20144.68476594, 20274.90378104, 20414.38129074, 20555.24000218,
       20695.32012029, 20833.51478933, 20970.71295162, 21109.62669514,
       21251.03996491, 21389.71633781, 21512.75946994, 21603.19117873,
       21647.87836876, 21643.8622802 , 21598.66350489, 21525.67243036,
       21438.95252359, 21351.13284073, 21274.58319123, 21222.60643986,
       21207.06152433, 21233.3988299 , 21298.7505066 ])]","[array([21726.52226267, 21830.75854962, 21896.93597519, 21920.03355053,
       21902.08661917, 21852.85037842, 21791.46830202, 21745.44144206,
       21743.25407898, 21799.44353352, 21906.10659893, 22041.37388448,
       22182.99797275, 22317.70968748, 22446.80782798, 22579.78816598,
       22719.04686171, 22860.28190488, 22999.88045141, 23127.04651804,
       23223.23098013, 23279.01821906, 23303.60888743, 23317.14035374,
       23336.52482579, 23366.65858349, 23401.16408908, 23427.9885757 ,
       23433.49082105, 23404.91906871, 23334.69692383, 23225.53759473,
       23090.96364609, 22949.23232249, 22814.91120902, 22693.54511883,
       22581.70388999, 22470.80489228, 22351.84939729, 22220.24508727,
       22079.53996031, 21940.37739978, 21814.67115522])]"
8,0.20148653348295667,99.0,"[array([22776.86702364, 22661.71065954, 22541.21000068, 22413.92220355,
       22279.50461467, 22140.51829778, 22000.63885638, 21865.69068386,
       21752.72191266, 21688.2521215 , 21689.31381579, 21752.89970571,
       21862.32869406, 21997.2286735 , 22139.02804573, 22272.85373722,
       22388.50632565, 22482.45107816, 22560.47566368, 22636.35399634,
       22723.12127007, 22824.30644369, 22934.67711619])]","[array([21326.00353365, 21243.83810904, 21169.72775414, 21107.98372765,
       21063.91530678, 21037.6649045 , 21016.2235327 , 20973.81177464,
       20888.56942585, 20762.31766317, 20620.37317932, 20493.39864646,
       20402.94504629, 20358.89137829, 20362.45230934, 20409.25961368,
       20491.12410697, 20597.07516653, 20715.14803149, 20834.4971884 ,
       20946.12217583, 21044.93888706, 21133.41454292])]"
9,0.40317417980116527,101.5,"[array([41991.48662958, 41988.81676167, 41943.01410351, 41862.21288861,
       41752.45285907, 41622.96618955, 41486.95810171, 41358.84285167,
       41267.59968167, 41245.41932212, 41298.77092485, 41408.03072637,
       41545.36699098, 41686.15820928, 41811.72167211, 41908.78128038,
       41969.62202747, 41995.24663914, 41999.67649039, 42007.94982147,
       42044.28466586, 42118.9280016 , 42225.79534625])]","[array([42033.26107497, 42175.03067693, 42309.2006443 , 42425.67617126,
       42515.38344289, 42572.51535104, 42611.6293452 , 42671.87118637,
       42780.04156144, 42920.14174278, 43051.81484659, 43142.69944286,
       43179.03754302, 43160.67040921, 43094.535465  , 42991.0831001 ,
       42863.02593112, 42723.72955472, 42582.27273253, 42441.04082723,
       42304.35858176, 42184.12795197, 42091.25653063])]"
