Cutoff,downstream_distance,time,x,y
0,0.5302311530537333,0.5,"[array([9985.73026071, 9859.89404596, 9752.63252318, 9663.28033075,
       9597.53713056, 9569.10807546, 9569.08809199, 9596.82656205,
       9628.59394512, 9689.34431584, 9721.81408357, 9720.28736256,
       9720.27944465, 9714.69292678, 9681.7161013 , 9594.95785741,
       9512.90944312, 9404.17412234, 9293.86331737, 9178.25661365,
       9051.72884164, 8933.11683878, 8804.95214744, 8689.1873924 ,
       8584.31136313, 8505.41012978, 8428.83397475, 8370.5727967 ,
       8308.49243046, 8279.82827643, 8249.37791857, 8249.58894805,
       8233.13143453, 8250.9701149 , 8279.94732668, 8314.33317079,
       8392.19882196, 8502.87196413, 8619.65301588, 8724.18015897,
       8841.69649208, 8967.89056674, 9083.00203044, 9211.42619984,
       9345.80290236, 9467.68243968, 9587.41496308, 9712.68256299,
       9832.75512029])]","[array([14008.82461643, 13972.74704531, 13891.38322571, 13806.62069113,
       13692.85040695, 13563.65229998, 13422.82744333, 13293.48013524,
       13165.82963489, 13050.2992034 , 12923.05041062, 12781.61019343,
       12640.91618679, 12502.51872661, 12372.95971789, 12288.12889807,
       12181.13078259, 12102.84589269, 12029.3433148 , 11968.48859311,
       11946.46736611, 11998.6893313 , 12029.03743103, 12089.6696825 ,
       12175.33787145, 12283.52486126, 12392.58261737, 12509.18737587,
       12624.22114865, 12753.10300839, 12881.2334077 , 13022.00646648,
       13156.05972595, 13278.07757729, 13406.75764686, 13533.31037968,
       13641.27665759, 13713.16375795, 13770.85326585, 13858.30584818,
       13914.448769  , 13949.40909839, 14011.1607759 , 14040.927566  ,
       14056.0751182 , 14101.37467267, 14151.94826513, 14189.17623011,
       14239.73905851])]"
1,0.030506232105095364,16.0,"[array([30310.92921458, 30224.81689639, 30096.43398452, 30018.54829259,
       29936.43034309, 29858.37694994, 29815.63444226, 29714.96791647,
       29610.72362441, 29474.90463672, 29332.63664016, 29198.55093032,
       29082.07779997, 28988.31725588, 28940.45044513, 28896.16644012,
       28940.87253938, 29014.12305262, 29128.84467581, 29257.6044977 ,
       29394.89337993, 29535.28630827, 29676.93680779, 29818.75044702,
       29959.44202712, 30077.9693824 ])]","[array([1876.77205779, 1989.75581368, 2050.04583965, 2168.13142672,
       2283.90242715, 2402.48245245, 2538.05382458, 2637.34252577,
       2734.19361407, 2775.08663461, 2771.56990309, 2724.36426268,
       2643.0234269 , 2535.76403609, 2402.38380042, 2266.36684318,
       2132.33260195, 2009.66393138, 1926.33542964, 1865.82036291,
       1829.88558563, 1808.82805316, 1800.12855024, 1802.06754709,
       1783.22482281, 1704.39129221])]"
2,0.26817928127074486,68.5,"[array([19240.0767326 , 19340.9308164 , 19459.72077607, 19590.20316866,
       19729.58791876, 19871.34073292, 20003.63526277, 20121.45109736,
       20236.95812905, 20364.17631408, 20501.48428417, 20640.83722391,
       20773.95765892, 20888.21156427, 20978.90836033, 21059.82753056,
       21150.74367498, 21261.82704613, 21391.95993438, 21533.08976272,
       21672.51361445, 21794.61126611, 21884.61350225, 21934.10702782,
       21944.70611026, 21924.51505897, 21879.01832147, 21807.56092372,
       21710.96473673, 21598.2103902 , 21481.7281719 , 21369.13533635,
       21257.57966944, 21138.63988538, 21010.64699268, 20879.42279253,
       20751.98321475, 20632.61272499, 20519.19365794, 20404.60273442,
       20282.46699097, 20150.70582251, 20011.73490309, 19869.87408629,
       19728.5078182 , 19590.33754434, 19459.43663286, 19341.83476223,
       19244.75550382, 19176.36564801, 19142.6682214 , 19137.47076978,
       19135.52582061, 19104.21590755, 19026.43814636])]","[array([8141.23271352, 8241.39836474, 8319.40139378, 8375.68410143,
       8403.57265773, 8392.71938491, 8340.86013448, 8261.56312178,
       8178.96079315, 8116.28769641, 8080.68519605, 8053.21621404,
       8004.01256506, 7919.82835915, 7810.56932051, 7693.89693163,
       7584.96153967, 7496.5898266 , 7439.60967256, 7422.54015046,
       7450.68923357, 7523.76450264, 7634.00002469, 7767.3834522 ,
       7909.19801368, 8049.90908694, 8184.55431493, 8307.39562766,
       8411.51331788, 8497.84202993, 8578.98529538, 8665.29597458,
       8753.10430304, 8830.5313549 , 8891.80357395, 8945.97594629,
       9008.37672511, 9085.10501352, 9170.44248295, 9254.17584884,
       9326.48011813, 9379.30782264, 9408.37164532, 9414.61424738,
       9401.17210732, 9368.35664197, 9313.25261016, 9233.57054492,
       9129.79632484, 9005.18897046, 8867.16887659, 8725.29334224,
       8583.28037533, 8444.88706087, 8326.05656495])]"
3,0.8940631860954957,72.5,"[array([4374.67027408, 4241.95608818, 4124.91717351, 4029.76758023,
       3954.07442359, 3883.57874522, 3798.45030072, 3696.17659235,
       3586.51773202, 3472.90888878, 3356.60757491, 3238.62944659,
       3116.69532011, 2993.70985978, 2867.48979535, 2733.37733967,
       2597.53654282, 2461.26219133, 2321.79297942, 2180.03112845,
       2039.78358922, 1906.61638646, 1782.16998732, 1670.87343916,
       1581.98932346, 1524.26767566, 1498.15544885, 1497.27407254,
       1518.56686836, 1567.82374245, 1652.54738594, 1767.28405348,
       1893.08175283, 2023.616318  , 2157.55739811, 2293.78511784,
       2430.82875944, 2568.78347916, 2709.04610561, 2850.97947318,
       2992.00742055, 3133.02855612, 3272.4071019 , 3412.73761811,
       3552.92134698, 3694.03349504, 3835.8918973 , 3977.68762544,
       4118.24202083, 4256.19125843])]","[array([27256.00263265, 27205.37621541, 27124.78763813, 27019.29008596,
       26899.14365537, 26775.99787648, 26662.50539115, 26564.08076361,
       26473.99851429, 26388.94395749, 26307.6125048 , 26228.74891343,
       26156.13818275, 26085.29357102, 26020.49417346, 25973.91894466,
       25932.87825444, 25893.27099022, 25866.78141103, 25859.48506589,
       25881.85612779, 25931.2249155 , 25999.62889043, 26087.88011679,
       26198.72194432, 26328.58213375, 26468.25145758, 26610.29858709,
       26750.74110453, 26884.04060916, 26998.13340375, 27082.09553328,
       27147.93386637, 27203.74140892, 27250.70938044, 27290.52459506,
       27327.37905467, 27360.74721082, 27382.38272096, 27378.54512141,
       27363.73102113, 27380.36119582, 27406.81691015, 27428.01279134,
       27450.0445717 , 27465.17674174, 27469.13239424, 27464.55983914,
       27484.53107658, 27517.83353574])]"
4,0.3124786531766392,92.5,"[array([18047.20934157, 18007.53072842, 17995.89922495, 18016.30853678,
       18065.86246257, 18138.92328126, 18231.07521472, 18338.17961241,
       18453.22895849, 18565.23039111, 18658.61202816, 18715.5511882 ,
       18723.81606073, 18682.09357406, 18598.1289725 , 18484.07790266,
       18352.39347344, 18212.68108609, 18070.59232383, 17929.42590337,
       17792.97381038, 17667.11834799, 17557.86015924, 17466.41629593,
       17386.88867326, 17311.04939417, 17236.10120341, 17167.63085634,
       17116.53702608, 17093.43563906, 17104.22651056, 17149.49457104,
       17226.34252474, 17328.87303847, 17447.49580371, 17570.27419172,
       17682.91385842, 17766.8070185 ])]","[array([ 8777.48575159,  8913.95418572,  9055.60711323,  9196.28446458,
        9329.53001549,  9451.46781602,  9559.66917513,  9653.00518265,
        9736.28412803,  9823.64874086,  9930.6864979 , 10060.93253882,
       10202.98194398, 10339.10176177, 10454.08322688, 10539.22840328,
       10593.05366932, 10619.51099693, 10623.63320474, 10607.06297636,
       10567.24260621, 10501.16868215, 10410.26432791, 10301.49177456,
       10183.76858169, 10063.69600192,  9943.06627562,  9818.60454802,
        9686.04041396,  9545.82371106,  9404.06998986,  9269.26155396,
        9149.59671889,  9051.11074345,  8972.9155613 ,  8901.44061844,
        8814.94070609,  8700.29632758])]"
5,0.6141077255055412,104.0,"[array([8529.75045405, 8465.36344433, 8420.83297608, 8398.31238889,
       8402.27271975, 8435.20498919, 8493.53421395, 8568.50985863,
       8650.95194909, 8734.08697015, 8811.52518445, 8873.14179918,
       8904.63637588, 8893.60206403, 8836.96814214, 8741.81890548,
       8620.07222728, 8483.45973603, 8341.41535822, 8200.55796819,
       8064.85630544, 7936.49351228, 7816.66618702, 7705.04782511,
       7598.62347831, 7492.94715315, 7386.3091872 , 7282.58033413,
       7190.36041916, 7119.69609568, 7077.97905723, 7068.27890369,
       7091.11904248, 7145.70576768, 7228.54078802, 7332.54304379,
       7449.48079698, 7573.54908162, 7702.37480765, 7834.82386349,
       7968.2541167 , 8097.01394073, 8211.50965532, 8301.91949523])]","[array([17293.66215977, 17166.88684392, 17031.86549714, 16891.48298738,
       16749.35935552, 16611.04864357, 16481.394897  , 16360.64937813,
       16244.94124967, 16129.7582324 , 16010.65022246, 15882.59979104,
       15743.98137382, 15602.15762013, 15471.55806313, 15365.63078163,
       15291.83386334, 15251.93130998, 15243.92143052, 15263.5826203 ,
       15306.01891923, 15367.08688648, 15443.50248638, 15531.43814295,
       15625.56271905, 15720.48883701, 15814.34653955, 15911.44300851,
       16019.53533429, 16142.85056966, 16278.78120129, 16420.67594411,
       16561.07056934, 16692.41851014, 16808.03230908, 16905.01009106,
       16985.83964422, 17055.13901072, 17115.07433992, 17166.44624205,
       17215.26683846, 17275.28839989, 17359.40269153, 17469.11133288])]"
6,0.7435418000596469,123.5,"[array([4797.53835589, 4922.02754945, 5059.2009619 , 5200.91879355,
       5342.99473824, 5482.91685174, 5618.66193119, 5748.5502823 ,
       5870.91522973, 5983.29403488, 6082.51557537, 6166.96288921,
       6240.57916987, 6315.42290688, 6407.34358413, 6524.72976435,
       6661.71440854, 6804.03027614, 6938.95349599, 7058.33885279,
       7155.64534125, 7223.48712245, 7254.68537328, 7245.50044923,
       7198.56296156, 7123.73819018, 7035.48633096, 6946.76530266,
       6861.3963797 , 6770.35274507, 6661.4054006 , 6533.49696768,
       6395.73767768, 6256.43483254, 6122.01781569, 6001.43817694,
       5896.63237953, 5793.51630061, 5675.51973214, 5540.88337807,
       5398.91647416, 5258.05949808, 5123.65881441, 5002.59929171,
       4906.0327284 , 4845.48806225, 4820.82569393, 4807.2463679 ,
       4763.10631588, 4665.50675698])]","[array([20785.76181303, 20855.16112296, 20893.42437398, 20906.51983233,
       20899.11859981, 20873.54164869, 20831.09697376, 20773.17472001,
       20700.70400554, 20613.54571951, 20511.66158261, 20397.24873907,
       20275.60527367, 20154.73883773, 20046.29521385, 19965.93585043,
       19927.0875985 , 19933.22339987, 19978.87860586, 20056.52211751,
       20160.49594373, 20285.71494505, 20424.69033331, 20566.82946226,
       20701.26688352, 20822.33539839, 20933.86089176, 21044.89853349,
       21158.59365773, 21267.80934739, 21359.19085269, 21421.4463901 ,
       21456.9629688 , 21485.33410725, 21531.38239228, 21606.69880716,
       21702.86932545, 21800.69630853, 21879.91723518, 21925.83747124,
       21935.82367576, 21915.51230714, 21868.69846993, 21793.80761577,
       21689.15596805, 21560.28788412, 21420.09563556, 21278.51173386,
       21143.54882231, 21039.93334846])]"
7,0.7348237730594592,146.5,"[array([4646.74134365, 4515.72321941, 4373.81049864, 4233.92629116,
       4106.33572293, 3992.16760407, 3874.43530803, 3737.33390183,
       3598.47282124, 3493.73335531, 3443.43751909, 3448.2679201 ,
       3499.99750666, 3587.90961139, 3701.54065368, 3831.83099259,
       3971.21839143, 4113.58018322, 4254.33913468, 4390.2580961 ,
       4518.54550818, 4636.32570885, 4743.34944504, 4847.95511937])]","[array([18615.17119679, 18671.29760615, 18684.90138329, 18657.52661149,
       18594.28652706, 18509.17853916, 18429.38924351, 18391.88444214,
       18424.292877  , 18521.50480275, 18655.27836018, 18798.00856598,
       18931.00732974, 19043.29671932, 19129.33699129, 19186.97494957,
       19216.22376548, 19218.79252186, 19197.53608062, 19155.28633572,
       19093.66420755, 19013.82234486, 18920.09032376, 18823.674815  ])]"
8,0.03674350129145274,214.0,"[array([30244.08537925, 30102.07941121, 29975.93394294, 29879.37102306,
       29831.37918755, 29848.45800864, 29887.04425124, 29866.69933066,
       29764.5719126 , 29623.09034636, 29490.01613126, 29390.46379487,
       29331.94030047, 29313.55720928, 29332.13249143, 29382.98360978,
       29457.22150944, 29544.91435608, 29645.31571495, 29768.02009123,
       29909.37715671, 30048.73248851, 30190.05544049, 30323.3949078 ])]","[array([1343.60876676, 1358.23695584, 1424.9856927 , 1530.0438608 ,
       1664.51350156, 1805.65444512, 1942.36852446, 2083.00739898,
       2182.60185639, 2203.55300576, 2151.09440033, 2048.58345028,
       1918.39301783, 1776.96239901, 1635.63972002, 1502.57354275,
       1381.10028641, 1269.01173341, 1168.1044261 , 1095.55689863,
       1077.00868441, 1105.39223337, 1122.30674447, 1072.6390354 ])]"
9,0.5787016569769211,231.5,"[array([11282.99498895, 11182.84084249, 11048.27933716, 10906.40746448,
       10778.34362181, 10661.40518134, 10535.73646349, 10395.0084396 ,
       10257.53410814, 10135.48121311, 10013.05313355,  9875.23083626,
        9736.1099847 ,  9610.56162842,  9483.94611816,  9343.15028912,
        9210.34384966,  9118.62148412,  9082.19527898,  9097.04707589,
        9152.52126523,  9237.94951925,  9344.73791948,  9466.77015862,
        9599.94683923,  9740.52955418,  9882.62314384, 10018.87799876,
       10149.39692735, 10285.1172105 , 10427.30945313, 10552.61985022,
       10631.89394029, 10651.32588965, 10613.16979817, 10530.01335067,
       10422.55119512, 10317.36477384, 10248.18313876, 10246.75875935,
       10317.44620136, 10436.76562139, 10576.6874299 , 10718.73266374,
       10854.84974811, 10983.56833651, 11105.51295862, 11220.22217067,
       11325.19798606, 11416.84092687, 11492.25304394, 11550.3033633 ,
       11590.63302075, 11611.45149598, 11609.18182763, 11582.52834795,
       11539.21768862, 11499.10572403, 11488.9059167 , 11528.82792608])]","[array([14070.78423061, 14171.76885189, 14218.82577271, 14203.63741697,
       14141.04683154, 14059.61799526, 13993.13162226, 13972.86198213,
       14009.71420041, 14083.31179933, 14155.40450142, 14187.61822345,
       14161.51954778, 14095.1462924 , 14031.0792323 , 14013.4222292 ,
       14065.09549015, 14174.60183758, 14312.75752478, 14454.74984137,
       14586.16628061, 14700.27910304, 14794.60217674, 14868.07732176,
       14918.6045316 , 14941.58830761, 14931.83675757, 14890.65825015,
       14833.67098976, 14790.96817459, 14795.75824135, 14863.81864829,
       14982.66021831, 15124.25433264, 15261.91286106, 15377.7564244 ,
       15471.36309072, 15567.26781095, 15691.37013042, 15833.86609631,
       15958.01918221, 16036.70755961, 16065.22910992, 16052.28959639,
       16010.14566506, 15949.25539998, 15875.82617482, 15791.56324444,
       15695.44879769, 15586.54373139, 15465.82263288, 15335.85348207,
       15199.33828331, 15058.51270179, 14916.17725813, 14776.37654755,
       14640.79597095, 14504.24435078, 14362.34137347, 14225.61408705])]"
