Cutoff,downstream_distance,time,x,y
0,0.5384844946787484,23.5,"[array([9837.22286996, 9693.15585511, 9574.34917086, 9463.38057257,
       9323.78372758, 9221.20844177, 9247.60465479, 9346.88811906,
       9425.31066967, 9451.53758166, 9421.29276231, 9337.32833061,
       9223.1684835 , 9103.09098071, 8982.80156789, 8863.12140216,
       8747.50704164, 8639.77916595, 8558.15362504, 8543.54237993,
       8613.48704301, 8733.11399111, 8866.85870301, 9008.01315185,
       9150.09359007, 9276.02938711, 9381.79085858, 9473.97668589,
       9544.48549569, 9574.31920317, 9564.62616464, 9550.50940377,
       9556.9430045 , 9569.27216292, 9584.82115516, 9632.89192633,
       9725.22956958, 9850.88487039])]","[array([15161.27141863, 15144.98846931, 15064.68062186, 14971.09692358,
       14942.05344136, 15039.18061739, 15179.49210192, 15286.95705782,
       15405.20253702, 15547.08408139, 15687.31706099, 15803.55684529,
       15891.27562396, 15969.8929633 , 16048.34569115, 16127.7010739 ,
       16212.79873726, 16307.94859818, 16426.46896268, 16568.9120232 ,
       16694.18967921, 16774.77401293, 16827.37971197, 16854.75746021,
       16835.0933055 , 16765.74641337, 16668.37052456, 16558.16060473,
       16432.9188048 , 16292.7040496 , 16149.13256093, 16006.42242259,
       15862.89617778, 15719.93850433, 15576.93879415, 15441.96134546,
       15331.61509059, 15261.79514497])]"
1,0.674593784383626,42.5,"[array([13591.93455777, 13560.12056683, 13483.92837867, 13436.96001429,
       13416.94993181, 13415.7120937 , 13454.37254926, 13522.43235583,
       13597.03092149, 13680.57394067, 13782.95143126, 13910.91722236,
       14054.75590777, 14176.89142332, 14258.58453096, 14309.45915136,
       14321.03867805, 14276.77563264, 14191.84785897, 14092.68784802,
       13986.75646086, 13877.21985071, 13782.61374804, 13722.72209784,
       13688.97201261])]","[array([17530.01129586, 17670.56687094, 17792.43130858, 17928.05651795,
       18070.26035126, 18213.90093785, 18352.2701783 , 18478.78449785,
       18601.53795349, 18718.39901901, 18819.21262842, 18884.69909865,
       18883.05100985, 18806.98834563, 18688.62834916, 18554.16469557,
       18410.84029351, 18274.02667575, 18158.06919687, 18054.10620597,
       17957.08695777, 17864.18454804, 17756.1106193 , 17625.5360436 ,
       17485.91164124])]"
2,0.41111547990234304,100.5,"[array([7273.54169054, 7132.84375797, 6990.04286696, 6850.03018268,
       6709.85043781, 6567.87122409, 6424.84534108, 6281.63494727,
       6141.77146496, 6025.03702398, 5967.91155308, 5993.53722676,
       6090.5465334 , 6226.18128633, 6369.21405671, 6501.23910264,
       6621.47175865, 6744.06170947, 6877.52063235, 7016.5791378 ,
       7154.67211585, 7294.35974722])]","[array([ 9593.30298064,  9621.75899089,  9608.3978479 ,  9577.97740774,
        9548.61557146,  9529.98231036,  9522.40894104,  9526.35523653,
        9558.1647116 ,  9641.25513677,  9772.70432987,  9913.86132991,
       10019.66595596, 10066.67075341, 10055.26026309,  9999.51016571,
        9921.44220107,  9847.35985698,  9795.90326846,  9760.94467902,
        9723.60704656,  9690.4904658 ])]"
3,0.8327533094289497,204.5,"[array([18807.82059079, 18838.99543153, 18811.91602164, 18735.98742509,
       18627.02105093, 18505.04661   , 18392.90623887, 18320.30827555,
       18311.24467815, 18365.9295243 , 18469.75148714, 18603.8766737 ,
       18747.11895312, 18879.41591012, 18985.96362155, 19060.11359158,
       19104.83455525, 19127.94780255, 19131.27808893, 19107.4479103 ,
       19052.52681029, 18978.6039286 , 18908.87638062])]","[array([20617.14669117, 20477.21127981, 20336.46711793, 20214.97977731,
       20122.08950802, 20047.05899747, 19958.37883592, 19835.10465671,
       19692.13276938, 19559.67307807, 19460.91085949, 19410.46681208,
       19414.40971158, 19469.41417854, 19565.1559445 , 19687.67804878,
       19823.69086577, 19964.9525199 , 20108.04913058, 20249.1619379 ,
       20381.33736254, 20503.91145405, 20628.80014698])]"
4,0.05289077451705997,244.5,"[array([2401.50044271, 2270.02914763, 2127.75075244, 1991.5017083 ,
       1894.48025088, 1814.14031489, 1691.33239782, 1548.75810305,
       1440.35644422, 1390.65239339, 1393.49325843, 1419.50015337,
       1434.91355402, 1434.12273065, 1447.14494049, 1506.29996008,
       1614.30217803, 1750.63528266, 1893.94293178, 2028.82851734,
       2145.29342377, 2238.27053155, 2299.11076136, 2320.03779598,
       2326.30722575, 2372.36193706, 2481.72190983])]","[array([1678.9643199 , 1736.11102475, 1753.97792379, 1709.02243659,
       1603.45179128, 1484.90438884, 1411.26250012, 1426.57357225,
       1520.62189084, 1655.23557007, 1798.59039888, 1939.46509111,
       2081.83551198, 2225.05180915, 2367.71725181, 2498.25200276,
       2592.54378822, 2636.98366771, 2632.25525578, 2583.67872602,
       2500.11568832, 2391.0327043 , 2261.24556683, 2119.49120465,
       1976.40867374, 1840.77519827, 1748.06066514])]"
5,0.9028236656018769,329.0,"[array([21051.57970079, 21178.59576949, 21268.37772135, 21314.64303744,
       21315.25983939, 21268.32952797, 21187.71906215, 21112.86765307,
       21104.6605254 , 21191.39144496, 21330.00392264, 21468.45316949,
       21580.49538256, 21655.51124588, 21690.81544973, 21687.37436514,
       21647.92015284, 21574.1116845 , 21468.17786828, 21341.82408825,
       21220.00941096, 21146.91109397])]","[array([22190.58922375, 22124.3368254 , 22012.65513777, 21877.07978104,
       21733.87110369, 21598.63753159, 21480.23089822, 21358.451392  ,
       21215.75200856, 21101.4919313 , 21064.40396587, 21101.77943609,
       21191.12199681, 21313.17911314, 21451.97101849, 21595.12035365,
       21732.74978127, 21855.43944893, 21951.6468741 , 22019.05456531,
       22093.80376772, 22216.76028101])]"
6,0.23742068839206143,400.5,"[array([4088.05715658, 4139.58087206, 4143.15751867, 4103.04320893,
       4026.15686068, 3919.29216415, 3789.34859238, 3647.17039386,
       3505.81065204, 3365.28205508, 3222.64677379, 3099.1803829 ,
       3024.88681437, 3011.75790814, 3053.38646399, 3136.37661398,
       3247.76085577, 3377.23816745, 3516.85513087, 3659.94515562,
       3800.28977896, 3931.79656427, 4048.49346666, 4144.78069985,
       4216.66260339, 4264.48397726, 4294.76041843, 4316.46231286,
       4332.22984362, 4333.13917947, 4305.60215814, 4248.03207825,
       4180.01908296])]","[array([5925.79958529, 6059.34491758, 6202.46142948, 6339.88210006,
       6460.62877061, 6555.88215372, 6615.99964488, 6632.49892424,
       6611.21605897, 6583.66792426, 6593.96128326, 6666.15166985,
       6788.53550753, 6931.16678983, 7068.20566931, 7184.8882195 ,
       7274.80985367, 7335.80739866, 7367.23050079, 7368.86225884,
       7340.94723622, 7284.54392705, 7201.73475382, 7095.88692689,
       6972.17648877, 6837.34892643, 6697.53654068, 6556.15512073,
       6413.99428157, 6270.91457335, 6130.53841544, 5999.70082093,
       5873.76093618])]"
7,0.752098843120117,447.5,"[array([15295.3389301 , 15230.20640993, 15123.84166287, 14992.79698243,
       14850.51264739, 14709.73162622, 14577.98328116, 14445.97187061,
       14303.46738482, 14175.89568831, 14105.2863595 , 14107.02257409,
       14169.36009955, 14273.11938548, 14401.36035829, 14541.3172035 ,
       14684.45090649, 14825.61073981, 14961.28181378, 15087.33051124,
       15197.19302515, 15282.11543898, 15335.61688109, 15362.58536119,
       15386.06416348])]","[array([17876.33961373, 18004.00211769, 18099.97808223, 18157.78977312,
       18173.96524209, 18148.33518321, 18092.2854728 , 18036.92322302,
       18027.01963687, 18091.89201748, 18216.65642805, 18360.04161863,
       18489.09843641, 18587.87547564, 18651.61405237, 18681.76162963,
       18682.72692319, 18659.13462458, 18613.59445666, 18545.82456683,
       18454.10560148, 18338.90970322, 18206.19666977, 18065.63650049,
       17924.48130109])]"
8,0.6448732037452749,543.5,"[array([11758.58143329, 11698.7375174 , 11606.26242599, 11490.94337443,
       11360.00908807, 11219.65280724, 11076.7033464 , 10935.77311857,
       10794.33832238, 10652.09995274, 10526.98341825, 10446.17013094,
       10424.15433892, 10457.85981945, 10535.30865209, 10643.32571086,
       10770.71660173, 10908.91819216, 11051.59296984, 11193.80366439,
       11331.11102574, 11458.8342533 , 11571.70160547, 11664.13023094,
       11731.37435006, 11771.74144523, 11789.60988003, 11797.53400075,
       11814.40301535, 11858.3310399 ])]","[array([16330.34491087, 16460.35791983, 16569.55774019, 16654.24306933,
       16711.88066334, 16739.4445598 , 16736.3482498 , 16711.92923905,
       16690.47791763, 16704.19673569, 16773.41408386, 16891.5447693 ,
       17033.03397981, 17172.18791859, 17292.56568108, 17386.43307176,
       17451.56307411, 17488.50138223, 17498.69283816, 17483.40612206,
       17443.36570997, 17378.99744495, 17291.14567559, 17181.99358603,
       17055.76290843, 16918.56769392, 16776.68869557, 16633.90681824,
       16491.93629635, 16355.89347009])]"
9,0.5560259986823717,601.0,"[array([9715.90615042, 9632.03987228, 9523.72238181, 9397.53997035,
       9259.23946499, 9116.06845846, 8975.23401731, 8835.99900213,
       8693.02909452, 8557.92272028, 8459.14223214, 8417.88814039,
       8436.36055549, 8504.17795848, 8607.45108276, 8733.42736072,
       8871.83539336, 9014.85672352, 9156.69935854, 9293.09975271,
       9420.64204834, 9535.62332502, 9632.64613972, 9704.39938413,
       9745.5335546 , 9761.64456907, 9775.893527  , 9820.2773297 ])]","[array([12159.5407249 , 12275.66578415, 12369.3686109 , 12437.10635058,
       12474.2939483 , 12477.37261974, 12451.62682274, 12418.48709084,
       12411.66001327, 12459.15893078, 12562.9788087 , 12700.26324705,
       12842.4120921 , 12968.6649357 , 13067.98087103, 13136.17266175,
       13173.00073673, 13180.25434613, 13160.64834531, 13117.10618169,
       13052.04788703, 12966.72957632, 12861.42782009, 12737.50977148,
       12600.35786287, 12458.11328371, 12315.70380417, 12179.61733007])]"
