Cutoff,downstream_distance,time,x,y
0,0.5384844946787484,23.5,"[array([9837.22286996, 9693.15585511, 9574.34917086, 9463.38057257,
       9323.78372758, 9221.20844177, 9247.60465479, 9346.88811906,
       9425.31066967, 9451.53758166, 9421.29276231, 9337.32833061,
       9223.1684835 , 9103.09098071, 8982.80156789, 8863.12140216,
       8747.50704164, 8639.77916595, 8558.15362504, 8543.54237993,
       8613.48704301, 8733.11399111, 8866.85870301, 9008.01315185,
       9150.09359007, 9276.02938711, 9381.79085858, 9473.97668589,
       9544.48549569, 9574.31920317, 9564.62616464, 9550.50940377,
       9556.9430045 , 9569.27216292, 9584.82115516, 9632.89192633,
       9725.22956958, 9850.88487039])]","[array([15161.27141863, 15144.98846931, 15064.68062186, 14971.09692358,
       14942.05344136, 15039.18061739, 15179.49210192, 15286.95705782,
       15405.20253702, 15547.08408139, 15687.31706099, 15803.55684529,
       15891.27562396, 15969.8929633 , 16048.34569115, 16127.7010739 ,
       16212.79873726, 16307.94859818, 16426.46896268, 16568.9120232 ,
       16694.18967921, 16774.77401293, 16827.37971197, 16854.75746021,
       16835.0933055 , 16765.74641337, 16668.37052456, 16558.16060473,
       16432.9188048 , 16292.7040496 , 16149.13256093, 16006.42242259,
       15862.89617778, 15719.93850433, 15576.93879415, 15441.96134546,
       15331.61509059, 15261.79514497])]"
1,0.6739087400477802,41.0,"[array([13587.4293173 , 13564.63235764, 13488.443375  , 13438.97762538,
       13418.54390765, 13414.40451465, 13448.91681409, 13515.62501012,
       13589.52629969, 13671.42930203, 13771.60737603, 13896.78820164,
       14040.32296064, 14165.87177794, 14250.815339  , 14304.55347031,
       14320.95177434, 14281.58620494, 14198.95837007, 14100.76514581,
       13995.92338972, 13886.45428859, 13789.82463397, 13727.0828628 ,
       13692.25766762])]","[array([17515.14650713, 17657.56325227, 17779.17541421, 17913.7947373 ,
       18055.78397702, 18199.20263381, 18338.5163434 , 18465.5960482 ,
       18588.59663705, 18706.4308114 , 18809.23472279, 18879.56194623,
       18885.67678769, 18815.64427716, 18699.74866009, 18566.56089098,
       18423.87861439, 18285.71938804, 18168.26501939, 18063.59249386,
       17965.61281791, 17872.84062287, 17766.79696299, 17637.72008321,
       17498.5014014 ])]"
2,0.4128015150765159,100.5,"[array([7264.47927381, 7123.10138506, 6980.45265382, 6840.5063274 ,
       6700.18902363, 6558.05877428, 6414.96332895, 6271.73218343,
       6132.5078741 , 6018.68902193, 5967.06526681, 5998.56417   ,
       6099.50403929, 6236.59650797, 6379.31540068, 6510.31102797,
       6630.18321219, 6753.53558917, 6887.74559716, 7026.91228992,
       7164.88370847, 7305.00041784])]","[array([ 9596.84372812,  9621.89362069,  9606.73858774,  9575.85581067,
        9546.98601985,  9529.21050913,  9522.2745727 ,  9527.27653734,
        9561.92775477,  9649.01648669,  9782.77376147,  9922.78667377,
       10024.90729739, 10067.59805291, 10052.4853554 ,  9994.29001107,
        9915.57433853,  9842.76020891,  9793.11519553,  9758.45722892,
        9720.51542303,  9688.96867166])]"
3,0.8317902591119033,204.0,"[array([18804.18442894, 18838.24444452, 18813.74354251, 18739.7613265 ,
       18631.89939014, 18510.12697506, 18397.14004661, 18322.41288626,
       18310.6424611 , 18362.98343304, 18465.16737255, 18598.47546729,
       18741.73663695, 18874.72960113, 18982.37864302, 19057.69479322,
       19103.35083924, 19127.16718471, 19131.28525876, 19108.50091851,
       19054.53926394, 18980.97459446, 18910.85397886])]","[array([20623.09328704, 20483.85443141, 20342.66035226, 20220.00088177,
       20125.8663157 , 20050.54452911, 19962.97358855, 19841.01885976,
       19698.27330203, 19564.89576916, 19464.47356744, 19411.97354931,
       19413.84463158, 19467.08337526, 19561.55101317, 19683.33312535,
       19819.01151873, 19960.13277789, 20103.18545135, 20244.44726978,
       20376.98953963, 20499.75417863, 20624.39670692])]"
4,0.05319652269061176,244.5,"[array([2403.20090848, 2271.97246956, 2129.84617891, 1993.22061759,
       1895.75139971, 1815.59876619, 1693.57558175, 1550.97427764,
       1441.74655508, 1391.01287306, 1393.1239048 , 1419.03468965,
       1434.79792317, 1434.11641221, 1446.51906375, 1504.58940067,
       1611.67405887, 1747.57235361, 1890.85049816, 2025.98138389,
       2142.86475157, 2236.41903372, 2298.14396136, 2319.86565761,
       2325.86319257, 2370.45468878, 2478.33870215])]","[array([1678.01057974, 1735.54367128, 1754.09626455, 1710.11928301,
       1605.37209641, 1486.5273237 , 1411.81560444, 1425.61193644,
       1518.5714373 , 1652.74466333, 1796.0126502 , 1936.85895499,
       2079.12724916, 2222.23161642, 2364.93818172, 2495.86829187,
       2591.05578599, 2636.56976029, 2632.85605398, 2585.1799586 ,
       2502.34159322, 2393.84676398, 2264.48874743, 2123.02026719,
       1979.93951563, 1843.82737334, 1749.60688276])]"
5,0.9019411100523682,329.0,"[array([21044.05906731, 21172.71486379, 21264.79758002, 21313.39050571,
       21316.3723116 , 21271.58598585, 21191.87378726, 21115.36120209,
       21102.9875489 , 21186.12325282, 21323.78634906, 21463.06519637,
       21576.59997143, 21653.27943602, 21690.19657576, 21688.2322558 ,
       21650.08278054, 21577.47471104, 21472.42720387, 21346.39670496,
       21223.66219408, 21148.03736685])]","[array([22192.42083959, 22129.08622459, 22019.16272315, 21884.28221807,
       21740.96239241, 21604.81729776, 21485.78746589, 21364.818586  ,
       21222.13737652, 21105.19139952, 21064.45729188, 21099.0707414 ,
       21186.73574206, 21307.89442321, 21446.39926828, 21589.69779239,
       21727.82297076, 21851.36284595, 21948.80741569, 22016.85414039,
       22090.52135049, 22212.16514704])]"
6,0.23782964641900917,407.5,"[array([4101.68911887, 4148.1320085 , 4146.78711924, 4102.5366661 ,
       4022.50572162, 3913.49039796, 3782.35644983, 3639.92969197,
       3498.94475832, 3358.71506305, 3216.06960048, 3092.43813645,
       3017.83681165, 3004.22850008, 3045.27210261, 3127.66129738,
       3238.48214217, 3367.47251627, 3506.75224794, 3649.77913434,
       3790.47931378, 3922.88356456, 4041.10330511, 4139.52988006,
       4213.88162985, 4263.78554768, 4295.00364077, 4316.67483871,
       4332.89655066, 4336.33699851, 4313.0972814 , 4258.71532283,
       4189.58958507])]","[array([5940.33903435, 6075.70704834, 6218.83080368, 6354.94065674,
       6473.58518865, 6566.31662286, 6623.70754169, 6637.52719076,
       6614.08244016, 6585.2036857 , 6594.84390205, 6666.69451526,
       6788.85591578, 6931.41060616, 7068.59191563, 7185.65942309,
       7276.222261  , 7338.16612265, 7370.90616355, 7374.24651336,
       7348.36730565, 7294.19290805, 7213.63214664, 7109.8154423 ,
       6987.60890391, 6853.57065739, 6713.99893775, 6572.64173264,
       6430.56906279, 6287.56645426, 6146.43328985, 6014.26800141,
       5889.01460682])]"
7,0.7520853120557828,446.0,"[array([15294.17537323, 15229.97872446, 15124.24700159, 14993.54120622,
       14851.33146302, 14710.4535479 , 14578.64172424, 14446.65075365,
       14304.13384504, 14176.8313157 , 14106.98847404, 14109.58904574,
       14172.53545094, 14276.65077712, 14405.09856219, 14545.15863534,
       14688.3028591 , 14829.38549568, 14964.86325228, 15090.51422653,
       15199.65376833, 15283.48017321, 15335.75679586, 15362.12548545,
       15386.56779389])]","[array([17872.53650626, 18000.68203932, 18097.36727189, 18155.96235633,
       18172.86225612, 18147.7257074 , 18091.80308759, 18036.36407967,
       18026.62242953, 18092.04210028, 18217.25168741, 18360.63310052,
       18489.40176313, 18587.81357061, 18651.15136628, 18680.85407069,
       18681.34547701, 18657.24720355, 18611.10916968, 18542.58682584,
       18449.99559324, 18333.99001578, 18200.78242041, 18060.09597041,
       17919.10516812])]"
8,0.6461720749646385,544.0,"[array([11746.6718767 , 11679.67596038, 11581.95630207, 11462.81775226,
       11329.19356241, 11187.499648  , 11044.69057576, 10903.98983669,
       10761.64424792, 10621.52004928, 10507.00770343, 10443.74429709,
       10440.48509438, 10490.13588386, 10579.5190057 , 10695.70486089,
       10828.16480168, 10968.95205654, 11112.08692363, 11252.66504898,
       11385.9939524 , 11506.9953102 , 11610.12446467, 11690.08277075,
       11743.58811466, 11772.22349552, 11785.2911741 , 11799.84855935,
       11835.36073712])]","[array([16354.45094382, 16481.02926851, 16585.68786957, 16665.0794055 ,
       16716.44765292, 16736.80273762, 16727.29725458, 16701.28597748,
       16686.9761574 , 16716.07639896, 16802.07653727, 16930.62998347,
       17073.88085029, 17208.26564684, 17320.18118612, 17403.88216105,
       17458.21325931, 17484.1188209 , 17483.04248022, 17456.12100269,
       17404.06443202, 17327.60807123, 17228.35030437, 17109.62905514,
       16976.87504261, 16836.65601506, 16694.16843105, 16551.84510782,
       16413.24552925])]"
9,0.5577709224504412,621.5,"[array([9722.07806219, 9639.46413448, 9532.3313422 , 9407.16242247,
       9269.54029565, 9126.59496526, 8985.76622086, 8846.74719649,
       8704.11437383, 8568.00456729, 8466.53321284, 8422.03302732,
       8437.68489896, 8503.41684732, 8605.31283415, 8730.48401177,
       8868.4893138 , 9011.34472889, 9153.11593172, 9289.43569688,
       9416.83976826, 9531.63276307, 9628.45534846, 9700.0843272 ,
       9741.48617433, 9758.98033092, 9776.43784457, 9825.4793132 ])]","[array([12153.78482225, 12270.65106706, 12365.52137844, 12434.86452911,
       12474.01644226, 12478.98654133, 12454.16502871, 12420.0185035 ,
       12410.22559202, 12453.88683823, 12554.78834204, 12690.90992611,
       12833.2787631 , 12960.49590136, 13061.05036479, 13130.4529177 ,
       13168.28868178, 13176.26383115, 13157.07840289, 13113.70174837,
       13048.64870959, 12963.28374376, 12857.96878913, 12734.14654606,
       12597.2721083 , 12455.29774514, 12313.26405469, 12179.01025996])]"
