Cutoff,downstream_distance,time,x,y
0,0.19782481270044203,0.5,"[array([12749.05275638, 12637.56882635, 12513.91849841, 12387.34116833,
       12258.34588409, 12144.30950793, 12029.30987995, 11901.60152211,
       11774.67278929, 11635.40995233, 11533.46789607, 11489.36422596,
       11513.79885343, 11548.33950416, 11648.12669226, 11733.76127797,
       11830.86738437, 11939.84881724, 12055.22118597, 12170.11465423,
       12297.35106967, 12424.92098525, 12565.32384565, 12667.44809915,
       12776.89271078, 12809.85445889, 12840.78961858, 12840.56388383,
       12849.2712664 , 12885.60911701])]","[array([8045.65092855, 8120.37105382, 8159.92296378, 8189.44497418,
       8162.46301559, 8099.90859406, 8040.24873586, 8010.99232677,
       7979.71550843, 7981.48570119, 8080.74734555, 8202.84146646,
       8332.46119162, 8458.36567205, 8557.17952365, 8642.02854372,
       8745.78005724, 8820.43258462, 8879.52204157, 8939.81665755,
       8970.31613911, 9000.02441923, 9001.72794844, 8910.05434536,
       8829.29367741, 8702.68785139, 8575.58734889, 8435.69902595,
       8299.64867064, 8174.91079697])]"
1,0.528339230757179,28.5,"[array([29439.53806175, 29354.37417079, 29238.88785832, 29119.15702049,
       29005.42473427, 28892.60317705, 28769.11359522, 28633.07450686,
       28491.65288441, 28351.53498964, 28218.450872  , 28095.5819173 ,
       27972.49899563, 27835.60427085, 27696.49093526, 27582.07382847,
       27502.60292919, 27449.22064828, 27409.3756132 , 27372.73404669,
       27333.13706516, 27296.19987448, 27280.81521875, 27305.50662085,
       27373.87809994, 27476.31556281, 27600.81765913, 27737.71675108,
       27879.1580541 , 28019.75583938, 28157.97882113, 28295.24310186,
       28433.67079074, 28573.99022993, 28715.22192657, 28856.29036922,
       28995.93760398, 29132.77062799, 29266.9626088 , 29401.0990033 ,
       29538.14098391, 29677.83371001, 29817.81015947, 29956.37745654,
       30094.22087395, 30233.10740826, 30371.93810428, 30503.12524277,
       30606.29016053, 30656.0484615 , 30642.90694066, 30576.90605152,
       30474.21780322, 30348.62348034, 30211.3296848 , 30070.32601477,
       29928.93562687, 29789.99987802, 29669.22363345, 29595.94003307,
       29587.03497676, 29633.31452222])]","[array([16393.30089873, 16506.84581695, 16589.29697522, 16664.62487116,
       16748.68599657, 16834.22635674, 16903.24865796, 16942.30046267,
       16949.73202315, 16929.08546589, 16880.93208461, 16810.76711499,
       16740.57348553, 16705.32621946, 16731.33436329, 16815.0403559 ,
       16932.47963246, 17063.67137039, 17199.47795127, 17336.14944655,
       17471.95473184, 17608.62493706, 17749.31873961, 17888.68681796,
       18012.76800983, 18110.69236802, 18178.32366854, 18214.67749783,
       18221.46547261, 18204.87612668, 18174.47855042, 18140.14197812,
       18110.89865781, 18092.97446353, 18084.11228217, 18073.26714418,
       18050.59459214, 18014.55451039, 17969.70229915, 17924.62039027,
       17889.60873231, 17867.02371507, 17846.38765353, 17817.91779199,
       17785.88202293, 17759.1724995 , 17731.24866377, 17678.06142296,
       17581.10188788, 17448.36432293, 17307.07685692, 17181.45563962,
       17083.65314575, 17018.01280388, 16983.15027071, 16970.71780934,
       16964.1323554 , 16936.96277395, 16863.28532742, 16742.06008758,
       16600.44440768, 16466.30124426])]"
2,0.007893216432782232,41.5,"[array([2191.20860464, 2151.23611449, 2072.08201419, 1947.80014701,
       1811.54751928, 1670.11985132, 1528.65334287, 1392.97760401,
       1271.89938162, 1188.2474017 , 1177.98253256, 1258.17186929,
       1387.45192293, 1528.45978694, 1669.28521429, 1802.08467305,
       1922.70611101, 2018.80247249, 2095.90256172, 2146.84238757,
       2192.80204274, 2271.01273911, 2381.00400005])]","[array([ 857.19126335,  993.15960979, 1110.96361448, 1179.13660018,
       1218.2178884 , 1224.23876878, 1226.34177358, 1266.22822747,
       1339.66786099, 1454.15912241, 1595.95440003, 1713.41009006,
       1772.32101406, 1787.69353573, 1771.48796979, 1722.26682168,
       1647.83669496, 1543.89638389, 1425.03566326, 1293.04095031,
       1159.17287373, 1041.38477773,  952.07856595])]"
3,0.5092611162881437,64.0,"[array([27737.13595863, 27603.95701575, 27495.15780084, 27409.75379116,
       27325.76459936, 27218.5586598 , 27086.16199923, 26944.52383256,
       26806.35981464, 26676.94395507, 26563.31686238, 26479.69106342,
       26443.13965028, 26463.47892233, 26537.09210753, 26649.48036387,
       26782.89149343, 26923.6615696 , 27065.18160826, 27205.69112426,
       27344.9087079 , 27483.20912723, 27622.32665184, 27763.56520016])]","[array([14755.49665187, 14706.27533914, 14615.37693139, 14502.34944363,
       14388.3585999 , 14296.25572621, 14246.33093213, 14242.56644742,
       14274.01295996, 14331.66106381, 14416.3365473 , 14530.77526706,
       14667.78843876, 14808.19805072, 14929.5082363 , 15016.06847097,
       15064.05525491, 15080.17187076, 15075.4560273 , 15058.40110517,
       15033.02637026, 15003.1052604 , 14977.17704425, 14968.37810894])]"
4,0.2429450872774759,69.5,"[array([14342.50676233, 14434.45539783, 14504.26478566, 14561.50487502,
       14604.30333257, 14620.46523788, 14601.29877069, 14550.12891624,
       14475.24554831, 14382.21165659, 14278.58239992, 14180.49978989,
       14113.32499855, 14100.84269476, 14148.5682552 , 14243.59585783,
       14367.90861208, 14506.5243327 , 14647.98702981, 14783.43373206,
       14905.56369927, 15007.5549538 , 15085.29617219, 15141.98831689,
       15186.86588465, 15227.70949143, 15267.77949851, 15309.92416133,
       15358.91540308, 15417.16181484, 15480.51055624, 15541.00023154,
       15593.59054283, 15637.80196124, 15670.158349  , 15677.09793876,
       15640.79521611, 15555.01421089, 15432.02643675, 15292.04154756,
       15152.27883863, 15028.96224213, 14933.65680853, 14846.36746467,
       14728.87939219, 14587.34599095, 14472.07927727])]","[array([11231.59432249, 11123.75768679, 11000.54833374, 10871.11725316,
       10736.18023698, 10595.54248758, 10455.30400736, 10323.29814056,
       10203.14834925, 10096.51450185, 10000.26688041,  9898.21964155,
        9773.68031915,  9632.63369334,  9499.16784589,  9393.92547889,
        9325.77357137,  9296.30159769,  9303.94656907,  9345.39473383,
        9417.1243913 ,  9515.36518311,  9633.66939523,  9763.35041462,
        9897.53564041, 10032.96727541, 10168.62143449, 10303.64829032,
       10436.34544084, 10565.23716816, 10691.71831542, 10819.5807792 ,
       10950.88536885, 11085.25580918, 11222.9983616 , 11364.41066736,
       11501.30431752, 11614.07105798, 11684.54898513, 11707.17806339,
       11683.01920996, 11613.02128774, 11508.63687748, 11396.86610378,
       11318.21163857, 11316.11610386, 11398.97892259])]"
5,0.09008571653168607,77.5,"[array([6161.31459911, 6030.6773598 , 5889.06245874, 5748.50908109,
       5609.82968479, 5471.71541484, 5331.61871741, 5190.17102726,
       5054.64589803, 4934.05100713, 4839.72842872, 4786.55453165,
       4784.05591704, 4827.48595331, 4902.934071  , 5000.49819058,
       5118.9434363 , 5255.43316927, 5397.01778063, 5533.09366134,
       5662.68445747, 5784.27960993, 5895.06723327, 5996.55157221,
       6087.70480192, 6163.65311746, 6235.42300526, 6331.61851199])]","[array([4592.91040552, 4648.77155768, 4657.4172584 , 4639.13520167,
       4610.41338418, 4579.3180206 , 4558.78079656, 4565.48969692,
       4606.73085372, 4681.20601295, 4787.10283979, 4918.62793866,
       5060.47923179, 5195.49749887, 5315.53611641, 5418.37477546,
       5496.35203739, 5534.89934078, 5527.92634625, 5488.2762641 ,
       5431.00638912, 5358.33182643, 5270.10932786, 5171.32573696,
       5062.89309483, 4943.42350224, 4821.35172595, 4717.31966802])]"
6,0.9440728750813463,167.5,"[array([53747.56197377, 53731.27853594, 53685.02751823, 53619.75103217,
       53539.17125692, 53447.02642137, 53359.1939506 , 53302.78318204,
       53298.01024938, 53342.47094506, 53425.49070309, 53539.71064342,
       53674.34049766, 53815.9446126 , 53955.83187309, 54088.57524226,
       54207.31927916, 54303.39766896, 54368.69382702, 54397.53552725,
       54387.24928958, 54337.85922014, 54253.27762754, 54145.18297058,
       54035.6643135 , 53959.94453247, 53956.91379641])]","[array([20858.16569773, 20999.04324253, 21133.01435835, 21258.74975198,
       21375.21905102, 21482.75858112, 21593.7687731 , 21723.64606418,
       21865.34304136, 22000.01636696, 22115.00022802, 22199.09249029,
       22243.73535529, 22250.90934553, 22228.0955803 , 22178.45051104,
       22101.06211517, 21996.83405917, 21870.99459883, 21732.17415555,
       21590.75272203, 21457.83087733, 21344.06464243, 21252.45723329,
       21162.78619335, 21043.15929735, 20901.26759001])]"
7,0.30602246086680956,214.0,"[array([18614.94059758, 18598.4418626 , 18533.97070191, 18435.04386941,
       18312.25288826, 18174.84963113, 18033.14431757, 17892.73233969,
       17751.1040337 , 17615.82063257, 17513.18038577, 17467.37755222,
       17483.63204635, 17551.87131599, 17656.87087491, 17784.54758921,
       17923.81760314, 18065.39097809, 18199.32503617, 18316.29383146,
       18417.80157248, 18523.35775383, 18651.15161709, 18792.90013448,
       18920.59287273, 19010.84705851, 19055.49211791, 19056.49957919,
       19018.19128407, 18945.24416169, 18846.77517473, 18738.87433808,
       18644.23828673, 18591.4665854 , 18602.30730992, 18676.35948995,
       18794.63920939, 18933.72318383, 19074.51407181, 19203.90176669,
       19313.5186804 , 19398.25845075, 19455.53358342, 19485.44949995,
       19491.42810581, 19480.23961248, 19460.51033627, 19439.77877572,
       19421.254538  , 19401.96006074, 19373.6919068 , 19327.02292016,
       19256.70621873, 19165.24090544, 19062.05844437, 18960.29803642,
       18875.17677823, 18821.63281025])]","[array([12195.92472898, 12337.01281451, 12463.53377784, 12565.32598225,
       12636.46167913, 12671.73935719, 12671.61225168, 12652.37001127,
       12647.20814433, 12689.09469992, 12786.97302101, 12921.4021532 ,
       13062.54799877, 13187.12279317, 13282.68048499, 13344.63389012,
       13371.72676392, 13362.55707937, 13315.84219783, 13235.80875699,
       13136.93786058, 13042.32924347, 12981.34687757, 12979.46018377,
       13041.47837728, 13151.1491822 , 13285.95685783, 13427.90850392,
       13564.5474755 , 13686.18749698, 13788.07104752, 13879.98474759,
       13985.42931624, 14116.87092669, 14258.30634006, 14379.49720419,
       14458.20719159, 14487.02944768, 14468.71888645, 14410.41509107,
       14320.35403152, 14206.62116883, 14076.90658061, 13938.33809138,
       13796.7412814 , 13655.49567127, 13515.21796944, 13375.10699137,
       13234.69079816, 13094.36464855, 12955.55295769, 12821.79238594,
       12698.8010465 , 12590.61717345, 12493.5390148 , 12394.98068572,
       12281.77228808, 12150.59092825])]"
8,0.6383784554513469,245.0,"[array([37590.76166678, 37582.5009562 , 37546.59320141, 37485.07020209,
       37399.59056599, 37292.60313731, 37169.44257558, 37038.44147435,
       36909.47712152, 36797.86685773, 36726.65103147, 36713.94995169,
       36760.74877613, 36854.20769965, 36977.4717931 , 37115.66713097,
       37257.46964205, 37394.7372588 , 37521.68568791, 37634.1727706 ,
       37729.27045917, 37805.10203684, 37860.7773211 , 37896.20333678,
       37911.72408015, 37908.00671881, 37886.97063822, 37854.0289854 ,
       37820.30835341, 37802.35542332]), array([40102.56726409, 40016.45876637, 39911.265185  , 39793.23994602,
       39669.18133706, 39546.42613887, 39434.11555891, 39343.32315459,
       39282.12560792, 39248.22311318, 39225.84363885, 39190.93809802,
       39123.70551784, 39020.45267946, 38893.55480113, 38758.97763006,
       38629.78324672, 38525.29694691, 38469.6978003 , 38474.30196394,
       38532.53158092, 38629.58150444, 38751.10773028, 38886.10960138,
       39026.90558311, 39168.49120936, 39308.06582651, 39444.76340428,
       39579.15389972, 39712.17969433, 39843.897136  , 39972.60846348,
       40094.36476365, 40203.04810389, 40292.0551303 , 40357.32914064,
       40399.25558911, 40421.40511829, 40426.93079749, 40415.63038164,
       40384.68341338, 40333.70073835, 40270.57921314, 40213.11897076,
       40184.7554674 , 40204.35115864, 40275.22714476])]","[array([18338.71386031, 18197.16636387, 18060.0189477 , 17932.3028397 ,
       17819.21649144, 17726.24180127, 17656.17329715, 17602.14408748,
       17543.50836013, 17456.3471674 , 17333.76648978, 17192.38869501,
       17058.2921001 , 16951.36564132, 16880.94974179, 16848.73449368,
       16852.40857187, 16888.01541869, 16951.14995154, 17037.4188439 ,
       17142.52526433, 17262.26122927, 17392.58471687, 17529.79335394,
       17670.63976489, 17812.27800853, 17952.37597085, 18090.14631682,
       18227.72641637, 18368.22931739]), array([17870.23336647, 17982.84504464, 18077.82784671, 18156.23128618,
       18224.62556377, 18295.27528744, 18381.55429328, 18490.30174929,
       18618.11236945, 18755.70967355, 18895.61558525, 19032.85507229,
       19157.51606039, 19254.5873638 , 19317.76315474, 19362.33162066,
       19420.22013741, 19515.83154035, 19646.33424806, 19788.25178259,
       19917.76284648, 20021.34227054, 20094.55128789, 20137.97690894,
       20154.52923635, 20148.21857904, 20123.80218578, 20086.60260383,
       20041.83656387, 19993.1902724 , 19941.09712308, 19881.94379194,
       19809.52777046, 19718.63323072, 19608.36774083, 19482.57327886,
       19347.19956884, 19207.24048388, 19065.65896125, 18924.42280705,
       18786.16535826, 18653.99472492, 18527.15312119, 18397.68206392,
       18258.91574048, 18118.51493787, 17995.59796732])]"
9,0.6251051038768123,276.0,"[array([35814.58010116, 35760.98983896, 35676.89258043, 35570.62932414,
       35447.9792383 , 35313.44206088, 35172.57803836, 35030.90271084,
       34889.19828516, 34750.30477685, 34633.15803359, 34563.65038265,
       34553.86645217, 34598.95912807, 34686.21764698, 34802.09584432,
       34934.91364289, 35075.51025899, 35217.06683873, 35354.62043537,
       35484.60799574, 35604.56065873, 35712.82564806, 35808.03270037,
       35888.15955377, 35949.69375447, 35988.4657435 , 36004.08489783,
       36006.75439213, 36019.19455377])]","[array([17784.01824078, 17915.53930364, 18029.89275795, 18123.93321426,
       18195.24539665, 18240.21238584, 18256.38174588, 18250.55178584,
       18245.61568503, 18273.48086871, 18353.44644307, 18477.34128879,
       18619.15538747, 18753.93654316, 18866.0385869 , 18948.10366425,
       18998.1630712 , 19017.30152164, 19008.05067169, 18973.47585437,
       18916.7837265 , 18841.16714956, 18749.61246639, 18644.55148757,
       18527.57970285, 18399.8405904 , 18263.46831238, 18122.57933136,
       17980.82421423, 17839.63772935])]"
10,0.10923935787947404,324.0,"[array([6935.40292881, 6898.13110959, 6827.26064429, 6722.87841595,
       6589.22112505, 6448.4074408 , 6314.33339681, 6173.81073824,
       6046.38611289, 5977.88345055, 5986.77699626, 6060.18950158,
       6175.28199557, 6311.30826487, 6453.16741368, 6591.36488367,
       6717.56291488, 6817.04855788, 6871.14515494, 6884.66755988,
       6904.7872192 , 6979.91239954, 7108.30572154])]","[array([4525.47552782, 4662.34221187, 4785.22488113, 4881.44205135,
       4929.60276686, 4916.7743043 , 4871.55257181, 4857.10039601,
       4918.27186791, 5042.61887695, 5184.54824007, 5306.31344187,
       5389.61287087, 5430.21478965, 5431.83347274, 5399.93767162,
       5335.11519011, 5233.83390899, 5102.80182466, 4961.85591424,
       4821.36971013, 4701.54403581, 4641.270844  ])]"
11,0.2191283787453673,325.5,"[array([13432.38127118, 13443.55953466, 13408.29182986, 13328.94526159,
       13213.79645538, 13080.44849524, 12945.25749909, 12828.31961357,
       12764.35704316, 12776.26194775, 12855.83980276, 12977.91848371,
       13117.97724996, 13258.51409928, 13388.94263994, 13503.21064338,
       13595.9796122 , 13658.90788767, 13681.76870572, 13663.13554979,
       13623.24994219, 13601.70700724, 13635.86246886])]","[array([7794.1471831 , 7935.72756438, 8073.28312244, 8191.00813663,
       8273.7162624 , 8320.62223842, 8362.31578205, 8441.70313729,
       8568.0975561 , 8709.63562396, 8827.47078307, 8900.31243354,
       8924.1160957 , 8903.96727791, 8848.07061429, 8764.00390589,
       8656.68286418, 8529.51255534, 8389.4725162 , 8248.98043048,
       8112.96344191, 7972.84494705, 7835.34658592])]"
12,0.7832127096246888,338.0,"[array([46206.62008798, 46112.03403795, 46004.03866587, 45885.33680929,
       45758.39314387, 45624.97727153, 45486.48723796, 45345.11195127,
       45204.06945938, 45064.50022782, 44923.66852093, 44783.29550372,
       44658.2350041 , 44568.89958027, 44527.25586968, 44533.1086277 ,
       44579.10676966, 44656.12675565, 44755.99650787, 44872.11509155,
       44998.94476871, 45131.4495228 , 45264.94791165, 45394.32342172,
       45513.91352896, 45622.728287  , 45730.539976  , 45851.43969264,
       45988.46481601, 46129.65742514, 46258.77973951, 46365.48235705,
       46447.03101239, 46505.2266759 , 46543.03499134, 46562.22660618,
       46562.19201579, 46540.52649266, 46496.25136368, 46434.87743571,
       46371.69108991, 46330.27870352, 46334.21810563, 46393.56890642])]","[array([20242.52886196, 20347.96303789, 20439.60751806, 20516.87595598,
       20579.68622573, 20627.23220979, 20656.93203689, 20665.40928584,
       20652.84024757, 20628.75587898, 20613.735165  , 20632.30250538,
       20698.95226759, 20809.13975708, 20944.80316464, 21086.57210751,
       21220.74232672, 21339.77906723, 21440.34945975, 21521.54627851,
       21584.62299477, 21634.60223987, 21681.81474011, 21739.29036129,
       21815.02437461, 21905.65313594, 21997.52257478, 22071.20353518,
       22107.09358171, 22094.3730408 , 22035.71398654, 21942.31383375,
       21826.36002078, 21697.14980388, 21560.61051864, 21420.25609075,
       21278.59962268, 21138.61526254, 21004.09070537, 20876.46601671,
       20749.68921538, 20614.29586281, 20472.70468067, 20343.90866514])]"
13,0.5505996235927857,355.0,"[array([30588.07905304, 30565.32565111, 30512.85067467, 30436.88310874,
       30350.30764455, 30272.24013813, 30224.50167448, 30221.58795339,
       30260.80762315, 30326.24251532, 30401.96457661, 30481.89978159,
       30571.70617118, 30680.93033428, 30811.23683071, 30952.68577199,
       31089.8754822 , 31209.60931848, 31304.23692713, 31371.20160941,
       31411.26174473, 31426.6342027 , 31419.22611742, 31389.14052638,
       31334.39727615, 31253.32809918, 31149.31297161, 31033.07138366,
       30920.49151153, 30833.80705955, 30797.74835142])]","[array([16442.27459327, 16302.32143707, 16170.6265375 , 16051.01088398,
       15938.92267891, 15820.75425454, 15687.38788591, 15545.69927163,
       15409.49075913, 15283.7873187 , 15164.06146087, 15047.13292649,
       14937.5494088 , 14847.22977115, 14791.34060848, 14780.76514068,
       14816.91478637, 14893.00460665, 14998.65876872, 15123.6462716 ,
       15259.62753814, 15400.52267209, 15542.04484845, 15680.53065487,
       15811.26233838, 15927.53212048, 16023.75970629, 16104.66263346,
       16190.6410923 , 16302.71283196, 16439.85600722])]"
