Cutoff,downstream_distance,time,x,y
0,0.19782481270044203,0.5,"[array([12749.05275638, 12637.56882635, 12513.91849841, 12387.34116833,
       12258.34588409, 12144.30950793, 12029.30987995, 11901.60152211,
       11774.67278929, 11635.40995233, 11533.46789607, 11489.36422596,
       11513.79885343, 11548.33950416, 11648.12669226, 11733.76127797,
       11830.86738437, 11939.84881724, 12055.22118597, 12170.11465423,
       12297.35106967, 12424.92098525, 12565.32384565, 12667.44809915,
       12776.89271078, 12809.85445889, 12840.78961858, 12840.56388383,
       12849.2712664 , 12885.60911701])]","[array([8045.65092855, 8120.37105382, 8159.92296378, 8189.44497418,
       8162.46301559, 8099.90859406, 8040.24873586, 8010.99232677,
       7979.71550843, 7981.48570119, 8080.74734555, 8202.84146646,
       8332.46119162, 8458.36567205, 8557.17952365, 8642.02854372,
       8745.78005724, 8820.43258462, 8879.52204157, 8939.81665755,
       8970.31613911, 9000.02441923, 9001.72794844, 8910.05434536,
       8829.29367741, 8702.68785139, 8575.58734889, 8435.69902595,
       8299.64867064, 8174.91079697])]"
1,0.5279090984231667,27.0,"[array([29444.46459651, 29366.53953923, 29253.59370778, 29134.07201007,
       29020.21803994, 28908.4211428 , 28786.78368998, 28651.98358362,
       28510.8329151 , 28370.24747141, 28235.82444571, 28111.76746079,
       27989.58090193, 27854.27587564, 27714.08155681, 27596.03898117,
       27512.77538053, 27456.58216507, 27415.0932619 , 27378.08244307,
       27338.5044778 , 27300.24620218, 27281.5101427 , 27301.8541798 ,
       27366.31898228, 27465.91343609, 27588.60839972, 27724.59514183,
       27865.84749854, 28006.64529948, 28145.11445544, 28282.46479593,
       28420.77622713, 28560.96071962, 28702.14985891, 28843.23712251,
       28982.99499453, 29120.04589974, 29254.40421998, 29388.39210443,
       29525.13661075, 29664.71375071, 29804.7440984 , 29943.35799458,
       30081.07504279, 30219.82050368, 30358.80804193, 30491.18243264,
       30597.49905765, 30651.79032527, 30642.90920009, 30580.09153785,
       30479.53909196, 30355.14137906, 30218.35744416, 30077.51388128,
       29936.18897663, 29797.06852622, 29675.21600017, 29600.09755426,
       29589.41233044, 29634.20270928])]","[array([16371.65340351, 16490.25589337, 16576.15745569, 16651.85890206,
       16735.6576973 , 16822.49292121, 16894.68851221, 16937.67743329,
       16948.74775026, 16931.80395863, 16887.53837126, 16819.6285981 ,
       16747.89781964, 16707.018334  , 16725.87847906, 16804.2992006 ,
       16919.05742443, 17049.05617144, 17184.34298268, 17320.89265601,
       17456.6684706 , 17592.937421  , 17733.20397162, 17873.22999164,
       17999.34556572, 18100.11907072, 18170.923025  , 18210.46584504,
       18220.05056495, 18205.50017271, 18176.36225773, 18142.49285423,
       18112.82322   , 18094.11293569, 18085.0708681 , 18074.82788463,
       18053.05490398, 18017.95823073, 17973.71033312, 17928.26875607,
       17892.21863545, 17869.16113915, 17849.02619013, 17820.98028099,
       17788.49758015, 17761.24471992, 17734.31953099, 17684.21049936,
       17590.77887831, 17459.87937347, 17318.29458249, 17191.07436049,
       17091.1072055 , 17023.28408591, 16986.56030373, 16972.65122924,
       16965.50998829, 16939.37635939, 16867.56653089, 16747.52868394,
       16606.06554652, 16471.44168997])]"
2,0.007919377176033898,41.5,"[array([2191.20667375, 2151.25161673, 2072.10091451, 1947.83425613,
       1811.58318598, 1670.16130239, 1528.69629284, 1393.02025528,
       1271.940268  , 1188.26643064, 1177.97136768, 1258.12573345,
       1387.38969715, 1528.39317455, 1669.21713513, 1802.02016996,
       1922.64300442, 2018.76028518, 2095.85885964, 2146.81741274,
       2192.77271336, 2270.94499505, 2380.92712174])]","[array([ 857.16985894,  993.13422972, 1110.94262964, 1179.126691  ,
       1218.21051783, 1224.24039538, 1226.33959661, 1266.20544551,
       1339.63754138, 1454.10790648, 1595.89996416, 1713.37256189,
       1772.30942328, 1787.6950257 , 1771.50109894, 1722.30364397,
       1647.87833968, 1543.96559134, 1425.10523287, 1293.12398301,
       1159.25533773, 1041.44938202,  952.13309508])]"
3,0.2364623794175022,69.0,"[array([14316.1087663 , 14414.59766357, 14488.40850092, 14548.26509425,
       14595.64190452, 14619.47626073, 14608.5013523 , 14563.47705376,
       14493.17467411, 14403.99852062, 14301.93368603, 14200.67795875,
       14124.12130298, 14098.39928515, 14133.908586  , 14220.4727465 ,
       14339.96383769, 14476.61626444, 14618.35496557, 14755.75190978,
       14881.30255382, 14988.10548002, 15070.95974861, 15131.25864419,
       15177.75079993, 15219.24394163, 15259.57499841, 15301.06538121,
       15348.29545802, 15404.80965578, 15467.87239866, 15529.64631449,
       15583.87547159, 15629.50232488, 15664.68973866, 15678.12571201,
       15651.53339529, 15574.94374411, 15457.36461965, 15318.98917025,
       15177.96698033, 15050.0399942 , 14949.23888923, 14863.54424578,
       14753.16042298, 14612.82799145, 14488.77367819])]","[array([11252.22629219, 11150.20116858, 11029.24969343, 10900.92906253,
       10767.48458672, 10627.86574972, 10486.68644571, 10352.40345307,
       10229.44490767, 10119.44947297, 10021.45742681,  9922.50824741,
        9803.41221615,  9664.13644077,  9526.87325936,  9414.49280087,
        9338.07063278,  9300.2558293 ,  9300.20114425,  9334.89960129,
        9400.59568716,  9493.69315835,  9608.56453133,  9736.68073003,
        9870.39079802, 10005.6928698 , 10141.3353243 , 10276.62702999,
       10410.02922468, 10539.75813035, 10666.44587582, 10793.76767371,
       10924.46780034, 11058.42867741, 11195.52142258, 11336.50847049,
       11475.67565765, 11594.94383974, 11674.21002862, 11705.42869382,
       11689.84720803, 11628.42753968, 11529.1518491 , 11416.24634279,
       11327.56900844, 11309.09640009, 11378.13491456])]"
4,0.0875930554518958,75.0,"[array([6170.93166195, 6043.09707884, 5901.83805266, 5761.02273147,
       5621.97779836, 5483.5996567 , 5343.61347371, 5202.13828534,
       5066.14275182, 4944.51163515, 4848.19484163, 4792.28739098,
       4787.23971123, 4828.85144146, 4903.09871614, 4999.80420766,
       5117.59445802, 5253.77587048, 5395.34359778, 5531.40010274,
       5661.18105182, 5783.20101252, 5894.10679454, 5995.42408789,
       6086.72669899, 6163.19181843, 6235.7580769 , 6333.17374744])]","[array([4577.80250975, 4639.78531243, 4652.78793514, 4636.91888987,
       4610.21608813, 4580.51175069, 4559.5389254 , 4564.55005094,
       4604.03252989, 4676.70651072, 4780.72847127, 4911.06858021,
       5052.81205785, 5188.36184956, 5309.10118922, 5412.6915279 ,
       5491.57721123, 5531.07482489, 5524.55273068, 5484.99076002,
       5428.26526477, 5356.38298666, 5268.37785682, 5169.48311462,
       5061.23386343, 4942.14317652, 4820.59371167, 4717.75914541])]"
5,0.4642869031072938,92.5,"[array([27839.21063146, 27697.4022648 , 27570.05901031, 27468.73012543,
       27385.33971967, 27294.88690535, 27178.9836999 , 27042.38263917,
       26900.73322697, 26764.382441  , 26639.08990597, 26534.06782689,
       26464.4256896 , 26445.11500311, 26481.92260352, 26567.91156972,
       26687.45618164, 26823.80072139, 26965.22906795, 27106.55440255,
       27246.52421292, 27385.14303559, 27523.27790203, 27662.82542376,
       27804.36644955])]","[array([14755.73926167, 14746.3385044 , 14683.51452336, 14584.34694241,
       14469.73621467, 14360.80316042, 14279.6939409 , 14242.26488577,
       14247.96392966, 14286.75917981, 14353.08706765, 14448.35792398,
       14571.91392123, 14712.48361609, 14849.5669329 , 14962.50012344,
       15038.94723096, 15077.98852757, 15087.43274406, 15077.59955441,
       15056.04956746, 15027.18404332, 14996.11651706, 14972.11082274,
       14967.74294377])]"
6,0.9433079520175555,167.5,"[array([53747.47246182, 53731.96595342, 53686.20677929, 53621.22743166,
       53540.88738661, 53448.82221741, 53360.65781541, 53303.41682628,
       53297.6430856 , 53341.31421154, 53423.76507103, 53537.57923211,
       53672.0272297 , 53813.65209699, 53953.66013375, 54086.6029206 ,
       54205.6634698 , 54302.18067553, 54368.00010745, 54397.3960144 ,
       54387.65143926, 54338.75942787, 54254.56777832, 54146.62855153,
       54036.90632976, 53960.5044037 , 53956.53588363])]","[array([20855.1916092 , 20996.20869152, 21130.40345523, 21256.35009981,
       21373.04597411, 21480.72042835, 21591.53283875, 21721.09628825,
       21862.80440671, 21997.78885147, 22113.24273695, 22197.96640502,
       22243.31195996, 22251.06653501, 22228.6827741 , 22179.43011615,
       22102.43809668, 21998.54833977, 21872.92551479, 21734.17033189,
       21592.66048624, 21459.50129835, 21345.38345484, 21253.5132591 ,
       21164.00834879, 21044.7626458 , 20902.84708401])]"
7,0.30034858388757735,212.0,"[array([18612.2311255 , 18595.43154036, 18530.90940593, 18432.32672416,
       18310.03113336, 18172.87353305, 18031.16448932, 17890.74855439,
       17749.10209719, 17614.08538016, 17512.45349623, 17468.29318768,
       17486.34999072, 17556.14752489, 17662.23109288, 17790.46978741,
       17929.91652336, 18071.44385276, 18205.0056007 , 18321.07213784,
       18421.81155361, 18527.92572973, 18657.01706357, 18798.77904719,
       18924.3428654 , 19011.15798525, 19052.3502928 , 19050.6682283 ,
       19010.43397808, 18936.03568533, 18836.74442859, 18729.24289809,
       18637.11951124, 18589.37475958, 18606.379885  , 18685.59867405,
       18806.92829111, 18946.96166856, 19087.08718482, 19214.70231855,
       19321.80076664, 19403.49686033, 19457.42080253, 19484.07361359,
       19487.48630687, 19475.0036385 , 19455.39730478, 19435.70493055,
       19418.14574798, 19398.72869582, 19368.72698797, 19318.98317685,
       19245.25299019, 19151.27585068, 19047.34794924, 18947.09347185,
       18865.97785281, 18818.37251742])]","[array([12191.86894506, 12332.92602171, 12459.42376659, 12561.55215214,
       12633.54596752, 12669.80564034, 12670.16297006, 12650.92413093,
       12645.99560649, 12688.76145351, 12787.70499483, 12922.69433735,
       13063.62916852, 13187.34429858, 13281.70320361, 13342.49250003,
       13368.68505809, 13358.7192882 , 13310.92349957, 13229.58910932,
       13129.92044256, 13035.93346211, 12977.73100264, 12980.23995581,
       13046.50036438, 13158.9220821 , 13294.82547583, 13436.77040664,
       13572.85630941, 13693.6124719 , 13794.68909547, 13887.08910022,
       13994.73080255, 14128.10229511, 14268.95570212, 14386.85369897,
       14460.78797312, 14484.58608166, 14461.72551063, 14399.63283338,
       14306.58602381, 14190.64273041, 14059.49585132, 13920.26070169,
       13778.57742455, 13637.43876705, 13497.14200503, 13356.87690847,
       13216.3291276 , 13076.01123695, 12937.5555628 , 12804.89843659,
       12683.91393076, 12577.89796221, 12481.60726596, 12381.51609908,
       12265.39342604, 12131.92213347])]"
8,0.6726200166096793,245.5,"[array([40101.2783986 , 40014.76777963, 39909.34015101, 39791.22661977,
       39667.19546509, 39544.55745357, 39432.44610563, 39341.92534291,
       39281.03476786, 39247.3961598 , 39225.15055115, 39190.23148687,
       39122.90409423, 39019.56602276, 38892.64737954, 38758.09160955,
       38628.90470546, 38524.34765094, 38468.60602084, 38473.10673851,
       38531.30040733, 38628.297696  , 38749.71296088, 38884.58146026,
       39025.26637169, 39166.77626385, 39306.2965224 , 39442.93640081,
       39577.24877688, 39710.18355283, 39841.83107992, 39970.54453096,
       40092.43381997, 40201.41934185, 40290.86853033, 40356.62679424,
       40398.98333488, 40421.49173142, 40427.38171456, 40416.55399974,
       40386.19448055, 40335.72502234, 40272.69273686, 40214.5507109 ,
       40184.63274768, 40202.20202189, 40271.28286079])]","[array([17872.98742165, 17985.18112728, 18079.77440939, 18157.8881322 ,
       18226.15431369, 18296.83727219, 18383.23588005, 18492.09795035,
       18619.9594141 , 18757.53310547, 18897.37515953, 19034.52372244,
       19159.03550381, 19255.88859024, 19318.82680941, 19363.1978044 ,
       19420.89828585, 19516.30215163, 19646.64672888, 19788.48080163,
       19917.9157302 , 20021.4284321 , 20094.65565513, 20138.21505718,
       20154.97684794, 20148.88912294, 20124.65733514, 20087.57016961,
       20042.83922862, 19994.19295447, 19942.15604672, 19883.21254619,
       19811.18895226, 19720.7920787 , 19610.99642556, 19485.55135636,
       19350.4008098 , 19210.58504821, 19069.10363929, 18927.91607564,
       18789.61562542, 18657.34032007, 18530.55040606, 18401.47303413,
       18263.12366475, 18122.54860888, 17998.71693936])]"
9,0.6433909237548866,248.0,"[array([37595.19336124, 37584.69006732, 37546.97347029, 37483.98093745,
       37397.27332324, 37289.28918477, 37165.43498589, 37034.03410033,
       36904.84559398, 36793.09509483, 36721.73625016, 36708.83723527,
       36755.43672326, 36848.73346592, 36971.86172855, 37109.97613406,
       37251.83397513, 37389.37144361, 37516.84507049, 37630.11640582,
       37726.23205944, 37803.26488294, 37860.25675294, 37897.0459934 ,
       37913.91532897, 37911.43876774, 37891.30732089, 37858.47836822,
       37823.46665338, 37802.38812971])]","[array([18329.35940143, 18187.92505215, 18051.22588406, 17924.1860071 ,
       17811.99009211, 17720.11581655, 17651.19832924, 17598.04142747,
       17539.81370661, 17452.76163765, 17330.21222788, 17188.81016886,
       17054.60148308, 16947.48041054, 16876.74824368, 16844.02018804,
       16846.96213062, 16881.66918145, 16943.82486165, 17029.12640045,
       17133.35637961, 17252.37039689, 17382.16720914, 17519.05830594,
       17659.79047987, 17801.4972477 , 17941.77080326, 18079.61030138,
       18216.90889155, 18357.0169591 ])]"
