Cutoff,downstream_distance,time,radius,cutlen,,,
0,360128.3261,15.5,332.0422296,3810.359969,,389.2938634,5479.352763
1,102008.075,16,273.9994469,2858.899566,,,
2,68039.58184,23,456.9353449,5460.085054,,,
3,259733.7317,28.5,405.9101221,4910.014889,,,
4,191164.7546,29.5,281.0122635,6209.554671,,,
5,109309.584,41.5,369.716706,4309.902591,,,
6,210650.9228,42,463.9462776,5209.57363,,,
7,338238.835,43.5,310.0525176,3409.41818,,,
8,7054.6197,44,307.5516818,3710.64786,,,
9,323493.1717,51,298.7573654,3309.454323,,,
10,155205.0641,55,458.9255878,5512.118014,,,
11,353189.9219,58.5,260.5802714,3009.801142,,,
12,175298.1433,59.5,351.6102801,4109.961243,,,
13,186122.7034,66.5,404.5691171,7766.452831,,,
14,408291.3233,67,508.2549359,6510.426265,,,
15,382244.7135,68,337.723747,4010.274987,,,
16,330121.2597,69,388.2211101,4861.000833,,,
17,410267.8117,71.5,446.4202774,5925.171941,,,
18,383058.9261,77,266.711585,2867.555104,,,
19,14965.37795,77.5,800.8824987,13762.95596,,,
20,25540.49718,78.5,455.4677986,7724.841314,,,
21,277427.507,87,454.5096202,6910.632512,,,
22,265197.7929,96,325.624336,3559.0403,,,
23,246989.0484,98.5,391.3938847,4610.364098,,,
24,155268.7755,102.5,315.8912499,3459.690372,,,
25,172283.1213,105.5,420.2969881,5059.819718,,,
26,267796.8207,107.5,603.6479812,7761.123689,,,
27,90595.27311,110.5,366.7497669,4210.143683,,,
28,292583.1392,113.5,494.2698747,6262.400951,,,
29,308914.5104,122,381.6093848,4660.454991,,,
30,148052.2252,124.5,515.2623279,6010.709974,,,
31,110201.9849,125,323.3408983,3359.483026,,,
32,156420.6813,125.5,225.1910166,2310.041546,,,
33,381111.784,126,258.8109209,2758.6952,,,
34,348323.7037,132,268.1760882,3109.576242,,,
35,177964.8663,134,303.5178428,3459.372657,,,
36,363064.6418,139.5,244.6109683,2608.234017,,,
37,92188.38593,143.5,249.486681,10970.80523,,,
38,84941.06975,144,532.2843695,6326.28092,,,
39,93029.47253,148,361.0049049,4178.730227,,,
40,32350.26087,149,287.7060116,3209.333721,,,
41,424849.4717,161,380.2605514,10169.89486,,,
42,134971.8038,161.5,401.6420878,4460.269068,,,
43,319968.9453,162.5,447.1341676,5459.877815,,,
44,120679.9332,165,562.3435297,6959.711875,,,
45,106609.6875,166.5,744.4523035,11413.91749,,,
46,189658.5575,167,441.5251883,5160.182512,,,
47,66897.54826,168,397.3944381,4660.13548,,,
48,279183.4634,177.5,580.6882128,8109.570085,,,
49,197271.3557,178,383.192898,4610.656488,,,
50,225758.7739,179.5,477.1267215,6010.219265,,,
