Cutoff,downstream_distance,time,,
0,212763.2125,1.5,,
1,71350.40116,2.5,,
2,256443.2989,11.5,,
3,124146.4221,28.5,,
4,302330.4305,41,,
5,185549.2598,56.5,,
6,114865.3903,68,,
7,457145.675,70.5,,
8,337370.2687,78.5,,
9,314592.0916,92.5,,
10,445423.8088,108.5,,
11,437195.205,110.5,,
12,141403.9526,112,,
13,113953.3287,114,,
14,14251.2623,120,,
15,408681.5487,120.5,,
16,91818.31275,123,,
17,209523.8365,129,,
18,418618.9909,129.5,,
19,248149.2103,133.5,,
20,123630.2613,134,,
21,308767.3947,138,,
22,75384.55711,142.5,,
23,402349.6073,149,,
24,246170.5252,150.5,,
25,196178.4223,163.5,,
26,97966.02063,167.5,,
27,414648.1277,169,,
28,44748.19326,170.5,,
29,393093.8498,172,,
30,331567.9907,173,,
31,448598.0134,174.5,,
32,233026.4996,177.5,,
33,336598.4757,183,,
34,357339.9142,184,,
35,150821.5848,192,,
36,424554.6487,194,,
37,253231.9242,199,,
38,48460.99517,200.5,,
39,215946.5299,202.5,,
40,432229.4186,223.5,,
41,122302.0343,224.5,,
42,296420.9412,235.5,,
43,400023.7145,236.5,,
44,107207.4743,243,,
45,200365.6058,245.5,,
46,161909.5865,246.5,,
47,422951.7302,248.5,,
48,208100.1334,262.5,,
49,428775.8599,263,,
50,128100.9482,273.5,,
51,129958.7587,277.5,,
52,59677.63237,287.5,,
53,32437.05877,293,,
54,220924.8794,301,,
55,340328.2921,305.5,,
56,128114.5784,306,,
57,82040.02981,309,,
58,290818.4051,309.5,,
59,350809.3513,318.5,,
60,378909.3635,319.5,,
61,186966.4806,320.5,,
62,423557.6238,321.5,,
63,244969.6758,325,,
64,20664.92445,329.5,,
65,54033.2994,333.5,,
66,273801.601,344,,
67,228606.0649,355.5,,
68,162068.7779,364.5,,
69,397137.9235,366.5,,
70,109492.1007,369,,
71,47972.36247,384.5,,
72,317267.9143,386.5,,
73,298642.4656,388,,
74,395785.5926,398.5,,
75,56326.51103,401,,
76,274900.8412,404.5,,
77,188436.1643,405.5,,
78,431602.0071,423.5,,
79,188898.7794,426,,
80,446571.4064,429,,
81,61934.18988,438.5,,
82,323101.7713,445,,
83,111474.9704,452.5,,
84,418822.7918,465.5,,
85,234709.1848,466.5,,
86,132156.2865,474.5,,
87,402557.4207,477.5,,
88,25078.36261,482,,
89,80815.9407,488.5,,
90,283107.0081,489,,
91,183290.8426,495.5,,
92,36995.26815,499,,
93,82571.45565,507.5,,
94,210208.9373,510,,
95,368987.9308,515,,
96,455527.0042,517.5,,
97,276535.3582,520,,
98,315505.7742,528.5,,
99,149826.2763,537,,
100,133652.6973,542,,
101,255022.4427,543.5,,
102,100955.2288,548.5,,
103,285749.7962,552.5,,
104,294069.888,553.5,,
105,101758.7242,555.5,,
106,84382.31583,560,,
107,191557.603,573,,
108,334925.1213,573.5,,
109,364448.1536,575,,
110,279050.5161,586.5,,
111,439247.2375,591.5,,
112,412116.3969,598.5,,
113,424358.0898,607,,
114,77971.26448,611.5,,
115,328972.1247,618,,
116,8911.646622,622.5,,
117,90421.21657,623,,
118,316684.6179,627,,
119,231227.3222,637.5,,
120,121558.0582,638.5,,
121,408348.4704,644,,
122,244428.4039,645.5,,
123,427168.0678,651.5,,
124,359053.9148,653.5,,
125,386795.4157,667,,
126,146275.7418,678.5,,
127,87476.83405,680,,
128,252056.2623,685.5,,
129,160990.6854,686,,
130,11756.9032,695.5,,
131,179198.3456,707,,
132,232477.753,709.5,,
133,269308.2368,713.5,,
134,74755.72883,730,,
135,36152.31356,730.5,,
136,243077.4153,733,,
137,272125.1117,734,,
138,15018.50166,737.5,,
139,238531.9222,738.5,,
140,237465.5024,739.5,,
141,150003.8772,741.5,,
142,267621.9026,742.5,,
143,250403.387,744.5,,
144,86408.01846,746.5,,
145,95405.85734,758.5,,
146,81631.44504,767,,
147,285543.0321,768.5,,
148,52480.653,772.5,,
149,114451.952,780,,
150,163431.0908,791,,
151,100279.2088,791.5,,
152,362650.58,792.5,,
153,363499.8473,799,,
154,23478.89679,804,,
155,42556.19913,819.5,,
156,172532.994,828,,
157,411748.9259,841.5,,
158,70205.00275,846.5,,
159,302305.9133,852,,
160,77985.76734,859.5,,
161,148133.0453,861.5,,
162,126009.3406,863,,
163,169542.8364,867,,
164,52482.64266,867.5,,
165,357357.6241,870,,
166,305604.429,876,,
167,324960.6256,881,,
168,305925.9736,888.5,,
169,256032.4853,892,,
170,164019.1856,903,,
171,84937.68258,908.5,,
172,375721.6539,918.5,,
173,40457.02673,924.5,,
174,190158.9896,934.5,,
175,327930.6119,942,,
176,331634.7976,946.5,,
177,105225.316,954,,
178,186114.3339,957,,
179,204580.3269,969,,
180,36096.31237,970,,
181,360151.6177,994,,
182,345825.0804,999,,
183,164308.7884,1004,,
184,419470.3906,1005,,
185,269051.7532,1008,,
186,234087.3353,1014,,
187,262952.0873,1016.5,,
188,247071.2809,1025.5,,
189,389919.8324,1033.5,,
190,146584.8444,1036.5,,
191,125310.1892,1039.5,,
192,302341.1816,1040,,
193,279234.7382,1041,,
194,195951.2277,1042,,
195,354985.5976,1044,,
196,75287.8588,1050.5,,
197,111090.5089,1063.5,,
198,20636.85573,1066,,
199,350722.1019,1088,,
200,214355.0037,1091.5,,
201,247939.4473,1092,,
202,277848.598,1099,,
203,38715.90746,1108,,
204,62498.59154,1113,,
205,185088.5344,1113.5,,
206,72820.50059,1114.5,,
207,315776.0862,1117,,
208,98337.28583,1120,,
209,375105.7521,1121.5,,
210,90866.70237,1125,,
211,77640.35598,1132.5,,
212,129974.5641,1133,,
213,306821.9076,1142.5,,
214,372617.6685,1153.5,,
215,92721.57053,1169,,
216,238603.6687,1174.5,,
217,222224.7905,1180.5,,
218,334622.0559,1191.5,,
219,204259.8863,1197.5,,
220,265082.6106,1203.5,,
221,41320.04342,1204,,
222,276006.9839,1206,,
223,236731.1687,1216,,
224,306672.7577,1231.5,,
225,164687.7908,1232,,
226,249335.8652,1234,,
227,150598.8538,1236.5,,
228,181361.7203,1248,,
229,33746.76159,1248.5,,
230,347305.9596,1259.5,,
231,352596.1531,1261,,
232,372183.3019,1266.5,,
233,137418.1378,1275.5,,
234,111624.0482,1279.5,,
235,4696.880125,1283,,
236,337271.4047,1291,,
237,235944.6916,1297,,
238,221805.0879,1301,,
239,218796.9285,1316.5,,
240,16967.3976,1321,,
241,167712.0133,1330.5,,
242,351849.6227,1331,,
243,71410.13218,1335,,
244,115733.2712,1337.5,,
245,62343.34379,1340,,
246,225644.382,1341.5,,
247,344442.5021,1343,,
248,179529.8545,1355,,
249,336417.3725,1357.5,,
250,374467.2743,1358,,
251,99185.99079,1363,,
252,118217.8743,1366.5,,
253,347186.3543,1372,,
254,294033.5897,1378,,
255,312931.4292,1392.5,,
256,336854.919,1401,,
257,36848.97298,1402,,
258,180615.6821,1403,,
259,214230.7573,1411,,
260,211444.7211,1415,,
261,224500.7037,1423.5,,
262,211233.233,1437,,
263,345680.8005,1441,,
264,277528.7148,1466.5,,
265,10863.42106,1478,,
266,102820.39,1480,,
267,407988.6079,1482.5,,
268,371503.099,1484.5,,
269,387055.7426,1485,,
270,129528.5107,1486,,
271,283851.7282,1486.5,,
272,167924.8015,1487.5,,
273,207845.5206,1494,,
274,122020.906,1498,,
275,268615.3068,1506.5,,
276,121159.3723,1508,,
277,109276.9246,1512.5,,
278,67757.90494,1516,,
279,294711.6874,1516.5,,
280,254262.8006,1531,,
281,168606.813,1537,,
282,362277.4009,1562,,
283,294002.4626,1567.5,,
284,39265.14564,1571.5,,
285,13067.8803,1574,,
286,249912.0322,1591.5,,
287,75200.60712,1602,,
288,310514.785,1608.5,,
289,238359.0389,1620,,
290,100097.9232,1621.5,,
291,430725.2349,1635,,
292,208469.0092,1638,,
293,160284.9547,1642.5,,
294,165351.1267,1643.5,,
295,340297.6078,1646.5,,
296,347956.2303,1649.5,,
297,242448.2927,1653.5,,
298,255076.7669,1663.5,,
299,210725.6193,1667,,
300,389976.6157,1668.5,,
301,85779.38521,1678.5,,
302,302448.6325,1682.5,,
303,338249.0514,1685,,
304,29343.00417,1689,,
305,388393.0755,1693,,
306,380363.3067,1695,,
307,72728.77877,1701,,
308,189103.9542,1702,,
309,233982.0169,1713.5,,
310,59702.57165,1721.5,,
311,421260.5466,1727.5,,
312,123809.3152,1730,,
313,85698.63568,1749,,
314,159919.7586,1752.5,,
315,163978.9958,1755,,
316,299859.2004,1758.5,,
317,256246.8113,1759,,
318,229069.2644,1762,,
319,322089.8234,1764.5,,
320,374253.0154,1766,,
321,195963.455,1767.5,,
322,7558.827879,1768.5,,
323,11416.93343,1771,,
324,289187.4774,1775,,
325,199386.0102,1776,,
326,155269.4546,1777.5,,
327,135296.7452,1787.5,,
328,120367.7351,1789,,
