Cutoff,downstream_distance,time,radius,cutlen
0,79861.40237635227,1.5,378.40294857696415,4762.751627864567
1,87590.07813268826,2.0,534.3729489320383,6562.110718809899
2,148350.16106628618,4.5,338.58744881746776,3911.9637228063916
3,305851.81833258236,7.0,404.92539328801627,4310.64986314325
4,341899.8859182344,9.5,265.17782784742417,3061.3397667921736
5,176605.78418493218,10.5,321.2887905853008,3511.1645453410156
6,148247.066571007,17.0,396.0988550177466,6314.9134245891
7,310019.47114627395,17.5,402.9355711638954,4463.966239806367
8,46283.09690709636,19.5,278.36417941154605,2960.605656981227
9,31607.719472021032,21.5,289.1437930614579,3211.3787253267947
10,132800.0748159848,24.0,592.5574949936685,7610.84911070173
11,298935.1857377283,29.5,255.31658185405354,2709.950529459267
12,220793.6196520922,30.0,334.91097994343585,3963.1217656386766
13,53985.27378788466,32.0,575.9676501158085,7712.328706101249
14,358500.98008449713,36.0,270.0274333679715,2911.118879774392
15,257444.90898258443,39.5,291.18089838069335,3161.208175778731
16,276880.4192506322,41.0,330.38347761222735,3861.9059040826205
17,312675.0023679647,43.0,700.0841103123732,11363.62844926321
18,213142.23130402545,53.5,368.7050511998032,7916.249124481149
19,199703.1273193034,54.0,543.1290218274297,6463.886950048208
20,236429.6267091027,55.5,576.8946020873468,8411.535381279296
21,85776.68140825766,64.0,291.57139270102635,3160.6430628954977
22,72890.90343616405,66.0,292.01859621344306,3110.7656200516103
23,197157.1675542711,67.0,340.8772070597814,4464.6396917455595
24,306212.0898967346,67.5,382.9056114941754,3811.1137060723427
25,156338.86422056702,68.0,311.1360291047269,3262.718804356311
26,282236.9883127077,68.5,378.34067239154507,4061.2758139208795
27,77389.61182277871,72.5,370.5179063692017,4162.001745017683
28,266677.69271469314,75.5,557.0154893915926,6811.869987840783
29,67019.7006378513,79.5,289.7755196527538,3110.559137135348
30,103455.30329684232,80.0,332.24486723943727,4012.6916633859623
31,388729.3963206263,80.5,664.6983880980829,7811.951173623281
32,111855.77151442476,81.0,265.6669933464788,9420.016397339334
33,136144.86724647466,83.5,185.21093097620354,11863.287869859905
34,6055.22245153499,85.5,589.9133508087023,7412.282030694116
35,227959.76370633405,90.0,410.0592839991563,5915.49768239836
36,149328.2067544927,91.5,327.3456028177817,3460.879220420215
37,90625.87471558955,92.5,530.7379339800134,6962.146601396876
38,251989.15485468152,103.0,389.79206456683477,5162.893369848067
39,114967.46965887035,104.5,360.11892238834463,4262.6424845063775
40,331873.6677095043,113.0,261.4509706482476,9269.88257710228
41,256965.5564878569,115.5,287.3510741663288,3010.380492340573
42,363082.15692344087,116.0,399.16215294300935,5962.0967814262285
43,349626.31839567254,121.0,569.7845511489579,7461.998695550773
44,187140.75595169226,123.5,273.8882647039929,2910.9235730130627
45,322894.50695557706,135.5,334.96716846965705,10020.201058433151
46,7793.925281347889,139.0,357.8924120106526,23140.66646116282
47,12794.371463833912,143.0,338.66863066853506,3761.5073402439452
48,29231.886679579224,143.5,304.2761734090292,3311.9298045807063
49,189912.6606646732,144.5,445.68315641934964,5412.295994214933
50,291694.9008888667,152.0,289.6868193220619,3211.130356589334
51,324815.1504184331,152.5,387.37967678918386,4462.15322237207
52,176509.70024054733,156.5,249.91433045690107,2710.45065732037
53,208669.69263463494,161.0,289.83518302843703,3462.3975553654004
54,292510.7155991817,162.0,196.4565752755558,8621.102725635352
55,70913.74874118481,169.0,349.97938337470623,3861.164521505343
56,304576.917633912,173.5,500.1877249850173,5010.738219792116
57,217700.7044686306,174.0,456.3418646315911,5063.476236016686
58,226477.5377508516,176.0,583.7576953306948,6862.606420306296
59,275300.01528195693,179.5,307.8013203394544,3561.920544466407
60,289175.49311172846,182.5,350.8219793280968,3911.657552426401
61,97982.1830846068,186.0,326.29439761701514,3611.291305626111
62,192973.7384461599,186.5,355.8393438520032,6815.675925010515
63,71975.49597441618,195.0,284.94729944027443,3361.9665543408496
64,363744.9797635918,202.0,542.4944094571024,6360.991047145065
65,144575.87187428647,208.5,366.38388920117654,3910.995524851177
66,68869.596347259,210.5,385.9402513636957,4411.50780266853
67,123221.56828613671,215.0,289.35040653982816,3311.707093705639
68,51483.185956601505,221.5,469.04858082353184,5861.473761609131
69,207824.2400415341,226.5,309.6744728556036,3812.3408340092615
70,289745.8885957662,232.0,333.6730608116146,3762.9992850408157
71,365169.11046815076,237.0,363.2011007854314,4262.155329519843
72,291499.49701361463,244.5,436.5032037642602,5311.374605200062
73,177150.59039577254,248.0,439.5854636751505,4711.159406966108
74,360504.56255516584,248.5,360.36682541399097,3961.3913909617554
75,378205.24306939077,250.0,480.18233743392267,5160.243819662278
76,146944.45584107496,251.0,529.569253448885,6361.7420988659005
77,42876.95852065095,252.0,301.2301083112978,3512.0824367328964
78,406294.10407567705,263.5,421.4712300647013,5263.111772561153
79,274993.95043433603,265.5,409.6619132115498,4512.435657310063
80,67978.7627428312,269.5,389.1995929938428,5065.09835142347
81,61112.10034219105,270.5,407.34941898649436,5012.056260538619
82,256289.3652204522,272.0,496.6892591860418,6661.573294242233
83,94378.81469906891,275.5,544.8323499031093,6711.441049952164
84,180084.1246629917,277.0,568.310281840638,7411.747674462607
