Cutoff,downstream_distance,time,x,y
0,158266.40386247923,0.5,"[array([54340.53855297, 54326.60024811, 54305.59891743, 54278.29625872,
       54245.59151914, 54208.44650854, 54167.81992496, 54124.61603588,
       54079.65172562, 54033.6483931 , 53987.26027077, 53941.15287168,
       53896.1270143 , 53853.22609959, 53813.69928417, 53778.73023255,
       53749.01594324, 53724.41310456, 53703.80201297, 53685.15917109,
       53665.7778975 , 53642.69061706, 53613.41107659, 53576.8018482 ,
       53533.49150992, 53485.50523882, 53435.41959587, 53385.59603947,
       53337.76550536, 53292.91741171, 53251.34313761, 53212.71804813,
       53176.16786712, 53140.32372823, 53103.42925216, 53063.63137879,
       53019.63101926, 52971.57981419, 52921.52807566, 52872.86550575,
       52829.14399233, 52793.12106874, 52766.41046313, 52749.59139987,
       52742.49602318, 52744.49600189, 52754.72254978, 52772.2144099 ,
       52796.00884574, 52825.19302807, 52858.92980067, 52896.46767988,
       52937.14160105, 52980.36855649, 53025.64069058, 53072.51739829,
       53120.6173273 , 53169.61078059, 53219.21276818, 53269.17680658,
       53319.28947653, 53369.36570078, 53419.24467845, 53468.78640238,
       53517.86868475, 53566.38461954, 53614.24041729, 53661.35355484,
       53707.65119108, 53753.06880763, 53797.54904042, 53841.04067537,
       53883.49778711, 53924.87900482, 53965.14689408, 54004.26744666,
       54042.20967377, 54078.9452999 , 54114.44855642, 54148.6960751 ,
       54181.66688249, 54213.34249663, 54243.70712773, 54272.74798489,
       54300.45569096, 54326.82480819, 54351.85447767, 54375.54917665,
       54397.91959836, 54418.9836609 , 54438.7676525 , 54457.30752226,
       54474.65032597, 54490.85583616, 54505.99832328, 54520.1685084 ,
       54533.47567633])]","[array([-2782.7252432 , -2830.98413737, -2876.61498467, -2918.77415217,
       -2956.88450991, -2990.66307576, -3020.13418397, -3045.63685164,
       -3067.83243951, -3087.71236109, -3106.59367088, -3126.07251951,
       -3147.88270929, -3173.60708376, -3204.28431351, -3240.1098803 ,
       -3280.44025944, -3324.09994445, -3369.7774205 , -3416.26509656,
       -3462.40520483, -3506.76465585, -3547.29330112, -3581.39532343,
       -3606.57266105, -3621.20435031, -3624.90334938, -3618.35740407,
       -3602.9291146 , -3580.27853053, -3552.1159525 , -3520.08941491,
       -3485.78414301, -3450.81991318, -3417.04847347, -3386.82801564,
       -3363.17347834, -3349.39099858, -3348.10648874, -3360.3008384 ,
       -3385.08036517, -3420.20946509, -3462.88765571, -3510.3517238 ,
       -3560.19771593, -3610.48967701, -3659.74968236, -3706.89686603,
       -3751.17290485, -3792.07131902, -3829.2770401 , -3862.61748756,
       -3892.02421204, -3917.50344398, -3939.1138163 , -3956.94971506,
       -3971.12897001, -3981.78385151, -3989.05456292, -3993.08460078,
       -3994.01750228, -3991.99461484, -3987.153612  , -3979.62754928,
       -3969.54430629, -3957.02630203, -3942.1904007 , -3925.147949  ,
       -3906.00490296, -3884.86201563, -3861.8150663 , -3836.95511885,
       -3810.36880165, -3782.13860411, -3752.34318732, -3721.05770631,
       -3688.35414222, -3654.30164151, -3618.96685923, -3582.4143018 ,
       -3544.70666428, -3505.9051559 , -3466.06980682, -3425.2597488 ,
       -3383.53346173, -3340.94897857, -3297.56404101, -3253.43619964,
       -3208.62285333, -3163.18122502, -3117.16827376, -3070.64054733,
       -3023.65398537, -2976.2636909 , -2928.52369945, -2880.4867897 ,
       -2832.2043995 ])]"
1,141803.74685394738,9.5,"[array([45636.59963216, 45669.90245821, 45699.72014787, 45726.00139073,
       45748.75094871, 45768.02819736, 45783.95048336, 45796.7027392 ,
       45806.55512436, 45813.89066796, 45819.24470925, 45823.35683997,
       45827.23233376, 45832.20065907, 45839.93894429, 45852.39198711,
       45871.49015834, 45898.63480698, 45934.13399256, 45976.93044836,
       46024.81669631, 46074.99559664, 46124.67176023, 46171.45428437,
       46213.5301507 , 46249.67148881, 46279.15679642, 46301.66391029,
       46317.16609258, 46325.84423178, 46328.01814011, 46324.09542565,
       46314.53489072, 46299.82126332, 46280.44846018, 46256.90910718,
       46229.68854399, 46199.2619684 , 46166.09374787, 46130.63828807,
       46093.34226109, 46054.64849423, 46015.00233961, 45974.86159441,
       45934.71040237, 45895.07522152, 45856.53664514, 45819.72634336,
       45785.29798893])]","[array([-2974.44080991, -2936.93264318, -2896.60608631, -2853.89750503,
       -2809.21419367, -2762.93301685, -2715.39935018, -2666.92538463,
       -2617.78691506, -2568.21819166, -2518.4059158 , -2468.48710986,
       -2418.56273324, -2368.74987538, -2319.30493348, -2270.83895202,
       -2224.57795854, -2182.49587327, -2147.10414187, -2120.88472421,
       -2105.65434364, -2102.19795247, -2110.27469762, -2128.86940386,
       -2156.51096501, -2191.54461141, -2232.32075585, -2277.30643891,
       -2325.13990839, -2374.64871826, -2424.8468557 , -2474.9213058 ,
       -2524.21454059, -2572.20677364, -2618.50016909, -2662.80621411,
       -2704.93689545, -2744.7999686 , -2782.39831471, -2817.83300987,
       -2851.30914774, -2883.1425365 , -2913.76405729, -2943.7168083 ,
       -2973.63962047, -3004.23024483, -3036.18439215, -3070.11468038,
       -3106.46545078])]"
2,9312.221420554955,10.5,"[array([5114.69586489, 5093.55350268, 5066.81970833, 5035.26309985,
       4999.60411193, 4960.50609195, 4918.57222429, 4874.34581787,
       4828.31212713, 4780.90027521, 4732.48415348, 4683.38158584,
       4633.85196314, 4584.09500742, 4534.25849288, 4484.47182751,
       4434.93429664, 4386.0901666 , 4338.88657922, 4294.99777142,
       4256.78220739, 4226.8339169 , 4207.31106755, 4199.41939025,
       4203.2754942 , 4218.09435927, 4242.51331943, 4274.90069298,
       4313.58307347, 4356.98563312, 4403.70462046, 4452.53486543,
       4502.47064925, 4552.69250012, 4602.54772226, 4651.52915753,
       4699.25456185, 4745.44769399, 4789.9214666 , 4832.56309503,
       4873.32096988, 4912.19289703, 4949.21534838, 4984.45342402,
       5017.9913221 , 5049.92323483, 5080.34471895, 5109.34471125,
       5136.99845356, 5163.36164428, 5188.46613609, 5212.3174564 ,
       5234.89434963, 5256.15044551, 5276.01806172, 5294.41406092])]","[array([ -640.1103384 ,  -685.69923917,  -728.23048264,  -767.29634247,
        -802.63581795,  -834.10632593,  -861.66210862,  -885.3394568 ,
        -905.24893688,  -921.57512481,  -934.58483697,  -944.64543137,
        -952.25490239,  -958.08531886,  -963.03965523,  -968.31470774,
        -975.44867735,  -986.30538955, -1002.89896495, -1026.96437985,
       -1059.35399767, -1099.58503124, -1145.85284283, -1195.50311476,
       -1245.66776106, -1293.7706267 , -1337.79061715, -1376.31991008,
       -1408.50322962, -1433.92995947, -1452.52144739, -1464.43263783,
       -1469.97367728, -1469.55075157, -1463.62304993, -1452.67232146,
       -1437.18184885, -1417.62225882, -1394.44218439, -1368.06230541,
       -1338.8717046 , -1307.22579433, -1273.44530933, -1237.81603748,
       -1200.58908893, -1161.98159397, -1122.17778488, -1081.33046387,
       -1039.5628964 ,  -996.97119619,  -953.62728179,  -909.5824741 ,
        -864.87176078,  -819.51867119,  -773.54058857,  -726.95419158])]"
3,23978.84311963362,18.0,"[array([8430.97370285, 8461.48088925, 8485.85112105, 8504.40776503,
       8517.67915012, 8526.36115063, 8531.32267312, 8533.65451518,
       8534.76094844, 8536.48693933, 8541.24705044, 8551.9871999 ,
       8571.62298549, 8601.85563396, 8642.08602685, 8689.40182489,
       8739.66475114, 8788.80911464, 8833.63081063, 8871.99615256,
       8902.71845403, 8925.32585075, 8939.83621172, 8946.57868243,
       8946.06533326, 8938.90423643, 8925.74343854, 8907.23691734,
       8884.02593469, 8856.73130072, 8825.95377388, 8792.28120996,
       8756.30252107, 8718.6307463 , 8679.94121574, 8641.03682149,
       8602.96070378, 8567.17270173])]","[array([1163.3327895 , 1123.30172629, 1079.30455945, 1032.59421269,
        984.15112407,  934.71214557,  884.79555038,  834.72196789,
        784.64420247,  734.62523203,  684.84435934,  636.03328461,
        590.07170206,  550.20765103,  520.30215548,  503.41633361,
        500.81449203,  511.93948928,  535.01448469,  567.7189617 ,
        607.67018512,  652.6867269 ,  700.89757284,  750.76296494,
        801.052488  ,  850.80672852,  899.29633037,  945.98522936,
        990.50131675, 1032.6163218 , 1072.23644019, 1109.40556531,
       1144.32337932, 1177.38033121, 1209.20852967, 1240.73772125,
       1273.22473924, 1308.18461491])]"
4,193195.63164977418,31.0,"[array([62289.81632265, 62339.72116608, 62389.96578142, 62439.67994077,
       62488.21350206, 62535.09884556, 62580.01615525, 62622.76329078,
       62663.23061698, 62701.38050007, 62737.2309154 , 62770.8425529 ,
       62802.30884667, 62831.74843825, 62859.29967847, 62885.11686623,
       62909.36800639, 62932.23393842, 62953.90873847, 62974.60132345,
       62994.53817729, 63013.96706176, 63033.16144881, 63052.42519501,
       63072.09665351, 63092.55097942, 63114.19886925, 63137.47949788,
       63162.84521254, 63190.73597631, 63221.54303084, 63255.56396289,
       63292.95491369, 63333.68883506, 63377.5297437 , 63424.03062255,
       63472.55728519, 63522.33415197, 63572.50305398, 63622.18451492,
       63670.53243288, 63716.77641675, 63760.24967013, 63800.40317693,
       63836.80862732, 63869.15314201, 63897.22874119, 63920.91901065,
       63940.18480063, 63955.05020766, 63965.58960661, 63971.91613778,
       63974.17180132, 63972.51914811, 63967.13445972, 63958.20225984,
       63945.91098088, 63930.44960925, 63912.00514435, 63890.76072305,
       63866.89428056, 63840.57763742, 63811.97592049, 63781.24724143,
       63748.54257032, 63714.00575419, 63677.77364   , 63639.97627024,
       63600.73712601, 63560.17339825, 63518.39627215, 63475.5112135 ,
       63431.61824842, 63386.81223038, 63341.18308988, 63294.81606367,
       63247.79190099, 63200.18704537, 63152.0737905 , 63103.52040915,
       63054.59125401, 63005.34682916, 62955.84383062, 62906.13515402,
       62856.26986689, 62806.29314245, 62756.24615133, 62706.16590703,
       62656.085061  , 62606.03164364, 62556.02874914, 62506.09416602,
       62456.23996107, 62406.47203574, 62356.78969048, 62307.18525779,
       62257.64389973])]","[array([1194.96044882, 1188.90316568, 1189.78138674, 1196.98420326,
       1209.86939593, 1227.80204018, 1250.1779239 , 1276.43652818,
       1306.06707018, 1338.61007757, 1373.6561878 , 1410.84330526,
       1449.85285697, 1490.40561672, 1532.25738266, 1575.1946669 ,
       1619.03046695, 1663.60012339, 1708.7572134 , 1754.36937691,
       1800.31391217, 1846.47290543, 1892.7275729 , 1938.95140002,
       1985.00159049, 2030.70834253, 2075.86165284, 2120.19584758,
       2163.37298777, 2204.96770986, 2244.4576747 , 2281.22492464,
       2314.57309722, 2343.7628378 , 2368.06309522, 2386.81084116,
       2399.46843938, 2405.66806326, 2405.23612086, 2398.19588128,
       2384.75124674, 2365.25746634, 2340.18527899, 2310.08408011,
       2275.54806301, 2237.18757456, 2195.60652891, 2151.38576732,
       2105.07170246, 2057.16934366, 2008.13875931, 1958.39410711,
       1908.30448975, 1858.19603593, 1808.35474072, 1759.02971684,
       1710.43660517, 1662.76096916, 1616.16155672, 1570.7733573 ,
       1526.71041349, 1484.06836931, 1442.92675325, 1403.35100391,
       1365.39425294, 1329.09888361, 1294.4978848 , 1261.61602082,
       1230.47083676, 1201.07351793, 1173.42962065, 1147.53968959,
       1123.3997756 , 1101.00186581, 1080.33423616, 1061.381735  ,
       1044.12600465, 1028.54564604, 1014.61633059, 1002.31086117,
        991.59918307,  982.4483438 ,  974.8223989 ,  968.68225891,
        963.98547043,  960.68592165,  958.73346007,  958.07340681,
        958.64594878,  960.38538634,  963.21921047,  967.0669807 ,
        971.83897214,  977.43455998,  983.74031172,  990.62776442,
        997.95087892])]"
5,82984.05558305928,32.0,"[array([27280.68749106, 27281.92348597, 27280.08828533, 27275.29487259,
       27267.66036083, 27257.30615092, 27244.35874215, 27228.95124318,
       27211.22566857, 27191.33614742, 27169.45321539, 27145.76941685,
       27120.50651953, 27093.92475289, 27066.33463823, 27038.11216197,
       27009.71813557, 26981.72223029, 26954.83062513, 26929.91233454,
       26908.01235941, 26890.33170723, 26878.15207414, 26872.69644381,
       26874.94760728, 26885.47763217, 26904.34685665, 26931.10298558,
       26964.86917404, 27004.48198289, 27048.63659906, 27096.00995193,
       27145.34927634, 27195.52619011, 27245.56268944, 27294.63716147,
       27342.07772889, 27387.34855959, 27430.03305485, 27469.81641685,
       27506.46906177, 27539.83164314, 27569.80200259, 27596.32409796,
       27619.37881161, 27638.97647235, 27655.15090349, 27667.95481716,
       27677.45640107, 27683.73697952, 27686.88967382, 27687.0190355 ,
       27684.2416784 , 27678.68799338, 27670.50509064, 27659.86117976,
       27646.95166654, 27632.00731709, 27615.3049153 , 27597.18091129,
       27578.04859186, 27558.41917394, 27538.92659399, 27520.35393817,
       27503.65535081, 27489.96014929, 27480.53778254])]","[array([-2013.96859416, -2064.07016669, -2114.15042705, -2164.03184935,
       -2213.55561332, -2262.58064782, -2310.98330464, -2358.65782236,
       -2405.51778717, -2451.49884828, -2496.56298815, -2540.70465311,
       -2583.95897095, -2626.41203553, -2668.21269837, -2709.58429955,
       -2750.83310568, -2792.34781171, -2834.58161445, -2878.00635078,
       -2923.02991043, -2969.87788276, -3018.46036813, -3068.2679176 ,
       -3118.34790561, -3167.38863181, -3213.89204048, -3256.37845309,
       -3293.56220929, -3324.46156968, -3348.43775921, -3365.17908037,
       -3374.65266501, -3377.0434741 , -3372.6937026 , -3362.04962997,
       -3345.61859079, -3323.93615541, -3297.5423408 , -3266.96521964,
       -3232.71028391, -3195.25410951, -3155.04112584, -3112.48254926,
       -3067.95676261, -3021.81060463, -2974.36117408, -2925.89785767,
       -2876.6843636 , -2826.9605892 , -2776.9441738 , -2726.83159089,
       -2676.7986161 , -2626.9999744 , -2577.56792333, -2528.60948187,
       -2480.20198952, -2432.38672351, -2385.16049615, -2338.4656328 ,
       -2292.1796868 , -2246.10790622, -2199.98396779, -2153.48756461,
       -2106.28975891, -2058.1354265 , -2008.9617016 ])]"
6,92883.11339043961,49.0,"[array([31802.2163063 , 31834.35412552, 31862.63446981, 31887.01628255,
       31907.52374747, 31924.23752331, 31937.28889739, 31946.85736139,
       31953.17213528, 31956.51825389, 31957.24793981, 31955.79804155,
       31952.71417347, 31948.68153045, 31944.56045962, 31941.42041177,
       31940.55694485, 31943.46237124, 31951.708983  , 31966.7176141 ,
       31989.44513346, 32020.10519694, 32058.05744193, 32101.91988903,
       32149.84184199, 32199.81636406, 32249.93503546, 32298.54604957,
       32344.32259223, 32386.2679454 , 32423.68454039, 32456.12730673,
       32483.35395276, 32505.27887802, 32521.93359071, 32533.43432195,
       32539.95642529, 32541.71468288, 32538.94851808, 32531.91116307,
       32520.86195241, 32506.06105724, 32487.76611572, 32466.23034194,
       32441.70180499, 32414.42366195, 32384.63520623, 32352.57365884,
       32318.47669349, 32282.58576044, 32245.15038751, 32206.43384263,
       32166.72092329, 32126.32929744, 32085.62679836, 32045.05812722,
       32005.18455254, 31966.7371149 , 31930.67414533])]","[array([-1243.397346  , -1204.88106477, -1163.45720526, -1119.63252568,
       -1073.87357109, -1026.60352974,  -978.20059744,  -928.99691284,
        -879.27721612,  -829.27650982,  -779.17626487,  -729.09931431,
        -679.10484929,  -629.18733826,  -579.28712397,  -529.32554007,
        -479.2809124 ,  -429.31653358,  -379.94647224,  -332.17762182,
        -287.52849928,  -247.85559753,  -215.02548538,  -190.56867348,
        -175.45033413,  -170.00870564,  -174.02780985,  -186.87774337,
        -207.66562536,  -235.3650242 ,  -268.91270038,  -307.27365807,
        -349.4804983 ,  -394.65398101,  -442.01083156,  -490.86344652,
        -540.61483689,  -590.75108543,  -640.83280942,  -690.48657015,
        -739.39680183,  -787.29859695,  -833.97154606,  -879.23476129,
        -922.94319628,  -964.98540065, -1005.28290609, -1043.79152714,
       -1080.50496188, -1115.46117344, -1148.75207853, -1180.53697822,
       -1211.05978911, -1240.66922068, -1269.83922661, -1299.18387584,
       -1329.4559528 , -1361.51278587, -1396.22936088])]"
7,54360.098484607595,50.0,"[array([16402.51738531, 16355.01236183, 16305.93726226, 16256.00885437,
       16205.81641202, 16155.83447031, 16106.43327791, 16057.88530755,
       16010.36635459, 15963.94979375, 15918.59297482, 15874.11632776,
       15830.17948028, 15786.26756459, 15741.71665517, 15695.82499189,
       15648.10389995, 15598.66919159, 15548.60877739, 15500.0295163 ,
       15455.64143429, 15418.08719187, 15389.38047862, 15370.65883702,
       15362.22241155, 15363.72362796, 15374.38927908, 15393.21189674,
       15419.09092093, 15450.92648758, 15487.67626783, 15528.38628666,
       15572.20463578, 15618.38459101, 15666.281603  , 15715.3471014 ,
       15765.12097812, 15815.22388068, 15865.34995133, 15915.26030863,
       15964.77733142, 16013.7796295 , 16062.19745029, 16110.00816683,
       16157.23142429, 16203.92350619, 16250.17054317, 16296.08035023,
       16341.77295299, 16387.37022499, 16432.98543383, 16478.71376746])]","[array([-3411.64815841, -3428.00402738, -3438.68608061, -3443.97667473,
       -3444.21263159, -3439.76655506, -3431.03655226, -3418.4433523 ,
       -3402.43445301, -3383.49574928, -3362.17181909, -3339.09697763,
       -3315.04098583, -3290.97342309, -3268.14693185, -3248.18691404,
       -3233.13182139, -3225.29940098, -3226.86971895, -3239.27626109,
       -3262.72533483, -3296.12786715, -3337.43737619, -3384.15779171,
       -3433.78879003, -3484.10765365, -3533.29540262, -3579.95703708,
       -3623.08478082, -3661.99813756, -3696.28004558, -3725.71845271,
       -3750.25684433, -3769.95427139, -3784.95407059, -3795.45997845,
       -3801.71827066, -3804.0046698 , -3802.61493859, -3797.85825397,
       -3790.05261627, -3779.52167758, -3766.59247332, -3751.59361181,
       -3734.85352146, -3716.69837825, -3697.44934587, -3677.41877302,
       -3656.90503395, -3636.18580477, -3615.50977419, -3595.08710427])]"
8,225746.8221382311,51.5,"[array([71860.40482934, 71900.87560612, 71940.09081428, 71978.04391402,
       72014.73500886, 72050.16945282, 72084.35663147, 72117.3089089 ,
       72149.04073041, 72179.56786965, 72208.90680878, 72237.07424062,
       72264.08668267, 72289.96019421, 72314.71018908, 72338.35133863,
       72360.89756147, 72382.36209869, 72402.75767586, 72422.09675607,
       72440.39189097, 72457.65618058, 72473.90385614, 72489.15100403,
       72503.41645335, 72516.72285332, 72529.09797065, 72540.57624001,
       72551.20060198, 72561.02466189, 72570.11519804, 72578.55503675,
       72586.44629159, 72593.91393227, 72601.1095978 , 72608.21549465,
       72615.44811489, 72623.06136589, 72631.3485205 , 72640.64218362,
       72651.31126216, 72663.75378732, 72678.38448645, 72695.61637726,
       72715.83648206, 72739.37703509, 72766.48506146, 72797.294478  ,
       72831.80533333, 72869.87407684, 72911.21687877, 72955.42556388,
       73001.99345855, 73050.34704362, 73099.87900776, 73149.97894477,
       73200.05912481, 73249.57406446, 73298.03371726, 73345.0108668 ,
       73390.14372009, 73433.13483916, 73473.74750275, 73511.80044221,
       73547.16170734, 73579.74222919, 73609.4894793 , 73636.38148702,
       73660.42137028, 73681.63245643, 73700.05401499, 73715.73758767,
       73728.74387814, 73739.14015181, 73746.99809017, 73752.39204354,
       73755.397628  , 73756.09061656, 73754.54607899, 73750.83773018,
       73745.03745168, 73737.21495617, 73727.43756864, 73715.77010241,
       73702.2748113 , 73687.01140247, 73670.03709697, 73651.40672743,
       73631.17286402, 73609.38596158, 73586.09452214, 73561.3452681 ,
       73535.1833224 , 73507.6523928 , 73478.79495797, 73448.65245379,
       73417.26545885, 73384.67387813, 73350.91712495, 73316.03430077,
       73280.06437329, 73243.04635314, 73205.01946949, 73166.0233449 ,
       73126.09816946, 73085.28487355, 73043.62529801, 73001.16235915,
       72957.94020491, 72914.00435659, 72869.401829  , 72824.1812208 ,
       72778.39276637, 72732.08834297, 72685.32143351, 72638.14705872,
       72590.62171743, 72542.80341452, 72494.75191851, 72446.52948012,
       72398.20235922, 72349.84364188, 72301.53795378, 72253.38873146,
       72205.5286025 , 72158.13301555, 72111.43642451, 72065.74903682,
       72021.47059163, 71979.09639543])]","[array([-3514.54108802, -3485.00572028, -3453.82493926, -3421.1217402 ,
       -3387.01052326, -3351.59728964, -3314.97995164, -3277.24872498,
       -3238.48657737, -3198.76971284, -3158.16807537, -3116.7458594 ,
       -3074.56201739, -3031.67075747, -2988.12202576, -2943.96196978,
       -2899.23338016, -2853.97610883, -2808.22746238, -2762.02256915,
       -2715.39471886, -2668.37567317, -2620.99594491, -2573.28504327,
       -2525.27168154, -2476.98394353, -2428.44940504, -2379.69520817,
       -2330.74808958, -2281.63437058, -2232.37992902, -2183.01019176,
       -2133.55021594, -2084.02496871, -2034.45997084, -1984.88253845,
       -1935.32393274, -1885.82279457, -1836.43026959, -1787.21717552,
       -1738.2833659 , -1689.76904529, -1641.86716305, -1594.83521183,
       -1549.00397026, -1504.7802781 , -1462.64118721, -1423.11801619,
       -1386.7708213 , -1354.15603371, -1325.79172904, -1302.12556654,
       -1283.50970299, -1270.18530544, -1262.27729436, -1259.79824447,
       -1262.65929812, -1270.68555725, -1283.6335671 , -1301.20896409,
       -1323.0829303 , -1348.90663849, -1378.3233127 , -1410.97784862,
       -1446.52414326, -1484.63039832, -1524.98270955, -1567.28725924,
       -1611.27140723, -1656.68394116, -1703.29470661, -1750.89379809,
       -1799.29045592, -1848.31178157, -1897.80135772, -1947.61783689,
       -1997.63354506, -2047.73313246, -2097.81229327, -2147.77656741,
       -2197.54023174, -2247.02528345, -2296.1605151 , -2344.88067885,
       -2393.12573566, -2440.84018464, -2487.97246715, -2534.47444014,
       -2580.30091325, -2625.4092446 , -2669.7589903 , -2713.31160337,
       -2756.03017808, -2797.87923646, -2838.82455404, -2878.83302292,
       -2917.87255061, -2955.91199442, -2992.92113167, -3028.87066752,
       -3063.73228364, -3097.47873238, -3130.08398339, -3161.52343205,
       -3191.77418192, -3220.81541695, -3248.62888332, -3275.19950536,
       -3300.51616531, -3324.57268241, -3347.36903304, -3368.91285932,
       -3389.22131913, -3408.32333382, -3426.26229039, -3443.09924937,
       -3458.91669562, -3473.82284095, -3487.95643809, -3501.49198534,
       -3514.645077  , -3527.6774706 , -3540.90118302, -3554.68058789,
       -3569.43108693, -3585.61254662, -3603.71549916, -3624.23838303,
       -3647.65517403, -3674.37482629])]"
9,114052.93810360653,53.0,"[array([38271.29883613, 38276.77362319, 38275.62734136, 38268.35517204,
       38255.49252043, 38237.5855888 , 38215.17181558, 38188.76748289,
       38158.86038608, 38125.90598399, 38090.32588157, 38052.50784256,
       38012.80680868, 37971.54663327, 37929.02243988, 37885.50370249,
       37841.23831815, 37796.4580942 , 37751.38617217, 37706.24690556,
       37661.27852134, 37616.74844208, 37572.9703699 , 37530.32117379,
       37489.25448149, 37450.30705942, 37414.09409183, 37381.29075762,
       37352.60004191, 37328.70989781, 37310.24563102, 37297.72469465,
       37291.52049864, 37291.83967878, 37298.71439462, 37312.00856725,
       37331.4351467 , 37356.58069428, 37386.93361729, 37421.91298667,
       37460.89569088, 37503.24050298, 37548.3083357 , 37595.47848319,
       37644.16100262, 37693.8056005 , 37743.90749422, 37794.01075084,
       37843.70959017, 37892.64809737, 37940.51873565, 37987.0599912 ,
       38032.05342546, 38075.32035754, 38116.71835357, 38156.13765926,
       38193.49767875, 38228.74357412, 38261.84303717, 38292.78326556,
       38321.56816071, 38348.2157522 , 38372.75584449, 38395.22787422,
       38415.67896238, 38434.16214239, 38450.73474509, 38465.45692312,
       38478.39030112, 38489.59674383, 38499.13724281, 38507.07093201,
       38513.45425503, 38518.34031977, 38521.77849124, 38523.81428768,
       38524.4896595 , 38523.84374322, 38521.91419237, 38518.73919249,
       38514.3602672 , 38508.82597488, 38502.19657915, 38494.54975152,
       38485.98732858, 38476.64309869, 38466.69152777])]","[array([-1592.2155197 , -1642.17769559, -1692.40817899, -1742.10539559,
       -1790.64024667, -1837.53291114, -1882.43088407, -1925.08956099,
       -1965.35587747, -2003.15506888, -2038.48038176, -2071.38545419,
       -2101.97902967, -2130.42164106, -2156.92387249, -2181.74576097,
       -2205.19682066, -2227.63605139, -2249.47112173, -2271.15570103,
       -2293.18368154, -2316.07884932, -2340.37855648, -2366.61029723,
       -2395.26098355, -2426.74023404, -2461.34095523, -2499.20238238,
       -2540.28178087, -2584.34051075, -2630.94796576, -2679.50357982,
       -2729.27371848, -2779.43789073, -2829.13788759, -2877.52409653,
       -2923.79483197, -2967.22641774, -3007.19345679, -3043.17996306,
       -3074.78275948, -3101.70884404, -3123.76841978, -3140.86510057,
       -3152.98453945, -3160.18244548, -3162.57269568, -3160.3160278 ,
       -3153.60962306, -3142.67775195, -3127.76355652, -3109.12197208,
       -3087.01374355, -3061.70046163, -3033.44052684, -3002.4859412 ,
       -2969.07982621, -2933.45456812, -2895.83049759, -2856.41501807,
       -2815.40210553, -2772.97211145, -2729.29180946, -2684.5146353 ,
       -2638.78107786, -2592.21918717, -2544.94517217, -2497.06406759,
       -2448.67045427, -2399.84922139, -2350.67636148, -2301.21979013,
       -2251.5401815 , -2201.69180794, -2151.72336701, -2101.6787722 ,
       -2051.59787359, -2001.51706262, -1951.46970089, -1901.48629706,
       -1851.5943421 , -1801.81770398, -1752.17548673, -1702.68028539,
       -1653.33583378, -1604.13416461, -1555.05260365])]"
